venture_id,name,sector,development_stage,entity_status,has_repo,has_revenue_model,capability_coverage_pct,readiness_pct,readiness_tier,repo_key,stage_verified,development_stage_v1_self_reported,development_stage_v2_computed,readiness_pct_v1,readiness_pct_v2
FH-034-Restaurant-Consulting,Restaurant Consulting,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-034-restaurant-consulting,True,mvp,planned,42.8,23.5
FS-003-Personal-Training-Studio,Personal Training Studio,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-003-personal-training-studio,True,mvp,planned,42.8,23.5
FS-008-Online-Coaching,Online Coaching,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-008-online-coaching,True,mvp,planned,42.8,23.5
FS-009-Personal-Trainer-Business,Personal Trainer Business,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-009-personal-trainer-business,True,mvp,planned,42.8,23.5
FS-010-Transformation-Program,Transformation Program,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-010-transformation-program,True,mvp,planned,42.8,23.5
FS-012-Supplement-Brand,Supplement Brand,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-012-supplement-brand,True,mvp,planned,42.8,23.5
FS-015-Recovery-Products,Recovery Products,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-015-recovery-products,True,mvp,planned,42.8,23.5
FS-016-Fitness-App,Fitness App,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-016-fitness-app,True,mvp,planned,42.8,23.5
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fs-025-corporate-wellness-program,True,mvp,planned,42.8,23.5
FIN-001-GenixBank-Lite,Genixbank Lite,financial,validation,pending_formation,True,True,25.0,41.0,Building / MVP,fin-001-genixbank-lite,True,validation,validation,41.0,41.0
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,validation,pending_formation,True,True,25.0,41.0,Building / MVP,fin-005-u-haul-rental-affiliate,True,validation,validation,41.0,41.0
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,validation,pending_formation,True,True,25.0,41.0,Building / MVP,fin-009-crypto-tax-optimizer,True,validation,validation,41.0,41.0
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,validation,pending_formation,True,True,25.0,41.0,Building / MVP,fin-011-automated-bookkeeping,True,validation,validation,41.0,41.0
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,validation,pending_formation,True,True,25.0,41.0,Building / MVP,fin-015-financial-wellness-coach,True,validation,validation,41.0,41.0
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,validation,pending_formation,True,True,22.2,40.0,Building / MVP,fin-019-payment-gateway-ai,True,validation,validation,40.0,40.0
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,validation,pending_formation,True,True,22.2,40.0,Building / MVP,fin-023-investment-portfolio-ai,True,validation,validation,40.0,40.0
TECH-040-Cybersecurity-Shield,Cybersecurity Shield,technology,planned,pending_formation,True,True,40.0,37.5,Planned / Validating,tech-040-cybersecurity-shield,True,planned,validation,37.5,46.2
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,validation,pending_formation,True,True,12.5,36.6,Planned / Validating,fin-031-investor-dashboard-builder,True,validation,validation,36.6,36.6
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-002-credit-repair-automation,True,validation,validation,36.1,36.1
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-003-ai-boss-hub-lite,True,validation,validation,36.1,36.1
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-004-genixbanks-ai-treasurer,True,validation,validation,36.1,36.1
FIN-007-Business-Credit-Building,Business Credit Building,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-007-business-credit-building,True,validation,validation,36.1,36.1
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-010-ai-powered-garbage-collection,True,validation,validation,36.1,36.1
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-012-invoice-factoring-ai,True,validation,validation,36.1,36.1
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-013-charity-donation-ai,True,validation,validation,36.1,36.1
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-014-expense-tracker-ai,True,validation,validation,36.1,36.1
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-016-trade-finance-ai,True,validation,validation,36.1,36.1
FIN-017-Remittance-AI,Remittance Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-017-remittance-ai,True,validation,validation,36.1,36.1
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-018-wealth-transfer-ai,True,validation,validation,36.1,36.1
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-020-debt-consolidation-ai,True,validation,validation,36.1,36.1
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-022-budget-forecasting-ai,True,validation,validation,36.1,36.1
FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-024-crowdfunding-ai,True,validation,validation,36.1,36.1
FIN-025-Escrow-Automation,Escrow Automation,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-025-escrow-automation,True,validation,validation,36.1,36.1
FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-027-patent-writer-ai,True,validation,validation,36.1,36.1
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-028-legal-analyzer-ai,True,validation,validation,36.1,36.1
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-030-local-seo-ranker-ai,True,validation,validation,36.1,36.1
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-032-legal-toolkit-ai,True,validation,validation,36.1,36.1
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-033-ai-tax-preparation-service,True,validation,validation,36.1,36.1
FIN-034-Payroll-Automation,Payroll Automation,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-034-payroll-automation,True,validation,validation,36.1,36.1
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fin-035-insurance-underwriting-ai,True,validation,validation,36.1,36.1
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,food-hospitality,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,fh-015-ai-nutrition-planner,True,validation,validation,36.1,36.1
TECH-039-Blockchain-Verifier-AI,Blockchain Verifier Ai,technology,validation,pending_formation,True,True,11.1,36.1,Planned / Validating,tech-039-blockchain-verifier-ai,True,validation,validation,36.1,36.1
TECH-013-Workflow-Automation,Workflow Automation,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-013-workflow-automation,True,planned,validation,35.2,43.9
TECH-014-Sentiment-Analyzer,Sentiment Analyzer,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-014-sentiment-analyzer,True,planned,validation,35.2,43.9
TECH-020-Recommendation-Engine,Recommendation Engine,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-020-recommendation-engine,True,planned,validation,35.2,43.9
TECH-045-Workflow-Automation,Workflow Automation,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-045-workflow-automation,True,planned,validation,35.2,43.9
TECH-046-Sentiment-Analyzer,Sentiment Analyzer,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-046-sentiment-analyzer,True,planned,validation,35.2,43.9
TECH-052-Recommendation-Engine,Recommendation Engine,technology,planned,pending_formation,True,True,33.3,35.2,Planned / Validating,tech-052-recommendation-engine,True,planned,validation,35.2,43.9
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fin-006-tax-prep-filing-services,True,validation,validation,32.2,32.2
FIN-008-Business-Formation-Services,Business Formation Services,financial,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fin-008-business-formation-services,True,validation,planned,32.2,23.5
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fin-021-tax-deduction-finder,True,validation,validation,32.2,32.2
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fin-026-financial-compliance-scanner,True,validation,planned,32.2,23.5
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fin-029-compliance-wallet-saas,True,validation,planned,32.2,23.5
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-003-private-dinner-experiences,True,validation,planned,32.2,23.5
FH-004-Catering-Company,Catering Company,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-004-catering-company,True,validation,planned,32.2,23.5
FH-007-Elderly-Meal-Service,Elderly Meal Service,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-007-elderly-meal-service,True,validation,planned,32.2,23.5
FH-009-Packaged-Food-Brand,Packaged Food Brand,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-009-packaged-food-brand,True,validation,planned,32.2,23.5
FH-010-Frozen-Meals-Company,Frozen Meals Company,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-010-frozen-meals-company,True,validation,planned,32.2,23.5
FH-013-Meal-Kit-Company,Meal Kit Company,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-013-meal-kit-company,True,validation,planned,32.2,23.5
FH-014-Cloud-Kitchen-,Cloud Kitchen ,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-014-cloud-kitchen-,True,validation,planned,32.2,23.5
FH-020-Restaurant-POS-System,Restaurant Pos System,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-020-restaurant-pos-system,True,validation,planned,32.2,23.5
FH-021-Food-Truck-Business,Food Truck Business,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-021-food-truck-business,True,validation,planned,32.2,23.5
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-022-specialty-coffee-shop,True,validation,planned,32.2,23.5
FH-025-Ice-Cream-Shop,Ice Cream Shop,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-025-ice-cream-shop,True,validation,planned,32.2,23.5
FH-026-Gourmet-Food-Market,Gourmet Food Market,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-026-gourmet-food-market,True,validation,planned,32.2,23.5
FH-035-Food-Safety-Training,Food Safety Training,food-hospitality,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fh-035-food-safety-training,True,validation,planned,32.2,23.5
FS-001-Gym,Gym,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-001-gym,True,validation,planned,32.2,23.5
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-002-boutique-fitness-studio,True,validation,planned,32.2,23.5
FS-004-Women-Only-Gym,Women Only Gym,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-004-women-only-gym,True,validation,planned,32.2,23.5
FS-005-Boxing-Gym,Boxing Gym,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-005-boxing-gym,True,validation,planned,32.2,23.5
FS-006-CrossFit-Gym,Crossfit Gym,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-006-crossfit-gym,True,validation,planned,32.2,23.5
FS-011-Athlete-Training-Company,Athlete Training Company,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-011-athlete-training-company,True,validation,planned,32.2,23.5
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-014-workout-equipment-brand,True,validation,planned,32.2,23.5
FS-020-Yoga-Studio,Yoga Studio,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-020-yoga-studio,True,validation,planned,32.2,23.5
FS-021-Pilates-Studio,Pilates Studio,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-021-pilates-studio,True,validation,planned,32.2,23.5
FS-022-Dance-Studio,Dance Studio,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-022-dance-studio,True,validation,planned,32.2,23.5
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,fitness-sports,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,fs-023-martial-arts-dojo,True,validation,planned,32.2,23.5
PS-012-Insurance-Agency,Insurance Agency,professional-services,validation,pending_formation,True,True,0.0,32.2,Planned / Validating,ps-012-insurance-agency,True,validation,validation,32.2,32.2
SPEC-032-AI-Game-Designer,Ai Game Designer,specialized,growth,unknown,False,False,0.0,31.5,Planned / Validating,spec-032-ai-game-designer,False,growth,growth,31.5,41.5
EC-039-Visual-Search-AI,Visual Search Ai,e-commerce,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,ec-039-visual-search-ai,True,planned,validation,30.5,39.2
EC-051-AI-Email-Marketing,Ai Email Marketing,e-commerce,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,ec-051-ai-email-marketing,True,planned,validation,30.5,39.2
EC-067-AI-Payment-Optimization,Ai Payment Optimization,e-commerce,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,ec-067-ai-payment-optimization,True,planned,validation,30.5,39.2
EC-076-AI-Sales-Forecasting,Ai Sales Forecasting,e-commerce,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,ec-076-ai-sales-forecasting,True,planned,validation,30.5,39.2
TECH-021-Network-Security-AI,Network Security Ai,technology,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,tech-021-network-security-ai,True,planned,validation,30.5,39.2
TECH-027-Predictive-Analytics-AI,Predictive Analytics Ai,technology,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,tech-027-predictive-analytics-ai,True,planned,validation,30.5,39.2
TECH-030-AI-Monitoring-System,Ai Monitoring System,technology,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,tech-030-ai-monitoring-system,True,planned,validation,30.5,39.2
TECH-053-Network-Security-AI,Network Security Ai,technology,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,tech-053-network-security-ai,True,planned,validation,30.5,39.2
TECH-059-Predictive-Analytics-AI,Predictive Analytics Ai,technology,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,tech-059-predictive-analytics-ai,True,planned,validation,30.5,39.2
OPS-006-Document-Automation-AI,Document Automation Ai,operations,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,ops-006-document-automation-ai,True,planned,validation,30.5,39.2
EM-047-AI-Environmental-Monitoring,Ai Environmental Monitoring,emerging,planned,pending_formation,True,True,20.0,30.5,Planned / Validating,em-047-ai-environmental-monitoring,True,planned,validation,30.5,39.2
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,e-commerce,planned,pending_formation,True,True,18.2,29.9,Planned / Validating,ec-009-sustainable-fashion-ai,True,planned,validation,29.9,38.6
EC-012-Fashion-Designer-AI,Fashion Designer Ai,e-commerce,planned,pending_formation,True,True,18.2,29.9,Planned / Validating,ec-012-fashion-designer-ai,True,planned,validation,29.9,38.6
COMM-005-Ace-Food-Security-AI,Ace Food Security Ai,community,planned,pending_formation,True,True,18.2,29.9,Planned / Validating,comm-005-ace-food-security-ai,True,planned,validation,29.9,38.6
FS-017-AI-Personal-Trainer,Ai Personal Trainer,fitness-sports,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,fs-017-ai-personal-trainer,True,planned,validation,27.4,36.1
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,fitness-sports,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,fs-019-wearable-analytics-platform,True,planned,validation,27.4,36.1
EC-001-Angels-in-Daylight,Angels In Daylight,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-001-angels-in-daylight,True,planned,validation,27.4,36.1
EC-003-Shopify-Autopilot,Shopify Autopilot,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-003-shopify-autopilot,True,planned,validation,27.4,36.1
EC-006-Dropship-Hub,Dropship Hub,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-006-dropship-hub,True,planned,validation,27.4,36.1
EC-032-Dynamic-Pricing-Engine,Dynamic Pricing Engine,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-032-dynamic-pricing-engine,True,planned,validation,27.4,36.1
EC-034-Recommendation-Engine,Recommendation Engine,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-034-recommendation-engine,True,planned,validation,27.4,36.1
EC-043-UGC-Content-Aggregator,Ugc Content Aggregator,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-043-ugc-content-aggregator,True,planned,validation,27.4,36.1
EC-049-Rental-Marketplace,Rental Marketplace,e-commerce,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,ec-049-rental-marketplace,True,planned,validation,27.4,36.1
TECH-001-Quantum-Algorithm-AI,Quantum Algorithm Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-001-quantum-algorithm-ai,True,planned,validation,27.4,36.1
TECH-002-AI-Compliance-Scanner,Ai Compliance Scanner,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-002-ai-compliance-scanner,True,planned,validation,27.4,36.1
TECH-003-Cloud-Management-AI,Cloud Management Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-003-cloud-management-ai,True,planned,validation,27.4,36.1
TECH-004-Robotics-Training-AI,Robotics Training Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-004-robotics-training-ai,True,planned,validation,27.4,36.1
TECH-005-Customer-Insights-AI,Customer Insights Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-005-customer-insights-ai,True,planned,validation,27.4,36.1
TECH-006-Voice-Assistant-AI,Voice Assistant Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-006-voice-assistant-ai,True,planned,validation,27.4,36.1
TECH-007-Blockchain-Verifier-AI,Blockchain Verifier Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-007-blockchain-verifier-ai,True,planned,validation,27.4,36.1
TECH-009-Content-Studio-AI,Content Studio Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-009-content-studio-ai,True,planned,validation,27.4,36.1
TECH-010-Smart-Home-AI,Smart Home Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-010-smart-home-ai,True,planned,validation,27.4,36.1
TECH-012-Data-Visualization-AI,Data Visualization Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-012-data-visualization-ai,True,planned,validation,27.4,36.1
TECH-015-Image-Recognition-AI,Image Recognition Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-015-image-recognition-ai,True,planned,validation,27.4,36.1
TECH-016-Video-Editor-AI,Video Editor Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-016-video-editor-ai,True,planned,validation,27.4,36.1
TECH-017-Speech-to-Text-AI,Speech To Text Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-017-speech-to-text-ai,True,planned,validation,27.4,36.1
TECH-018-Text-to-Speech-AI,Text To Speech Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-018-text-to-speech-ai,True,planned,validation,27.4,36.1
TECH-022-Database-Optimizer,Database Optimizer,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-022-database-optimizer,True,planned,validation,27.4,36.1
TECH-023-AI-Testing-Platform,Ai Testing Platform,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-023-ai-testing-platform,True,planned,validation,27.4,36.1
TECH-026-AI-Ethics-Auditor,Ai Ethics Auditor,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-026-ai-ethics-auditor,True,planned,validation,27.4,36.1
TECH-028-AI-Training-Platform,Ai Training Platform,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-028-ai-training-platform,True,planned,validation,27.4,36.1
TECH-029-Digital-Twin-AI,Digital Twin Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-029-digital-twin-ai,True,planned,validation,27.4,36.1
TECH-031-Edge-Computing-AI,Edge Computing Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-031-edge-computing-ai,True,planned,validation,27.4,36.1
TECH-032-AI-Integration-Hub,Ai Integration Hub,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-032-ai-integration-hub,True,planned,validation,27.4,36.1
TECH-033-Quantum-Algorithm-AI,Quantum Algorithm Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-033-quantum-algorithm-ai,True,planned,validation,27.4,36.1
TECH-034-AI-Compliance-Scanner,Ai Compliance Scanner,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-034-ai-compliance-scanner,True,planned,validation,27.4,36.1
TECH-035-Cloud-Management-AI,Cloud Management Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-035-cloud-management-ai,True,planned,validation,27.4,36.1
TECH-037-Customer-Insights-AI,Customer Insights Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-037-customer-insights-ai,True,planned,validation,27.4,36.1
TECH-038-Voice-Assistant-AI,Voice Assistant Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-038-voice-assistant-ai,True,planned,validation,27.4,36.1
TECH-041-Content-Studio-AI,Content Studio Ai,technology,planned,pending_formation,True,True,11.1,27.4,Planned / Validating,tech-041-content-studio-ai,True,planned,validation,27.4,36.1
