ID,Name,Original_Sector,Canonical_Sector,Original_Stage,Canonical_Stage,GitHub_URL
null,Wealth Transfer Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-018-wealth-transfer-ai
null,Payment Gateway Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-019-payment-gateway-ai
null,Debt Consolidation Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai
null,Tax Deduction Finder,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-021-tax-deduction-finder
null,Budget Forecasting Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai
null,Investment Portfolio Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-023-investment-portfolio-ai
null,Crowdfunding Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-024-crowdfunding-ai
null,Escrow Automation,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-025-escrow-automation
null,Financial Compliance Scanner,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner
null,Patent Writer Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-027-patent-writer-ai
null,Legal Analyzer Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-028-legal-analyzer-ai
null,Compliance Wallet Saas,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-029-compliance-wallet-saas
null,Local Seo Ranker Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-030-local-seo-ranker-ai
null,Investor Dashboard Builder,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-031-investor-dashboard-builder
null,Legal Toolkit Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-032-legal-toolkit-ai
null,Ai Tax Preparation Service,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service
null,Payroll Automation,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-034-payroll-automation
null,Insurance Underwriting Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-035-insurance-underwriting-ai
null,Arbitrage Nexus Platform,Financial,Financial Services,growth,growth,https://github.com/Worldwidebro/fin-036-arbitrage-nexus-platform
null,Lash Extension Studio,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-001-lash-extension-studio
null,Mobile Lash Service,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-002-mobile-lash-service
null,Luxury Lash Bar,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-003-luxury-lash-bar
null,Lash Training Academy,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-004-lash-training-academy
null,Lash Supply Company,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-005-lash-supply-company
null,Lash Glue Brand,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-006-lash-glue-brand
null,Lash Kits & Tools,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/zquestz/s
null,Private Label Lashes,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-008-private-label-lashes
null,Franchise Lash Salons,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-009-franchise-lash-salons
null,Online Lash Education,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-010-online-lash-education
null,Nail Salon,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-011-nail-salon
null,Mobile Nail Tech,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-012-mobile-nail-tech
null,Luxury Nail Spa,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-013-luxury-nail-spa
null,Press On Nail Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-014-press-on-nail-brand
null,Nail Art Studio,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-015-nail-art-studio
null,Nail Polish Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-016-nail-polish-brand
null,Nail Care Products,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-017-nail-care-products
null,Nail Booking Marketplace,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-018-nail-booking-marketplace
null,Salon Management Software,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-019-salon-management-software
null,Ai Nail Design Generator,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-020-ai-nail-design-generator
null,Hair Salon,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-021-hair-salon
null,Barbershop,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-022-barbershop
null,Mobile Hairstyling,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-023-mobile-hairstyling
null,Hair Braiding Studio,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-024-hair-braiding-studio
null,Wig Installation Studio,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-025-wig-installation-studio
null,Hair Extension Salon,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-026-hair-extension-salon
null,Hair Care Line,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-027-hair-care-line
null,Wig Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-028-wig-brand
null,Hair Extensions Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-029-hair-extensions-brand
null,Scalp Treatment Products,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-030-scalp-treatment-products
null,Hair Marketplace,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-031-hair-marketplace
null,Stylist Booking Platform,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-032-stylist-booking-platform
null,Ai Hairstyle Simulator,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-033-ai-hairstyle-simulator
null,Salon Franchise Chain,Beauty Wellness,Beauty & Wellness,planned,planned,https://github.com/Worldwidebro/bw-034-salon-franchise-chain
null,Makeup Studio,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-035-makeup-studio
null,Bridal Makeup Service,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-036-bridal-makeup-service
null,Mobile Makeup Artist,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-037-mobile-makeup-artist
null,Photoshoot Makeup Team,Beauty Wellness,Beauty & Wellness,validation,validation,https://github.com/Worldwidebro/bw-038-photoshoot-makeup-team
null,Cosmetics Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-039-cosmetics-brand
null,Beauty Tools Brand,Beauty Wellness,Beauty & Wellness,mvp,mvp,https://github.com/Worldwidebro/bw-040-beauty-tools-brand
null,Personal Chef Service,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-001-personal-chef-service
null,Meal Prep Delivery,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-002-meal-prep-delivery
null,Private Dinner Experiences,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-003-private-dinner-experiences
null,Catering Company,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-004-catering-company
null,Corporate Lunch Service,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-005-corporate-lunch-service
null,Healthy Meal Prep For Gyms,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms
null,Elderly Meal Service,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-007-elderly-meal-service
null,Athlete Nutrition Service,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-008-athlete-nutrition-service
null,Packaged Food Brand,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-009-packaged-food-brand
null,Frozen Meals Company,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-010-frozen-meals-company
null,Sauce Or Seasoning Brand,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-011-sauce-or-seasoning-brand
null,Protein Snacks Brand,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-012-protein-snacks-brand
null,Meal Kit Company,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-013-meal-kit-company
null,Cloud Kitchen ,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-014-cloud-kitchen-
null,Ai Nutrition Planner,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-015-ai-nutrition-planner
null,Recipe App,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-016-recipe-app
null,Cooking Content Brand,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-017-cooking-content-brand
null,Food Influencer Brand,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-018-food-influencer-brand
null,Cooking Course Platform,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-019-cooking-course-platform
null,Restaurant Pos System,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-020-restaurant-pos-system
null,Food Truck Business,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-021-food-truck-business
null,Specialty Coffee Shop,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-022-specialty-coffee-shop
null,Bakery & Pastry Shop,Hospitality,Hospitality & Food,validation,validation,https://github.com/zquestz/s
null,Juice Bar,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-024-juice-bar
null,Ice Cream Shop,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-025-ice-cream-shop
null,Gourmet Food Market,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-026-gourmet-food-market
null,Food Delivery Platform,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-027-food-delivery-platform
null,Restaurant Management Saas,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-028-restaurant-management-saas
null,Food Quality Testing Lab,Hospitality,Hospitality & Food,planned,planned,https://github.com/Worldwidebro/fh-029-food-quality-testing-lab
null,Organic Food Brand,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-030-organic-food-brand
null,Vegan Food Company,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-031-vegan-food-company
null,Keto Meal Service,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-032-keto-meal-service
null,Food Photography Service,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-033-food-photography-service
null,Restaurant Consulting,Hospitality,Hospitality & Food,mvp,mvp,https://github.com/Worldwidebro/fh-034-restaurant-consulting
null,Food Safety Training,Hospitality,Hospitality & Food,validation,validation,https://github.com/Worldwidebro/fh-035-food-safety-training
null,Gym,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms
null,Boutique Fitness Studio,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-002-boutique-fitness-studio
null,Personal Training Studio,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-003-personal-training-studio
null,Women Only Gym,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-004-women-only-gym
null,Boxing Gym,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-005-boxing-gym
null,Crossfit Gym,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-006-crossfit-gym
null,Luxury Fitness Club,Staffing,Workforce & Staffing,planned,planned,https://github.com/Worldwidebro/fs-007-luxury-fitness-club
null,Online Coaching,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-008-online-coaching
null,Personal Trainer Business,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-009-personal-trainer-business
null,Transformation Program,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-010-transformation-program
null,Athlete Training Company,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-011-athlete-training-company
null,Supplement Brand,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-012-supplement-brand
null,Fitness Apparel,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-013-fitness-apparel
null,Workout Equipment Brand,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-014-workout-equipment-brand
null,Recovery Products,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-015-recovery-products
null,Fitness App,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-013-fitness-apparel
null,Ai Personal Trainer,Staffing,Workforce & Staffing,planned,planned,https://github.com/Worldwidebro/fs-017-ai-personal-trainer
null,Gym Management Software,Staffing,Workforce & Staffing,planned,planned,https://github.com/Worldwidebro/fs-018-gym-management-software
null,Wearable Analytics Platform,Staffing,Workforce & Staffing,planned,planned,https://github.com/Worldwidebro/fs-019-wearable-analytics-platform
null,Yoga Studio,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-020-yoga-studio
null,Pilates Studio,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-021-pilates-studio
null,Dance Studio,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-022-dance-studio
null,Martial Arts Dojo,Staffing,Workforce & Staffing,validation,validation,https://github.com/Worldwidebro/fs-023-martial-arts-dojo
null,Sports Performance Center,Staffing,Workforce & Staffing,planned,planned,https://github.com/Worldwidebro/fs-024-sports-performance-center
null,Corporate Wellness Program,Staffing,Workforce & Staffing,mvp,mvp,https://github.com/Worldwidebro/fs-025-corporate-wellness-program
null,Truck Dispatch Company,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-001-truck-dispatch-company
null,Freight Brokerage,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-002-freight-brokerage
null,Logistics Dispatch Service,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-003-logistics-dispatch-service
null,Last Mile Delivery Dispatch,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-004-last-mile-delivery-dispatch
null,Medical Courier Dispatch,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-005-medical-courier-dispatch
null,Amazon,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-006-amazon
null,Construction Dispatch,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-007-construction-dispatch
null,Towing Dispatch,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-008-towing-dispatch
null,Hvac Technician Dispatch,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-009-hvac-technician-dispatch
null,Field Service Dispatch,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-010-field-service-dispatch
null,Dispatch Software,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-011-dispatch-software
null,Fleet Tracking Platform,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-012-fleet-tracking-platform
null,Logistics Automation System,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-013-logistics-automation-system
null,Ai Route Optimization,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-014-ai-route-optimization
null,Driver Management Platform,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-015-driver-management-platform
null,Trucking Company,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-016-trucking-company
null,Courier Service,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-017-courier-service
null,Local Delivery Company,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-018-local-delivery-company
null,Moving Company,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-019-moving-company
null,Freight Company,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-020-freight-company
null,Warehouse Company,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-021-warehouse-company
null,Fulfillment Center,Transportation,Logistics & Transportation,mvp,mvp,https://github.com/Worldwidebro/lt-022-fulfillment-center
null,Storage Business,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-023-storage-business
null,Distribution Company,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-024-distribution-company
null,Logistics Marketplace,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-025-logistics-marketplace
null,Shipping Platform,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-026-shipping-platform
null,Fleet Management Saas,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-027-fleet-management-saas
null,Freight Ai Optimization,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-028-freight-ai-optimization
null,Supply Chain Analytics,Transportation,Logistics & Transportation,planned,planned,https://github.com/Worldwidebro/lt-029-supply-chain-analytics
null,Cold Chain Logistics,Transportation,Logistics & Transportation,validation,validation,https://github.com/Worldwidebro/lt-030-cold-chain-logistics
null,Business Consulting,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-001-business-consulting
null,Legal Services,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-002-legal-services
null,Accounting Services,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-003-accounting-services
null,Hr Consulting,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-004-hr-consulting
null,Marketing Agency,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-005-marketing-agency
null,Web Design Agency,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-006-web-design-agency
null,It Support Services,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-007-it-support-services
null,Virtual Assistant Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-008-virtual-assistant-service
null,Bookkeeping Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-009-bookkeeping-service
null,Tax Preparation Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service
null,Real Estate Agency,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-011-real-estate-agency
null,Insurance Agency,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-012-insurance-agency
null,Financial Planning,Operations,Professional Services,mvp,mvp,
null,Event Planning,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ops-003-event-planning-ai
null,Interior Design,Operations,Professional Services,validation,validation,https://github.com/zquestz/s
null,Photography Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/fh-033-food-photography-service
null,Videography Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-017-videography-service
null,Translation Services,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-018-translation-services
null,Copywriting Service,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-019-copywriting-service
null,Social Media Management,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-020-social-media-management
null,Seo Agency,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-021-seo-agency
null,Ppc Management,Operations,Professional Services,mvp,mvp,https://github.com/Worldwidebro/ps-022-ppc-management
null,Pr Agency,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-023-pr-agency
null,Recruiting Agency,Operations,Professional Services,validation,validation,https://github.com/Worldwidebro/ps-024-recruiting-agency
null,Business Brokerage,Operations,Professional Services,planned,planned,https://github.com/Worldwidebro/ps-025-business-brokerage
null,Youtube Channel Network,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-001-youtube-channel-network
null,Podcast Network,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-002-podcast-network
null,Blog Network,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-003-blog-network
null,Influencer Agency,Media,Media & Content,validation,validation,https://github.com/Worldwidebro/mc-004-influencer-agency
null,Content Creation Studio,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-005-content-creation-studio
null,Video Production Company,Media,Media & Content,validation,validation,https://github.com/Worldwidebro/mc-006-video-production-company
null,Animation Studio,Media,Media & Content,planned,planned,https://github.com/Worldwidebro/mc-007-animation-studio
null,Music Production,Media,Media & Content,validation,validation,https://github.com/Worldwidebro/mc-008-music-production
null,Stock Photography,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-009-stock-photography
null,Stock Video,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-010-stock-video
null,Online Magazine,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-011-online-magazine
null,News Website,Media,Media & Content,validation,validation,https://github.com/Worldwidebro/mc-012-news-website
null,Streaming Platform,Media,Media & Content,planned,planned,https://github.com/Worldwidebro/mc-013-streaming-platform
null,Gaming Channel,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-014-gaming-channel
null,Esports Team,Media,Media & Content,planned,planned,https://github.com/Worldwidebro/mc-015-esports-team
null,Virtual Events Platform,Media,Media & Content,planned,planned,https://github.com/Worldwidebro/mc-016-virtual-events-platform
null,Online Course Platform,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-017-online-course-platform
null,Membership Site,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-018-membership-site
null,Digital Download Store,Media,Media & Content,mvp,mvp,https://github.com/Worldwidebro/mc-019-digital-download-store
null,Nft Marketplace,Media,Media & Content,planned,planned,https://github.com/Worldwidebro/mc-020-nft-marketplace
null,Online Tutoring Platform,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-001-online-tutoring-platform
null,Language Learning App,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-002-language-learning-app
null,Test Prep Service,Education,Education & Learning,validation,validation,https://github.com/Worldwidebro/et-003-test-prep-service
null,Coding Bootcamp,Education,Education & Learning,validation,validation,https://github.com/Worldwidebro/edu-005-coding-bootcamp
null,Professional Certification,Education,Education & Learning,validation,validation,https://github.com/Worldwidebro/et-005-professional-certification
null,Corporate Training,Education,Education & Learning,validation,validation,https://github.com/Worldwidebro/edu-026-corporate-training-ai
null,Skills Assessment Platform,Education,Education & Learning,planned,planned,https://github.com/Worldwidebro/et-007-skills-assessment-platform
null,Career Coaching,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-008-career-coaching
null,Resume Writing Service,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-009-resume-writing-service
null,Interview Prep Platform,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-010-interview-prep-platform
null,Mentorship Platform,Education,Education & Learning,planned,planned,https://github.com/Worldwidebro/et-011-mentorship-platform
null,Educational Content Library,Education,Education & Learning,mvp,mvp,https://github.com/Worldwidebro/et-012-educational-content-library
null,Vr Training Simulations,Education,Education & Learning,planned,planned,https://github.com/Worldwidebro/et-013-vr-training-simulations
null,Gamified Learning App,Education,Education & Learning,planned,planned,https://github.com/Worldwidebro/et-014-gamified-learning-app
null,Homeschool Curriculum,Education,Education & Learning,validation,validation,https://github.com/Worldwidebro/et-015-homeschool-curriculum
null,Saas Platform,Technology,Technology & Software,mvp,mvp,https://github.com/async-labs/saas
null,Mobile App Development,Technology,Technology & Software,mvp,mvp,
null,Web Development Agency,Technology,Technology & Software,mvp,mvp,
null,Custom Software Development,Technology,Technology & Software,validation,validation,https://github.com/zquestz/s
null,Api Development,Technology,Technology & Software,mvp,mvp,https://github.com/earendil-works/pi
null,Cloud Infrastructure,Technology,Technology & Software,planned,planned,https://github.com/zquestz/s
null,Devops Consulting,Technology,Technology & Software,validation,validation,https://github.com/zquestz/s
null,Cybersecurity Service,Technology,Technology & Software,validation,validation,https://github.com/zquestz/s
null,Data Analytics Platform,Technology,Technology & Software,planned,planned,https://github.com/zquestz/s
null,Business Intelligence Tool,Technology,Technology & Software,planned,planned,https://github.com/zquestz/s
null,Crm Platform,Technology,Technology & Software,planned,planned,https://github.com/trycompai/crm
null,Project Management Tool,Technology,Technology & Software,planned,planned,
null,Communication Platform,Technology,Technology & Software,planned,planned,https://github.com/hcengineering/platform
null,Collaboration Software,Technology,Technology & Software,planned,planned,https://github.com/zquestz/s
null,Automation Platform,Technology,Technology & Software,planned,planned,https://github.com/hcengineering/platform
