ID,Name,Sector,Stage,GitHub URL
null,Truck Dispatch Company,Transportation,validation,https://github.com/Worldwidebro/lt-001-truck-dispatch-company
null,Freight Brokerage,Transportation,validation,https://github.com/Worldwidebro/lt-002-freight-brokerage
null,Logistics Dispatch Service,Transportation,mvp,https://github.com/Worldwidebro/lt-003-logistics-dispatch-service
null,Last Mile Delivery Dispatch,Transportation,mvp,https://github.com/Worldwidebro/lt-004-last-mile-delivery-dispatch
null,Medical Courier Dispatch,Transportation,validation,https://github.com/Worldwidebro/lt-005-medical-courier-dispatch
null,Construction Dispatch,Transportation,validation,https://github.com/Worldwidebro/lt-007-construction-dispatch
null,Dispatch Software,Transportation,planned,https://github.com/Worldwidebro/lt-011-dispatch-software
null,Business Consulting,Operations,mvp,https://github.com/Worldwidebro/ps-001-business-consulting
null,Legal Services,Operations,validation,https://github.com/Worldwidebro/ps-002-legal-services
null,Accounting Services,Operations,mvp,https://github.com/Worldwidebro/ps-003-accounting-services
null,Hr Consulting,Operations,validation,https://github.com/Worldwidebro/ps-004-hr-consulting
null,Marketing Agency,Operations,mvp,https://github.com/Worldwidebro/ps-005-marketing-agency
null,Web Design Agency,Operations,mvp,https://github.com/Worldwidebro/ps-006-web-design-agency
null,Virtual Assistant Service,Operations,mvp,https://github.com/Worldwidebro/ps-008-virtual-assistant-service
null,Real Estate Agency,Operations,validation,https://github.com/Worldwidebro/ps-011-real-estate-agency
null,Youtube Channel Network,Media,mvp,https://github.com/Worldwidebro/mc-001-youtube-channel-network
null,Podcast Network,Media,mvp,https://github.com/Worldwidebro/mc-002-podcast-network
null,Blog Network,Media,mvp,https://github.com/Worldwidebro/mc-003-blog-network
null,Influencer Agency,Media,validation,https://github.com/Worldwidebro/mc-004-influencer-agency
null,Online Tutoring Platform,Education,mvp,https://github.com/Worldwidebro/et-001-online-tutoring-platform
null,Language Learning App,Education,mvp,https://github.com/Worldwidebro/et-002-language-learning-app
null,Test Prep Service,Education,validation,https://github.com/Worldwidebro/et-003-test-prep-service
null,Coding Bootcamp,Education,validation,https://github.com/Worldwidebro/edu-005-coding-bootcamp
null,SaaS Platform,Technology,mvp,https://github.com/async-labs/saas
null,Crm Platform,Technology,planned,https://github.com/trycompai/crm
null,E Commerce Platform,Technology,planned,https://github.com/Worldwidebro/ec-044-live-commerce-platform
null,Angels In Daylight,Marketplace,planned,https://github.com/Worldwidebro/ec-001-angels-in-daylight
null,New World Apparel,Marketplace,planned,https://github.com/Worldwidebro/ec-002-new-world-apparel
null,Live Commerce Platform,Marketplace,growth,https://github.com/Worldwidebro/ec-044-live-commerce-platform
null,3D Product Viewer,Marketplace,growth,https://github.com/Worldwidebro/ec-046-3d-product-viewer
