ID,Name,Sector,Stage,GitHub URL,GitHub Pages URL,Repo Match
null,Invoice Factoring Ai,Financial,planned,https://github.com/Worldwidebro/fin-012-invoice-factoring-ai,https://worldwidebro.github.io/invoice-factoring-ai/,fin-012-invoice-factoring-ai
null,Charity Donation Ai,Financial,planned,https://github.com/Worldwidebro/fin-013-charity-donation-ai,https://worldwidebro.github.io/charity-donation-ai/,fin-013-charity-donation-ai
null,Expense Tracker Ai,Financial,planned,https://github.com/Worldwidebro/fin-014-expense-tracker-ai,https://worldwidebro.github.io/expense-tracker-ai/,fin-014-expense-tracker-ai
null,Financial Wellness Coach,Financial,planned,https://github.com/Worldwidebro/fin-015-financial-wellness-coach,https://worldwidebro.github.io/financial-wellness-coach/,fin-015-financial-wellness-coach
null,Trade Finance Ai,Financial,planned,https://github.com/Worldwidebro/fin-016-trade-finance-ai,https://worldwidebro.github.io/trade-finance-ai/,fin-016-trade-finance-ai
null,Remittance Ai,Financial,planned,https://github.com/Worldwidebro/fin-017-remittance-ai,https://worldwidebro.github.io/remittance-ai/,fin-017-remittance-ai
null,Wealth Transfer Ai,Financial,planned,https://github.com/Worldwidebro/fin-018-wealth-transfer-ai,https://worldwidebro.github.io/wealth-transfer-ai/,fin-018-wealth-transfer-ai
null,Payment Gateway Ai,Financial,planned,https://github.com/Worldwidebro/fin-019-payment-gateway-ai,https://worldwidebro.github.io/payment-gateway-ai/,fin-019-payment-gateway-ai
null,Debt Consolidation Ai,Financial,planned,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai,https://worldwidebro.github.io/debt-consolidation-ai/,fin-020-debt-consolidation-ai
null,Tax Deduction Finder,Financial,planned,https://github.com/Worldwidebro/fin-021-tax-deduction-finder,https://worldwidebro.github.io/tax-deduction-finder/,fin-021-tax-deduction-finder
null,Budget Forecasting Ai,Financial,planned,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai,https://worldwidebro.github.io/budget-forecasting-ai/,fin-022-budget-forecasting-ai
null,Investment Portfolio Ai,Financial,planned,https://github.com/Worldwidebro/fin-023-investment-portfolio-ai,https://worldwidebro.github.io/investment-portfolio-ai/,fin-023-investment-portfolio-ai
null,Crowdfunding Ai,Financial,planned,https://github.com/Worldwidebro/fin-024-crowdfunding-ai,https://worldwidebro.github.io/crowdfunding-ai/,fin-024-crowdfunding-ai
null,Escrow Automation,Financial,planned,https://github.com/Worldwidebro/fin-025-escrow-automation,https://worldwidebro.github.io/escrow-automation/,fin-025-escrow-automation
null,Financial Compliance Scanner,Financial,planned,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner,https://worldwidebro.github.io/financial-compliance-scanner/,fin-026-financial-compliance-scanner
null,Patent Writer Ai,Financial,planned,https://github.com/Worldwidebro/fin-027-patent-writer-ai,https://worldwidebro.github.io/patent-writer-ai/,fin-027-patent-writer-ai
null,Legal Analyzer Ai,Financial,planned,https://github.com/Worldwidebro/fin-028-legal-analyzer-ai,https://worldwidebro.github.io/legal-analyzer-ai/,fin-028-legal-analyzer-ai
null,Compliance Wallet Saas,Financial,planned,https://github.com/Worldwidebro/fin-029-compliance-wallet-saas,https://worldwidebro.github.io/compliance-wallet-saas/,fin-029-compliance-wallet-saas
null,Local Seo Ranker Ai,Financial,planned,https://github.com/Worldwidebro/fin-030-local-seo-ranker-ai,https://worldwidebro.github.io/local-seo-ranker-ai/,fin-030-local-seo-ranker-ai
null,Investor Dashboard Builder,Financial,planned,https://github.com/Worldwidebro/fin-031-investor-dashboard-builder,https://worldwidebro.github.io/investor-dashboard-builder/,fin-031-investor-dashboard-builder
null,Legal Toolkit Ai,Financial,planned,https://github.com/Worldwidebro/fin-032-legal-toolkit-ai,https://worldwidebro.github.io/legal-toolkit-ai/,fin-032-legal-toolkit-ai
null,Ai Tax Preparation Service,Financial,planned,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service,https://worldwidebro.github.io/ai-tax-preparation-service/,fin-033-ai-tax-preparation-service
null,Payroll Automation,Financial,planned,https://github.com/Worldwidebro/fin-034-payroll-automation,https://worldwidebro.github.io/payroll-automation/,fin-034-payroll-automation
null,Insurance Underwriting Ai,Financial,planned,https://github.com/Worldwidebro/fin-035-insurance-underwriting-ai,https://worldwidebro.github.io/insurance-underwriting-ai/,fin-035-insurance-underwriting-ai
null,Arbitrage Nexus Platform,Financial,growth,https://github.com/Worldwidebro/fin-036-arbitrage-nexus-platform,https://worldwidebro.github.io/arbitrage-nexus-platform/,fin-036-arbitrage-nexus-platform
null,Lash Extension Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-001-lash-extension-studio,https://worldwidebro.github.io/lash-extension-studio/,bw-001-lash-extension-studio
null,Mobile Lash Service,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-002-mobile-lash-service,https://worldwidebro.github.io/mobile-lash-service/,bw-002-mobile-lash-service
null,Luxury Lash Bar,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-003-luxury-lash-bar,https://worldwidebro.github.io/luxury-lash-bar/,bw-003-luxury-lash-bar
null,Lash Training Academy,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-004-lash-training-academy,https://worldwidebro.github.io/lash-training-academy/,bw-004-lash-training-academy
null,Lash Supply Company,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-005-lash-supply-company,https://worldwidebro.github.io/lash-supply-company/,bw-005-lash-supply-company
null,Lash Glue Brand,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-006-lash-glue-brand,https://worldwidebro.github.io/lash-glue-brand/,bw-006-lash-glue-brand
null,Lash Kits & Tools,Beauty Wellness,mvp,https://github.com/zquestz/s,https://worldwidebro.github.io/lash-kits-and-tools/,s
null,Private Label Lashes,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-008-private-label-lashes,https://worldwidebro.github.io/private-label-lashes/,bw-008-private-label-lashes
null,Franchise Lash Salons,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-009-franchise-lash-salons,https://worldwidebro.github.io/franchise-lash-salons/,bw-009-franchise-lash-salons
null,Online Lash Education,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-010-online-lash-education,https://worldwidebro.github.io/online-lash-education/,bw-010-online-lash-education
null,Nail Salon,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-011-nail-salon,https://worldwidebro.github.io/nail-salon/,bw-011-nail-salon
null,Mobile Nail Tech,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-012-mobile-nail-tech,https://worldwidebro.github.io/mobile-nail-tech/,bw-012-mobile-nail-tech
null,Luxury Nail Spa,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-013-luxury-nail-spa,https://worldwidebro.github.io/luxury-nail-spa/,bw-013-luxury-nail-spa
null,Press On Nail Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-014-press-on-nail-brand,https://worldwidebro.github.io/press-on-nail-brand/,bw-014-press-on-nail-brand
null,Nail Art Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-015-nail-art-studio,https://worldwidebro.github.io/nail-art-studio/,bw-015-nail-art-studio
null,Nail Polish Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-016-nail-polish-brand,https://worldwidebro.github.io/nail-polish-brand/,bw-016-nail-polish-brand
null,Nail Care Products,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-017-nail-care-products,https://worldwidebro.github.io/nail-care-products/,bw-017-nail-care-products
null,Nail Booking Marketplace,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-018-nail-booking-marketplace,https://worldwidebro.github.io/nail-booking-marketplace/,bw-018-nail-booking-marketplace
null,Salon Management Software,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-019-salon-management-software,https://worldwidebro.github.io/salon-management-software/,bw-019-salon-management-software
null,Ai Nail Design Generator,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-020-ai-nail-design-generator,https://worldwidebro.github.io/ai-nail-design-generator/,bw-020-ai-nail-design-generator
null,Hair Salon,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-021-hair-salon,https://worldwidebro.github.io/hair-salon/,bw-021-hair-salon
null,Barbershop,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-022-barbershop,https://worldwidebro.github.io/barbershop/,bw-022-barbershop
null,Mobile Hairstyling,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-023-mobile-hairstyling,https://worldwidebro.github.io/mobile-hairstyling/,bw-023-mobile-hairstyling
null,Hair Braiding Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-024-hair-braiding-studio,https://worldwidebro.github.io/hair-braiding-studio/,bw-024-hair-braiding-studio
null,Wig Installation Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-025-wig-installation-studio,https://worldwidebro.github.io/wig-installation-studio/,bw-025-wig-installation-studio
null,Hair Extension Salon,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-026-hair-extension-salon,https://worldwidebro.github.io/hair-extension-salon/,bw-026-hair-extension-salon
null,Hair Care Line,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-027-hair-care-line,https://worldwidebro.github.io/hair-care-line/,bw-027-hair-care-line
null,Wig Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-028-wig-brand,https://worldwidebro.github.io/wig-brand/,bw-028-wig-brand
null,Hair Extensions Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-029-hair-extensions-brand,https://worldwidebro.github.io/hair-extensions-brand/,bw-029-hair-extensions-brand
null,Scalp Treatment Products,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-030-scalp-treatment-products,https://worldwidebro.github.io/scalp-treatment-products/,bw-030-scalp-treatment-products
null,Hair Marketplace,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-031-hair-marketplace,https://worldwidebro.github.io/hair-marketplace/,bw-031-hair-marketplace
null,Stylist Booking Platform,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-032-stylist-booking-platform,https://worldwidebro.github.io/stylist-booking-platform/,bw-032-stylist-booking-platform
null,Ai Hairstyle Simulator,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-033-ai-hairstyle-simulator,https://worldwidebro.github.io/ai-hairstyle-simulator/,bw-033-ai-hairstyle-simulator
null,Salon Franchise Chain,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-034-salon-franchise-chain,https://worldwidebro.github.io/salon-franchise-chain/,bw-034-salon-franchise-chain
null,Makeup Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-035-makeup-studio,https://worldwidebro.github.io/makeup-studio/,bw-035-makeup-studio
null,Bridal Makeup Service,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-036-bridal-makeup-service,https://worldwidebro.github.io/bridal-makeup-service/,bw-036-bridal-makeup-service
null,Mobile Makeup Artist,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-037-mobile-makeup-artist,https://worldwidebro.github.io/mobile-makeup-artist/,bw-037-mobile-makeup-artist
null,Photoshoot Makeup Team,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-038-photoshoot-makeup-team,https://worldwidebro.github.io/photoshoot-makeup-team/,bw-038-photoshoot-makeup-team
null,Cosmetics Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-039-cosmetics-brand,https://worldwidebro.github.io/cosmetics-brand/,bw-039-cosmetics-brand
null,Beauty Tools Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-040-beauty-tools-brand,https://worldwidebro.github.io/beauty-tools-brand/,bw-040-beauty-tools-brand
null,Personal Chef Service,Hospitality,mvp,https://github.com/Worldwidebro/fh-001-personal-chef-service,https://worldwidebro.github.io/personal-chef-service/,fh-001-personal-chef-service
null,Meal Prep Delivery,Hospitality,mvp,https://github.com/Worldwidebro/fh-002-meal-prep-delivery,https://worldwidebro.github.io/meal-prep-delivery/,fh-002-meal-prep-delivery
null,Private Dinner Experiences,Hospitality,validation,https://github.com/Worldwidebro/fh-003-private-dinner-experiences,https://worldwidebro.github.io/private-dinner-experiences/,fh-003-private-dinner-experiences
null,Catering Company,Hospitality,validation,https://github.com/Worldwidebro/fh-004-catering-company,https://worldwidebro.github.io/catering-company/,fh-004-catering-company
null,Corporate Lunch Service,Hospitality,mvp,https://github.com/Worldwidebro/fh-005-corporate-lunch-service,https://worldwidebro.github.io/corporate-lunch-service/,fh-005-corporate-lunch-service
null,Healthy Meal Prep For Gyms,Hospitality,mvp,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms,https://worldwidebro.github.io/healthy-meal-prep-for-gyms/,fh-006-healthy-meal-prep-for-gyms
null,Elderly Meal Service,Hospitality,validation,https://github.com/Worldwidebro/fh-007-elderly-meal-service,https://worldwidebro.github.io/elderly-meal-service/,fh-007-elderly-meal-service
null,Athlete Nutrition Service,Hospitality,mvp,https://github.com/Worldwidebro/fh-008-athlete-nutrition-service,https://worldwidebro.github.io/athlete-nutrition-service/,fh-008-athlete-nutrition-service
null,Packaged Food Brand,Hospitality,validation,https://github.com/Worldwidebro/fh-009-packaged-food-brand,https://worldwidebro.github.io/packaged-food-brand/,fh-009-packaged-food-brand
null,Frozen Meals Company,Hospitality,validation,https://github.com/Worldwidebro/fh-010-frozen-meals-company,https://worldwidebro.github.io/frozen-meals-company/,fh-010-frozen-meals-company
null,Sauce Or Seasoning Brand,Hospitality,mvp,https://github.com/Worldwidebro/fh-011-sauce-or-seasoning-brand,https://worldwidebro.github.io/sauce-or-seasoning-brand/,fh-011-sauce-or-seasoning-brand
null,Protein Snacks Brand,Hospitality,mvp,https://github.com/Worldwidebro/fh-012-protein-snacks-brand,https://worldwidebro.github.io/protein-snacks-brand/,fh-012-protein-snacks-brand
null,Meal Kit Company,Hospitality,validation,https://github.com/Worldwidebro/fh-013-meal-kit-company,https://worldwidebro.github.io/meal-kit-company/,fh-013-meal-kit-company
null,Cloud Kitchen ,Hospitality,planned,https://github.com/Worldwidebro/fh-014-cloud-kitchen-,https://worldwidebro.github.io/cloud-kitchen-/,fh-014-cloud-kitchen-
null,Ai Nutrition Planner,Hospitality,planned,https://github.com/Worldwidebro/fh-015-ai-nutrition-planner,https://worldwidebro.github.io/ai-nutrition-planner/,fh-015-ai-nutrition-planner
null,Recipe App,Hospitality,mvp,https://github.com/Worldwidebro/fh-016-recipe-app,https://worldwidebro.github.io/recipe-app/,fh-016-recipe-app
null,Cooking Content Brand,Hospitality,mvp,https://github.com/Worldwidebro/fh-017-cooking-content-brand,https://worldwidebro.github.io/cooking-content-brand/,fh-017-cooking-content-brand
null,Food Influencer Brand,Hospitality,mvp,https://github.com/Worldwidebro/fh-018-food-influencer-brand,https://worldwidebro.github.io/food-influencer-brand/,fh-018-food-influencer-brand
null,Cooking Course Platform,Hospitality,mvp,https://github.com/Worldwidebro/fh-019-cooking-course-platform,https://worldwidebro.github.io/cooking-course-platform/,fh-019-cooking-course-platform
null,Restaurant Pos System,Hospitality,planned,https://github.com/Worldwidebro/fh-020-restaurant-pos-system,https://worldwidebro.github.io/restaurant-pos-system/,fh-020-restaurant-pos-system
null,Food Truck Business,Hospitality,validation,https://github.com/Worldwidebro/fh-021-food-truck-business,https://worldwidebro.github.io/food-truck-business/,fh-021-food-truck-business
null,Specialty Coffee Shop,Hospitality,validation,https://github.com/Worldwidebro/fh-022-specialty-coffee-shop,https://worldwidebro.github.io/specialty-coffee-shop/,fh-022-specialty-coffee-shop
null,Bakery & Pastry Shop,Hospitality,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/bakery-and-pastry-shop/,s
null,Juice Bar,Hospitality,mvp,https://github.com/Worldwidebro/fh-024-juice-bar,https://worldwidebro.github.io/juice-bar/,fh-024-juice-bar
null,Ice Cream Shop,Hospitality,validation,https://github.com/Worldwidebro/fh-025-ice-cream-shop,https://worldwidebro.github.io/ice-cream-shop/,fh-025-ice-cream-shop
null,Gourmet Food Market,Hospitality,validation,https://github.com/Worldwidebro/fh-026-gourmet-food-market,https://worldwidebro.github.io/gourmet-food-market/,fh-026-gourmet-food-market
null,Food Delivery Platform,Hospitality,planned,https://github.com/Worldwidebro/fh-027-food-delivery-platform,https://worldwidebro.github.io/food-delivery-platform/,fh-027-food-delivery-platform
null,Restaurant Management Saas,Hospitality,planned,https://github.com/Worldwidebro/fh-028-restaurant-management-saas,https://worldwidebro.github.io/restaurant-management-saas/,fh-028-restaurant-management-saas
null,Food Quality Testing Lab,Hospitality,planned,https://github.com/Worldwidebro/fh-029-food-quality-testing-lab,https://worldwidebro.github.io/food-quality-testing-lab/,fh-029-food-quality-testing-lab
null,Organic Food Brand,Hospitality,mvp,https://github.com/Worldwidebro/fh-030-organic-food-brand,https://worldwidebro.github.io/organic-food-brand/,fh-030-organic-food-brand
null,Vegan Food Company,Hospitality,mvp,https://github.com/Worldwidebro/fh-031-vegan-food-company,https://worldwidebro.github.io/vegan-food-company/,fh-031-vegan-food-company
null,Keto Meal Service,Hospitality,mvp,https://github.com/Worldwidebro/fh-032-keto-meal-service,https://worldwidebro.github.io/keto-meal-service/,fh-032-keto-meal-service
null,Food Photography Service,Hospitality,mvp,https://github.com/Worldwidebro/fh-033-food-photography-service,https://worldwidebro.github.io/food-photography-service/,fh-033-food-photography-service
null,Restaurant Consulting,Hospitality,mvp,https://github.com/Worldwidebro/fh-034-restaurant-consulting,https://worldwidebro.github.io/restaurant-consulting/,fh-034-restaurant-consulting
null,Food Safety Training,Hospitality,validation,https://github.com/Worldwidebro/fh-035-food-safety-training,https://worldwidebro.github.io/food-safety-training/,fh-035-food-safety-training
null,Gym,Staffing,validation,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms,https://worldwidebro.github.io/gym/,fh-006-healthy-meal-prep-for-gyms
null,Boutique Fitness Studio,Staffing,validation,https://github.com/Worldwidebro/fs-002-boutique-fitness-studio,https://worldwidebro.github.io/boutique-fitness-studio/,fs-002-boutique-fitness-studio
null,Personal Training Studio,Staffing,mvp,https://github.com/Worldwidebro/fs-003-personal-training-studio,https://worldwidebro.github.io/personal-training-studio/,fs-003-personal-training-studio
null,Women Only Gym,Staffing,validation,https://github.com/Worldwidebro/fs-004-women-only-gym,https://worldwidebro.github.io/women-only-gym/,fs-004-women-only-gym
null,Boxing Gym,Staffing,validation,https://github.com/Worldwidebro/fs-005-boxing-gym,https://worldwidebro.github.io/boxing-gym/,fs-005-boxing-gym
null,Crossfit Gym,Staffing,validation,https://github.com/Worldwidebro/fs-006-crossfit-gym,https://worldwidebro.github.io/crossfit-gym/,fs-006-crossfit-gym
null,Luxury Fitness Club,Staffing,planned,https://github.com/Worldwidebro/fs-007-luxury-fitness-club,https://worldwidebro.github.io/luxury-fitness-club/,fs-007-luxury-fitness-club
null,Online Coaching,Staffing,mvp,https://github.com/Worldwidebro/fs-008-online-coaching,https://worldwidebro.github.io/online-coaching/,fs-008-online-coaching
null,Personal Trainer Business,Staffing,mvp,https://github.com/Worldwidebro/fs-009-personal-trainer-business,https://worldwidebro.github.io/personal-trainer-business/,fs-009-personal-trainer-business
null,Transformation Program,Staffing,mvp,https://github.com/Worldwidebro/fs-010-transformation-program,https://worldwidebro.github.io/transformation-program/,fs-010-transformation-program
null,Athlete Training Company,Staffing,validation,https://github.com/Worldwidebro/fs-011-athlete-training-company,https://worldwidebro.github.io/athlete-training-company/,fs-011-athlete-training-company
null,Supplement Brand,Staffing,mvp,https://github.com/Worldwidebro/fs-012-supplement-brand,https://worldwidebro.github.io/supplement-brand/,fs-012-supplement-brand
null,Fitness Apparel,Staffing,mvp,https://github.com/Worldwidebro/fs-013-fitness-apparel,https://worldwidebro.github.io/fitness-apparel/,fs-013-fitness-apparel
null,Workout Equipment Brand,Staffing,validation,https://github.com/Worldwidebro/fs-014-workout-equipment-brand,https://worldwidebro.github.io/workout-equipment-brand/,fs-014-workout-equipment-brand
null,Recovery Products,Staffing,mvp,https://github.com/Worldwidebro/fs-015-recovery-products,https://worldwidebro.github.io/recovery-products/,fs-015-recovery-products
null,Fitness App,Staffing,mvp,https://github.com/Worldwidebro/fs-013-fitness-apparel,https://worldwidebro.github.io/fitness-app/,fs-013-fitness-apparel
null,Ai Personal Trainer,Staffing,planned,https://github.com/Worldwidebro/fs-017-ai-personal-trainer,https://worldwidebro.github.io/ai-personal-trainer/,fs-017-ai-personal-trainer
null,Gym Management Software,Staffing,planned,https://github.com/Worldwidebro/fs-018-gym-management-software,https://worldwidebro.github.io/gym-management-software/,fs-018-gym-management-software
null,Wearable Analytics Platform,Staffing,planned,https://github.com/Worldwidebro/fs-019-wearable-analytics-platform,https://worldwidebro.github.io/wearable-analytics-platform/,fs-019-wearable-analytics-platform
null,Yoga Studio,Staffing,validation,https://github.com/Worldwidebro/fs-020-yoga-studio,https://worldwidebro.github.io/yoga-studio/,fs-020-yoga-studio
null,Pilates Studio,Staffing,validation,https://github.com/Worldwidebro/fs-021-pilates-studio,https://worldwidebro.github.io/pilates-studio/,fs-021-pilates-studio
null,Dance Studio,Staffing,validation,https://github.com/Worldwidebro/fs-022-dance-studio,https://worldwidebro.github.io/dance-studio/,fs-022-dance-studio
null,Martial Arts Dojo,Staffing,validation,https://github.com/Worldwidebro/fs-023-martial-arts-dojo,https://worldwidebro.github.io/martial-arts-dojo/,fs-023-martial-arts-dojo
null,Sports Performance Center,Staffing,planned,https://github.com/Worldwidebro/fs-024-sports-performance-center,https://worldwidebro.github.io/sports-performance-center/,fs-024-sports-performance-center
null,Corporate Wellness Program,Staffing,mvp,https://github.com/Worldwidebro/fs-025-corporate-wellness-program,https://worldwidebro.github.io/corporate-wellness-program/,fs-025-corporate-wellness-program
null,Truck Dispatch Company,Transportation,validation,https://github.com/Worldwidebro/lt-001-truck-dispatch-company,https://worldwidebro.github.io/truck-dispatch-company/,lt-001-truck-dispatch-company
null,Freight Brokerage,Transportation,validation,https://github.com/Worldwidebro/lt-002-freight-brokerage,https://worldwidebro.github.io/freight-brokerage/,lt-002-freight-brokerage
null,Logistics Dispatch Service,Transportation,mvp,https://github.com/Worldwidebro/lt-003-logistics-dispatch-service,https://worldwidebro.github.io/logistics-dispatch-service/,lt-003-logistics-dispatch-service
null,Last Mile Delivery Dispatch,Transportation,mvp,https://github.com/Worldwidebro/lt-004-last-mile-delivery-dispatch,https://worldwidebro.github.io/last-mile-delivery-dispatch/,lt-004-last-mile-delivery-dispatch
null,Medical Courier Dispatch,Transportation,validation,https://github.com/Worldwidebro/lt-005-medical-courier-dispatch,https://worldwidebro.github.io/medical-courier-dispatch/,lt-005-medical-courier-dispatch
null,Amazon,Transportation,planned,https://github.com/Worldwidebro/lt-006-amazon,https://worldwidebro.github.io/amazon/,lt-006-amazon
null,Construction Dispatch,Transportation,validation,https://github.com/Worldwidebro/lt-007-construction-dispatch,https://worldwidebro.github.io/construction-dispatch/,lt-007-construction-dispatch
null,Towing Dispatch,Transportation,mvp,https://github.com/Worldwidebro/lt-008-towing-dispatch,https://worldwidebro.github.io/towing-dispatch/,lt-008-towing-dispatch
null,Hvac Technician Dispatch,Transportation,mvp,https://github.com/Worldwidebro/lt-009-hvac-technician-dispatch,https://worldwidebro.github.io/hvac-technician-dispatch/,lt-009-hvac-technician-dispatch
null,Field Service Dispatch,Transportation,mvp,https://github.com/Worldwidebro/lt-010-field-service-dispatch,https://worldwidebro.github.io/field-service-dispatch/,lt-010-field-service-dispatch
null,Dispatch Software,Transportation,planned,https://github.com/Worldwidebro/lt-011-dispatch-software,https://worldwidebro.github.io/dispatch-software/,lt-011-dispatch-software
null,Fleet Tracking Platform,Transportation,planned,https://github.com/Worldwidebro/lt-012-fleet-tracking-platform,https://worldwidebro.github.io/fleet-tracking-platform/,lt-012-fleet-tracking-platform
null,Logistics Automation System,Transportation,planned,https://github.com/Worldwidebro/lt-013-logistics-automation-system,https://worldwidebro.github.io/logistics-automation-system/,lt-013-logistics-automation-system
null,Ai Route Optimization,Transportation,planned,https://github.com/Worldwidebro/lt-014-ai-route-optimization,https://worldwidebro.github.io/ai-route-optimization/,lt-014-ai-route-optimization
null,Driver Management Platform,Transportation,planned,https://github.com/Worldwidebro/lt-015-driver-management-platform,https://worldwidebro.github.io/driver-management-platform/,lt-015-driver-management-platform
null,Trucking Company,Transportation,validation,https://github.com/Worldwidebro/lt-016-trucking-company,https://worldwidebro.github.io/trucking-company/,lt-016-trucking-company
null,Courier Service,Transportation,mvp,https://github.com/Worldwidebro/lt-017-courier-service,https://worldwidebro.github.io/courier-service/,lt-017-courier-service
null,Local Delivery Company,Transportation,mvp,https://github.com/Worldwidebro/lt-018-local-delivery-company,https://worldwidebro.github.io/local-delivery-company/,lt-018-local-delivery-company
null,Moving Company,Transportation,validation,https://github.com/Worldwidebro/lt-019-moving-company,https://worldwidebro.github.io/moving-company/,lt-019-moving-company
null,Freight Company,Transportation,validation,https://github.com/Worldwidebro/lt-020-freight-company,https://worldwidebro.github.io/freight-company/,lt-020-freight-company
null,Warehouse Company,Transportation,planned,https://github.com/Worldwidebro/lt-021-warehouse-company,https://worldwidebro.github.io/warehouse-company/,lt-021-warehouse-company
null,Fulfillment Center,Transportation,mvp,https://github.com/Worldwidebro/lt-022-fulfillment-center,https://worldwidebro.github.io/fulfillment-center/,lt-022-fulfillment-center
null,Storage Business,Transportation,validation,https://github.com/Worldwidebro/lt-023-storage-business,https://worldwidebro.github.io/storage-business/,lt-023-storage-business
null,Distribution Company,Transportation,validation,https://github.com/Worldwidebro/lt-024-distribution-company,https://worldwidebro.github.io/distribution-company/,lt-024-distribution-company
null,Logistics Marketplace,Transportation,planned,https://github.com/Worldwidebro/lt-025-logistics-marketplace,https://worldwidebro.github.io/logistics-marketplace/,lt-025-logistics-marketplace
