company,sector,phone,city_state,website,priority,notes,status,last_touch
Horne Heating & Air Conditioning,HVAC + Plumbing + Electrical,(704) 321-4173,Charlotte NC 28214,hornehvac.com,HIGH,40+ yrs; multi-trade; careers,not_contacted,
Acosta Heating Cooling & Electrical,HVAC + Electrical,(704) 292-6242,Charlotte NC,acostainc.com,HIGH,Family-owned since 1972; multi-trade,not_contacted,
City Air Experts,HVAC,(704) 737-9200,Charlotte NC 28203,cityairexperts.com,MEDIUM,Now Hiring posted,not_contacted,
Climate Systems,HVAC,(704) 525-0141,Charlotte NC 28217,,MEDIUM,Commercial HVAC,not_contacted,
IRV Plumbing Electric & HVAC,HVAC + Plumbing + Electrical,(704) 544-0200,Charlotte NC 28273,,MEDIUM,Multi-trade,not_contacted,
Patterson Heating & Air,HVAC,(704) 610-1489,Charlotte NC 28206,gopatterson.com,MEDIUM,Since 1946; commercial HVAC,not_contacted,
Bradham Comfort Services,HVAC + Electrical,(704) 912-1456,Charlotte NC 28214,bradhambrothers.com,MEDIUM,50 yrs; now hiring,not_contacted,
McClintock Heating & Cooling,HVAC + Plumbing + Electrical,(704) 321-5207,Matthews NC,mcclintockhvac.com,MEDIUM,Multi-trade; expanding,not_contacted,
JF Air and Heat,HVAC,(704) 999-7568,Charlotte NC 28277,,LOW,Smaller shop,not_contacted,
Travis Crawford Heating Cooling Plumbing Electrical,HVAC + Plumbing + Electrical,(704) 251-9762,Charlotte NC,traviscrawfordhvac.com,MEDIUM,Multi-trade since 2009,not_contacted,
Queen City Heating Air & Plumbing,HVAC + Plumbing,(704) 634-4466,Charlotte NC,queencityplumbingcharlotte.com,MEDIUM,Multi-trade,not_contacted,
Michael & Son (Charlotte),HVAC + Plumbing + Electrical,(704) 594-5420,Charlotte NC 28208,michaelandson.com,HIGH,Large multi-trade; high hiring volume,not_contacted,
E.R. Services (E.R. Plumbing),Plumbing,(704) 313-5375,Mint Hill NC 28227,erservicesclt.com,MEDIUM,Since 1997; employment-opportunities page,not_contacted,
Benjamin Franklin Plumbing Charlotte,Plumbing,(704) 802-1379,Charlotte NC 28273,benjaminfranklinplumbing.com,MEDIUM,Franchise; careers,not_contacted,
WyattWorks Plumbing Charlotte,Plumbing,(704) 825-5000,Charlotte NC,wyattworks.com,MEDIUM,40+ yrs,not_contacted,
Rideout Plumbing,Plumbing,(704) 375-0780,Charlotte NC,rideoutplumbing.com,LOW,Family-owned 35 yrs,not_contacted,
Bliss Plumbing,Plumbing,(704) 918-6004,Charlotte NC,plumbingbliss.com,LOW,Now hiring,not_contacted,
Superior Plumbing & Drains,Plumbing,,Monroe NC 28110,,LOW,Phone needs verify (area code); downtobid listing,not_contacted,
ARCO Design/Build Charlotte,Commercial GC (industrial),(704) 856-3056,Charlotte NC 28203,arcodb.com,HIGH,Industrial/warehouse/distribution; Pres. Eric Thompson,not_contacted,
Moser Commercial Construction LLC,Commercial GC,(704) 882-1700,Indian Trail NC 28079,,HIGH,HBA member; commercial,not_contacted,
MP Construction Corporation,Commercial GC,(704) 507-4482,Charlotte NC 28205,,MEDIUM,HBA member,not_contacted,
ML Lawson Construction,Commercial GC,(704) 400-1361,Indian Trail NC 28079,,MEDIUM,HBA member,not_contacted,
Mona Construction Company,Commercial GC,(704) 400-4914,Weddington NC 28173,,MEDIUM,HBA member,not_contacted,
Montrose LLC,Commercial GC,(704) 828-6096,Cornelius NC 28031,,MEDIUM,HBA member,not_contacted,
Alvakanda Construction (AVKD),Commercial GC,(704) 326-7014,Charlotte NC,avkdcompany.com,MEDIUM,Commercial upfit/remodel + ground-up,not_contacted,
Southside Constructors,Commercial GC,,Charlotte NC,southsideco.com,HIGH,Since 1999; 300+ commercial projects; pull phone from site,not_contacted,
Nance Construction,Commercial GC,,Charlotte NC,nancegc.com,MEDIUM,Commercial tenant improvements; pull phone from site,not_contacted,
Edifice Inc,Commercial GC (large),,Charlotte NC,edificeinc.com,HIGH,ENR Top 400; large; careers; pull phone from site,not_contacted,
McFarland Construction,Commercial GC,,Charlotte NC,mcfarlandconstructionus.com,MEDIUM,CM/GC/Design-Build; careers page; pull phone from site,not_contacted,
C4 Builders,Commercial GC,,Charlotte NC,c4builders.com,MEDIUM,Commercial interiors + ground-up; pull phone from site,not_contacted,
Evans General Contractors (Charlotte),Commercial GC,,Charlotte NC,evansgeneralcontractors.com,HIGH,Distribution/HQ/manufacturing; VP Chad Marshall; pull phone from site,not_contacted,
