repo,venture_id,name,sector,band,completion_est,signal_quality,has_code,has_dashboard,has_payments,notes
fh-016-recipe-app,FH-016-Recipe-App,Recipe App,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-017-cooking-content-brand,FH-017-Cooking-Content-Brand,Cooking Content Brand,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-018-food-influencer-brand,FH-018-Food-Influencer-Brand,Food Influencer Brand,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-019-cooking-course-platform,FH-019-Cooking-Course-Platform,Cooking Course Platform,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-024-juice-bar,FH-024-Juice-Bar,Juice Bar,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-030-organic-food-brand,FH-030-Organic-Food-Brand,Organic Food Brand,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-031-vegan-food-company,FH-031-Vegan-Food-Company,Vegan Food Company,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-032-keto-meal-service,FH-032-Keto-Meal-Service,Keto Meal Service,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-033-food-photography-service,FH-033-Food-Photography-Service,Food Photography Service,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-034-restaurant-consulting,FH-034-Restaurant-Consulting,Restaurant Consulting,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-003-personal-training-studio,FS-003-Personal-Training-Studio,Personal Training Studio,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-008-online-coaching,FS-008-Online-Coaching,Online Coaching,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-009-personal-trainer-business,FS-009-Personal-Trainer-Business,Personal Trainer Business,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-010-transformation-program,FS-010-Transformation-Program,Transformation Program,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-012-supplement-brand,FS-012-Supplement-Brand,Supplement Brand,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-013-fitness-apparel,FS-013-Fitness-Apparel,Fitness Apparel,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-015-recovery-products,FS-015-Recovery-Products,Recovery Products,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-016-fitness-app,FS-016-Fitness-App,Fitness App,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fs-025-corporate-wellness-program,FS-025-Corporate-Wellness-Program,Corporate Wellness Program,fitness-sports,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
con-002-residential-construction,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-003-commercial-construction,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-004-industrial-construction,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-005-construction-equipment-rental,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-006-construction-project-management,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-007-green-building-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-008-home-renovation-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-009-roofing-company,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-010-plumbing-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-011-electrical-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-012-hvac-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-013-painting-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-014-flooring-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-015-landscaping-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-016-demolition-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-017-concrete-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-018-carpentry-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-019-window-installation,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
con-020-insulation-services,CON-001,Ace Construction,construction,validation,40,templated-untrusted,True,False,False,"identical venture.json cloned across sibling repos, not repo-specific"
fh-003-private-dinner-experiences,FH-003-Private-Dinner-Experiences,Private Dinner Experiences,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-004-catering-company,FH-004-Catering-Company,Catering Company,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-007-elderly-meal-service,FH-007-Elderly-Meal-Service,Elderly Meal Service,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-009-packaged-food-brand,FH-009-Packaged-Food-Brand,Packaged Food Brand,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-010-frozen-meals-company,FH-010-Frozen-Meals-Company,Frozen Meals Company,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-013-meal-kit-company,FH-013-Meal-Kit-Company,Meal Kit Company,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-014-cloud-kitchen-,FH-014-Cloud-Kitchen-,Cloud Kitchen ,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-015-ai-nutrition-planner,FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-020-restaurant-pos-system,FH-020-Restaurant-POS-System,Restaurant Pos System,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-021-food-truck-business,FH-021-Food-Truck-Business,Food Truck Business,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-022-specialty-coffee-shop,FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-025-ice-cream-shop,FH-025-Ice-Cream-Shop,Ice Cream Shop,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-026-gourmet-food-market,FH-026-Gourmet-Food-Market,Gourmet Food Market,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fh-035-food-safety-training,FH-035-Food-Safety-Training,Food Safety Training,food-hospitality,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-001-genixbank-lite,FIN-001-GenixBank-Lite,Genixbank Lite,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-002-credit-repair-automation,FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-003-ai-boss-hub-lite,FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-004-genixbanks-ai-treasurer,FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-005-u-haul-rental-affiliate,FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-006-tax-prep-filing-services,FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-007-business-credit-building,FIN-007-Business-Credit-Building,Business Credit Building,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-008-business-formation-services,FIN-008-Business-Formation-Services,Business Formation Services,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-009-crypto-tax-optimizer,FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-010-ai-powered-garbage-collection,FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-011-automated-bookkeeping,FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-012-invoice-factoring-ai,FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-013-charity-donation-ai,FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-014-expense-tracker-ai,FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-015-financial-wellness-coach,FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-016-trade-finance-ai,FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-017-remittance-ai,FIN-017-Remittance-AI,Remittance Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-018-wealth-transfer-ai,FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-019-payment-gateway-ai,FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-020-debt-consolidation-ai,FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-021-tax-deduction-finder,FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-022-budget-forecasting-ai,FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-023-investment-portfolio-ai,FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-024-crowdfunding-ai,FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-025-escrow-automation,FIN-025-Escrow-Automation,Escrow Automation,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-026-financial-compliance-scanner,FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-027-patent-writer-ai,FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-028-legal-analyzer-ai,FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-029-compliance-wallet-saas,FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-030-local-seo-ranker-ai,FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-031-investor-dashboard-builder,FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-032-legal-toolkit-ai,FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-033-ai-tax-preparation-service,FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-034-payroll-automation,FIN-034-Payroll-Automation,Payroll Automation,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fin-035-insurance-underwriting-ai,FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-001-gym,FS-001-Gym,Gym,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-002-boutique-fitness-studio,FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-004-women-only-gym,FS-004-Women-Only-Gym,Women Only Gym,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-005-boxing-gym,FS-005-Boxing-Gym,Boxing Gym,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-006-crossfit-gym,FS-006-CrossFit-Gym,Crossfit Gym,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-011-athlete-training-company,FS-011-Athlete-Training-Company,Athlete Training Company,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-014-workout-equipment-brand,FS-014-Workout-Equipment-Brand,Workout Equipment Brand,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-020-yoga-studio,FS-020-Yoga-Studio,Yoga Studio,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-021-pilates-studio,FS-021-Pilates-Studio,Pilates Studio,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-022-dance-studio,FS-022-Dance-Studio,Dance Studio,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
fs-023-martial-arts-dojo,FS-023-Martial-Arts-Dojo,Martial Arts Dojo,fitness-sports,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
ps-012-insurance-agency,PS-012-Insurance-Agency,Insurance Agency,professional-services,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
tech-039-blockchain-verifier-ai,TECH-039-Blockchain-Verifier-AI,Blockchain Verifier Ai,technology,validation,25,stage-band-estimate,,,,no numeric completion field; banded from development_stage=validation
comm-001-luminary-worldwide-events,COMM-001-Luminary-Worldwide-Events,Luminary Worldwide Events,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-002-brotherhood-coaching-network,COMM-002-Brotherhood-Coaching-Network,Brotherhood Coaching Network,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-003-ace-senior-care-connect,COMM-003-Ace-Senior-Care-Connect,Ace Senior Care Connect,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-004-community-outreach-nonprofit,COMM-004-Community-Outreach-Nonprofit,Community Outreach Nonprofit,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-005-ace-food-security-ai,COMM-005-Ace-Food-Security-AI,Ace Food Security Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-006-community-technology-access-ai,COMM-006-Community-Technology-Access-AI,Community Technology Access Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-007-youth-leadership-ai,COMM-007-Youth-Leadership-AI,Youth Leadership Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-008-community-fundraising-ai,COMM-008-Community-Fundraising-AI,Community Fundraising Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-009-volunteer-hub-ai,COMM-009-Volunteer-Hub-AI,Volunteer Hub Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-010-disaster-relief-ai,COMM-010-Disaster-Relief-AI,Disaster Relief Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-011-indigenous-creator-hub,COMM-011-Indigenous-Creator-Hub,Indigenous Creator Hub,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-012-black-art-museum-ai,COMM-012-Black-Art-Museum-AI,Black Art Museum Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-013-women-s-empowerment-network,COMM-013-Women-s-Empowerment-Network,Women S Empowerment Network,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-014-veterans-support-ai,COMM-014-Veterans-Support-AI,Veterans Support Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-015-youth-mentorship-program,COMM-015-Youth-Mentorship-Program,Youth Mentorship Program,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-016-community-health-ai,COMM-016-Community-Health-AI,Community Health Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-017-local-business-directory,COMM-017-Local-Business-Directory,Local Business Directory,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-018-neighborhood-watch-ai,COMM-018-Neighborhood-Watch-AI,Neighborhood Watch Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-019-community-garden-ai,COMM-019-Community-Garden-AI,Community Garden Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-020-public-transportation-ai,COMM-020-Public-Transportation-AI,Public Transportation Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-021-housing-assistance-ai,COMM-021-Housing-Assistance-AI,Housing Assistance Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-022-job-training-center,COMM-022-Job-Training-Center,Job Training Center,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-023-elder-companion-ai,COMM-023-Elder-Companion-AI,Elder Companion Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-024-youth-sports-ai,COMM-024-Youth-Sports-AI,Youth Sports Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-025-community-legal-aid,COMM-025-Community-Legal-Aid,Community Legal Aid,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-026-public-education-ai,COMM-026-Public-Education-AI,Public Education Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-027-local-government-ai,COMM-027-Local-Government-AI,Local Government Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-028-public-safety-ai,COMM-028-Public-Safety-AI,Public Safety Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-029-community-wellness-ai,COMM-029-Community-Wellness-AI,Community Wellness Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-030-cultural-exchange-ai,COMM-030-Cultural-Exchange-AI,Cultural Exchange Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-031-community-investment-ai,COMM-031-Community-Investment-AI,Community Investment Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-032-public-health-ai,COMM-032-Public-Health-AI,Public Health Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-033-youth-innovation-hub,COMM-033-Youth-Innovation-Hub,Youth Innovation Hub,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-034-senior-tech-support,COMM-034-Senior-Tech-Support,Senior Tech Support,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-035-community-arts-ai,COMM-035-Community-Arts-AI,Community Arts Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-036-public-infrastructure-ai,COMM-036-Public-Infrastructure-AI,Public Infrastructure Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-037-neighborhood-development-ai,COMM-037-Neighborhood-Development-AI,Neighborhood Development Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-038-community-policing-ai,COMM-038-Community-Policing-AI,Community Policing Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-039-public-space-ai,COMM-039-Public-Space-AI,Public Space Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-040-community-recycling-ai,COMM-040-Community-Recycling-AI,Community Recycling Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-041-public-wi-fi-ai,COMM-041-Public-Wi-Fi-AI,Public Wi Fi Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-042-community-energy-ai,COMM-042-Community-Energy-AI,Community Energy Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-043-local-food-network-ai,COMM-043-Local-Food-Network-AI,Local Food Network Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-044-community-volunteering-ai,COMM-044-Community-Volunteering-AI,Community Volunteering Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-045-public-childcare-ai,COMM-045-Public-Childcare-AI,Public Childcare Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-046-community-pet-care-ai,COMM-046-Community-Pet-Care-AI,Community Pet Care Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-047-public-fitness-ai,COMM-047-Public-Fitness-AI,Public Fitness Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-048-community-transportation-ai,COMM-048-Community-Transportation-AI,Community Transportation Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-049-public-event-ai,COMM-049-Public-Event-AI,Public Event Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
comm-050-community-cultural-ai,COMM-050-Community-Cultural-AI,Community Cultural Ai,community,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-001-angels-in-daylight,EC-001-Angels-in-Daylight,Angels In Daylight,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-002-new-world-apparel,EC-002-New-World-Apparel,New World Apparel,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-003-shopify-autopilot,EC-003-Shopify-Autopilot,Shopify Autopilot,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-004-shoe-customizer,EC-004-Shoe-Customizer,Shoe Customizer,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-005-sunglasses-ai,EC-005-Sunglasses-AI,Sunglasses Ai,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-006-dropship-hub,EC-006-Dropship-Hub,Dropship Hub,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-007-personal-shopper-ai,EC-007-Personal-Shopper-AI,Personal Shopper Ai,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-008-custom-sneaker-ai,EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-009-sustainable-fashion-ai,EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
ec-010-jewelry-designer-ai,EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,e-commerce,planned,5,stage-band-estimate,,,,no numeric completion field; banded from development_stage=planned
