repo_name,github_url,type,sector,disk_mb,last_pushed,stars,status,notes
iza-os-financial-core,https://github.com/Worldwidebro/iza-os-financial-core,os_infrastructure,IZA_OS,6258,2026-06-12,0,ACTIVE,
clip,https://github.com/Worldwidebro/clip,other,OTHER,6061,2026-06-11,0,ACTIVE,
deliv-713-roadrunner-cannabis,https://github.com/Worldwidebro/deliv-713-roadrunner-cannabis,other,OTHER,6051,2026-06-07,0,ACTIVE,
Applyingforjobs,https://github.com/Worldwidebro/Applyingforjobs,other,OTHER,6021,2026-06-07,0,ACTIVE,
bw-001-up-next-business,https://github.com/Worldwidebro/bw-001-up-next-business,venture,BW,4337,2026-04-16,0,ACTIVE,
agency-agents,https://github.com/Worldwidebro/agency-agents,other,OTHER,3651,2026-07-01,0,ACTIVE,
billionaire-consciousness-empire,https://github.com/Worldwidebro/billionaire-consciousness-empire,venture,OTHER,3024,2026-04-16,0,ACTIVE,
iza-os-cryptocurrency-management,https://github.com/Worldwidebro/iza-os-cryptocurrency-management,os_infrastructure,IZA_OS,2736,2026-04-16,0,ACTIVE,
iza-os-tree-of-life,https://github.com/Worldwidebro/iza-os-tree-of-life,os_infrastructure,IZA_OS,2581,2026-05-28,0,ACTIVE,
the-office,https://github.com/Worldwidebro/the-office,other,OTHER,1326,2026-04-18,0,ACTIVE,
tech-040-cybersecurity-shield,https://github.com/Worldwidebro/tech-040-cybersecurity-shield,other,TECH,818,2026-07-09,0,ACTIVE,
Iza-library-os,https://github.com/Worldwidebro/Iza-library-os,other,OTHER,645,2026-07-26,0,ACTIVE,
lt-005-medical-courier-dispatch,https://github.com/Worldwidebro/lt-005-medical-courier-dispatch,other,OTHER,523,2026-07-15,0,REVENUE_READY,Ready for launch
babystepsmatrix1,https://github.com/Worldwidebro/babystepsmatrix1,other,OTHER,437,2026-04-16,0,ACTIVE,
arbitrage-nexus,https://github.com/Worldwidebro/arbitrage-nexus,other,OTHER,426,2026-07-11,0,ACTIVE,
con-001-ace-construction,https://github.com/Worldwidebro/con-001-ace-construction,venture,CON,358,2026-07-25,0,REVENUE_READY,Ready for launch
bw-001-up-next-code,https://github.com/Worldwidebro/bw-001-up-next-code,venture,BW,316,2026-04-17,0,ACTIVE,
vex-site,https://github.com/Worldwidebro/vex-site,dashboard,OTHER,313,2026-07-16,0,ACTIVE,
pitch-kit,https://github.com/Worldwidebro/pitch-kit,other,OTHER,279,2026-04-18,0,ACTIVE,
hermes-agent-command-center,https://github.com/Worldwidebro/hermes-agent-command-center,dashboard,OTHER,234,2026-07-19,0,ACTIVE,
ai-business-commander,https://github.com/Worldwidebro/ai-business-commander,dashboard,OTHER,221,2026-04-16,0,ACTIVE,
genixbank-insight-compass,https://github.com/Worldwidebro/genixbank-insight-compass,other,OTHER,183,2026-04-16,0,ACTIVE,
edu-013-automated-empire-book,https://github.com/Worldwidebro/edu-013-automated-empire-book,venture,EDU,177,2026-06-12,0,ACTIVE,
genixbank-financial-system,https://github.com/Worldwidebro/genixbank-financial-system,other,OTHER,167,2026-04-16,0,ACTIVE,
ops-staff-001-staffing,https://github.com/Worldwidebro/ops-staff-001-staffing,other,OTHER,144,2026-07-09,0,REVENUE_READY,Ready for launch
YES-LLC-CONTRACTOR-DELIVERY,https://github.com/Worldwidebro/YES-LLC-CONTRACTOR-DELIVERY,other,OTHER,129,2026-06-04,0,ACTIVE,
bw-eroticafox,https://github.com/Worldwidebro/bw-eroticafox,venture,BW,112,2026-07-14,0,ACTIVE,
civilization-os,https://github.com/Worldwidebro/civilization-os,other,OTHER,99,2026-04-20,0,ACTIVE,
comm-001-luminary-worldwide-events,https://github.com/Worldwidebro/comm-001-luminary-worldwide-events,other,OTHER,97,2026-04-27,0,ACTIVE,
fin-036-arbitrage-nexus-platform,https://github.com/Worldwidebro/fin-036-arbitrage-nexus-platform,venture,FIN,91,2026-07-19,0,ACTIVE,
design-system,https://github.com/Worldwidebro/design-system,other,OTHER,79,2026-04-16,0,ACTIVE,
venture-factory-core,https://github.com/Worldwidebro/venture-factory-core,venture,OTHER,71,2026-04-16,0,ACTIVE,
autonomous-venture-studio,https://github.com/Worldwidebro/autonomous-venture-studio,venture,OTHER,62,2026-04-16,0,ACTIVE,
ai-boss-holdings-v4,https://github.com/Worldwidebro/ai-boss-holdings-v4,other,OTHER,61,2026-04-16,0,ACTIVE,
edu-006-homeschooling-content-ai,https://github.com/Worldwidebro/edu-006-homeschooling-content-ai,venture,EDU,59,2026-06-14,0,ACTIVE,
fin-023-investment-portfolio-ai,https://github.com/Worldwidebro/fin-023-investment-portfolio-ai,venture,FIN,58,2026-07-15,0,ACTIVE,
ec-003-hella-scars,https://github.com/Worldwidebro/ec-003-hella-scars,venture,EC,55,2026-04-16,0,ACTIVE,
comm-021-housing-assistance-ai,https://github.com/Worldwidebro/comm-021-housing-assistance-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-010-disaster-relief-ai,https://github.com/Worldwidebro/comm-010-disaster-relief-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-009-volunteer-hub-ai,https://github.com/Worldwidebro/comm-009-volunteer-hub-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-008-community-fundraising-ai,https://github.com/Worldwidebro/comm-008-community-fundraising-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-007-youth-leadership-ai,https://github.com/Worldwidebro/comm-007-youth-leadership-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-006-community-technology-access-ai,https://github.com/Worldwidebro/comm-006-community-technology-access-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-005-ace-food-security-ai,https://github.com/Worldwidebro/comm-005-ace-food-security-ai,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-004-community-outreach-nonprofit,https://github.com/Worldwidebro/comm-004-community-outreach-nonprofit,other,OTHER,53,2026-04-27,0,ACTIVE,
comm-003-ace-senior-care-connect,https://github.com/Worldwidebro/comm-003-ace-senior-care-connect,venture,OTHER,53,2026-04-27,0,ACTIVE,
comm-002-brotherhood-coaching-network,https://github.com/Worldwidebro/comm-002-brotherhood-coaching-network,other,OTHER,53,2026-04-27,0,ACTIVE,
media-empire-platform,https://github.com/Worldwidebro/media-empire-platform,venture,OTHER,50,2026-07-22,0,ACTIVE,
re-001-worldwidebro-holdings,https://github.com/Worldwidebro/re-001-worldwidebro-holdings,venture,RE,49,2026-06-05,0,REVENUE_READY,Ready for launch
comm-041-public-wi-fi-ai,https://github.com/Worldwidebro/comm-041-public-wi-fi-ai,other,OTHER,48,2026-04-27,0,ACTIVE,
comm-028-public-safety-ai,https://github.com/Worldwidebro/comm-028-public-safety-ai,other,OTHER,48,2026-04-27,0,ACTIVE,
fin-033-legal-toolkit-ai,https://github.com/Worldwidebro/fin-033-legal-toolkit-ai,venture,FIN,48,2026-04-16,0,ACTIVE,
comm-050-community-cultural-ai,https://github.com/Worldwidebro/comm-050-community-cultural-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-048-community-transportation-ai,https://github.com/Worldwidebro/comm-048-community-transportation-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-047-public-fitness-ai,https://github.com/Worldwidebro/comm-047-public-fitness-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-045-public-childcare-ai,https://github.com/Worldwidebro/comm-045-public-childcare-ai,venture,OTHER,47,2026-04-27,0,ACTIVE,
comm-044-community-volunteering-ai,https://github.com/Worldwidebro/comm-044-community-volunteering-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-043-local-food-network-ai,https://github.com/Worldwidebro/comm-043-local-food-network-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-042-community-energy-ai,https://github.com/Worldwidebro/comm-042-community-energy-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-040-community-recycling-ai,https://github.com/Worldwidebro/comm-040-community-recycling-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-039-public-space-ai,https://github.com/Worldwidebro/comm-039-public-space-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-038-community-policing-ai,https://github.com/Worldwidebro/comm-038-community-policing-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-037-neighborhood-development-ai,https://github.com/Worldwidebro/comm-037-neighborhood-development-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-036-public-infrastructure-ai,https://github.com/Worldwidebro/comm-036-public-infrastructure-ai,venture,OTHER,47,2026-04-27,0,ACTIVE,
comm-035-community-arts-ai,https://github.com/Worldwidebro/comm-035-community-arts-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-034-senior-tech-support,https://github.com/Worldwidebro/comm-034-senior-tech-support,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-033-youth-innovation-hub,https://github.com/Worldwidebro/comm-033-youth-innovation-hub,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-032-public-health-ai,https://github.com/Worldwidebro/comm-032-public-health-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-031-community-investment-ai,https://github.com/Worldwidebro/comm-031-community-investment-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-030-cultural-exchange-ai,https://github.com/Worldwidebro/comm-030-cultural-exchange-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-029-community-wellness-ai,https://github.com/Worldwidebro/comm-029-community-wellness-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-027-local-government-ai,https://github.com/Worldwidebro/comm-027-local-government-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-026-public-education-ai,https://github.com/Worldwidebro/comm-026-public-education-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-025-community-legal-aid,https://github.com/Worldwidebro/comm-025-community-legal-aid,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-024-youth-sports-ai,https://github.com/Worldwidebro/comm-024-youth-sports-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-023-elder-companion-ai,https://github.com/Worldwidebro/comm-023-elder-companion-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-022-job-training-center,https://github.com/Worldwidebro/comm-022-job-training-center,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-020-public-transportation-ai,https://github.com/Worldwidebro/comm-020-public-transportation-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-019-community-garden-ai,https://github.com/Worldwidebro/comm-019-community-garden-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-018-neighborhood-watch-ai,https://github.com/Worldwidebro/comm-018-neighborhood-watch-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-017-local-business-directory,https://github.com/Worldwidebro/comm-017-local-business-directory,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-016-community-health-ai,https://github.com/Worldwidebro/comm-016-community-health-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-015-youth-mentorship-program,https://github.com/Worldwidebro/comm-015-youth-mentorship-program,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-014-veterans-support-ai,https://github.com/Worldwidebro/comm-014-veterans-support-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-013-women-s-empowerment-network,https://github.com/Worldwidebro/comm-013-women-s-empowerment-network,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-012-black-art-museum-ai,https://github.com/Worldwidebro/comm-012-black-art-museum-ai,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-011-indigenous-creator-hub,https://github.com/Worldwidebro/comm-011-indigenous-creator-hub,other,OTHER,47,2026-04-27,0,ACTIVE,
comm-049-public-event-ai,https://github.com/Worldwidebro/comm-049-public-event-ai,other,OTHER,46,2026-04-27,0,ACTIVE,
comm-046-community-pet-care-ai,https://github.com/Worldwidebro/comm-046-community-pet-care-ai,venture,OTHER,46,2026-04-27,0,ACTIVE,
claude-workflow-demo,https://github.com/Worldwidebro/claude-workflow-demo,other,OTHER,45,2026-04-16,0,ACTIVE,
iza-os-rag-system,https://github.com/Worldwidebro/iza-os-rag-system,os_infrastructure,IZA_OS,43,2026-04-17,0,ACTIVE,
bloom-community-hub,https://github.com/Worldwidebro/bloom-community-hub,other,OTHER,42,2026-07-07,0,ACTIVE,
fin-033-ai-tax-preparation-service,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service,venture,FIN,39,2026-07-09,0,ACTIVE,
fin-021-tax-deduction-finder,https://github.com/Worldwidebro/fin-021-tax-deduction-finder,venture,FIN,39,2026-07-09,0,ACTIVE,
deployment-orchestrator,https://github.com/Worldwidebro/deployment-orchestrator,other,OTHER,35,2026-04-16,0,ACTIVE,
fin-009-crypto-tax-optimizer,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer,venture,FIN,34,2026-07-09,0,ACTIVE,
fin-006-tax-prep-filing-services,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services,venture,FIN,34,2026-07-09,0,ACTIVE,
iza-os-agents,https://github.com/Worldwidebro/iza-os-agents,os_infrastructure,IZA_OS,34,2026-04-16,0,ACTIVE,
iza-os-workflow-integration,https://github.com/Worldwidebro/iza-os-workflow-integration,os_infrastructure,IZA_OS,33,2026-04-16,0,ACTIVE,
investment-fund-management,https://github.com/Worldwidebro/investment-fund-management,other,OTHER,33,2026-04-16,0,ACTIVE,
acquisition-vehicle-automation,https://github.com/Worldwidebro/acquisition-vehicle-automation,other,OTHER,32,2026-04-16,0,ACTIVE,
consciousness-deployment-system,https://github.com/Worldwidebro/consciousness-deployment-system,other,OTHER,32,2026-04-16,0,ACTIVE,
consulting-services-automation,https://github.com/Worldwidebro/consulting-services-automation,other,OTHER,32,2026-04-16,0,ACTIVE,
education-platform-system,https://github.com/Worldwidebro/education-platform-system,other,OTHER,32,2026-04-16,0,ACTIVE,
global-operations-automation,https://github.com/Worldwidebro/global-operations-automation,other,OTHER,32,2026-04-16,0,ACTIVE,
innovation-hub-platform,https://github.com/Worldwidebro/innovation-hub-platform,other,OTHER,32,2026-04-16,0,ACTIVE,
intellectual-property-management,https://github.com/Worldwidebro/intellectual-property-management,other,OTHER,32,2026-04-16,0,ACTIVE,
iza-os-ai-consciousness-platform,https://github.com/Worldwidebro/iza-os-ai-consciousness-platform,os_infrastructure,IZA_OS,32,2026-04-16,0,ACTIVE,
iza-os-automation-integration,https://github.com/Worldwidebro/iza-os-automation-integration,os_infrastructure,IZA_OS,32,2026-04-16,0,ACTIVE,
iza-os-data-integration-hub,https://github.com/Worldwidebro/iza-os-data-integration-hub,os_infrastructure,IZA_OS,32,2026-04-16,0,ACTIVE,
iza-os-defi-platform,https://github.com/Worldwidebro/iza-os-defi-platform,os_infrastructure,IZA_OS,32,2026-04-16,0,ACTIVE,
mc-006-video-production-company,https://github.com/Worldwidebro/mc-006-video-production-company,other,OTHER,31,2026-07-06,0,ACTIVE,
fin-001-genixbank-lite,https://github.com/Worldwidebro/fin-001-genixbank-lite,venture,FIN,30,2026-06-05,0,ACTIVE,
ec-002-new-world-apparel,https://github.com/Worldwidebro/ec-002-new-world-apparel,venture,EC,29,2026-06-22,0,ACTIVE,
business-template-marketplace,https://github.com/Worldwidebro/business-template-marketplace,other,OTHER,29,2026-04-16,0,ACTIVE,
iza-os-analytics,https://github.com/Worldwidebro/iza-os-analytics,os_infrastructure,IZA_OS,27,2026-04-16,0,ACTIVE,
fin-020-debt-consolidation-ai,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-022-budget-forecasting-ai,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-024-crowdfunding-ai,https://github.com/Worldwidebro/fin-024-crowdfunding-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-025-escrow-automation,https://github.com/Worldwidebro/fin-025-escrow-automation,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-026-financial-compliance-scanner,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-027-patent-writer-ai,https://github.com/Worldwidebro/fin-027-patent-writer-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-028-legal-analyzer-ai,https://github.com/Worldwidebro/fin-028-legal-analyzer-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-029-compliance-wallet-saas,https://github.com/Worldwidebro/fin-029-compliance-wallet-saas,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-030-local-seo-ranker-ai,https://github.com/Worldwidebro/fin-030-local-seo-ranker-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-031-investor-dashboard-builder,https://github.com/Worldwidebro/fin-031-investor-dashboard-builder,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-034-payroll-automation,https://github.com/Worldwidebro/fin-034-payroll-automation,venture,FIN,26,2026-04-16,0,ACTIVE,
fin-035-insurance-underwriting-ai,https://github.com/Worldwidebro/fin-035-insurance-underwriting-ai,venture,FIN,26,2026-04-16,0,ACTIVE,
iza-os-data,https://github.com/Worldwidebro/iza-os-data,os_infrastructure,IZA_OS,25,2026-04-16,0,ACTIVE,
fin-032-legal-toolkit-ai,https://github.com/Worldwidebro/fin-032-legal-toolkit-ai,venture,FIN,24,2026-04-16,0,ACTIVE,
con-009-roofing-company,https://github.com/Worldwidebro/con-009-roofing-company,venture,CON,23,2026-06-10,0,ACTIVE,
ai-venture-studio-template,https://github.com/Worldwidebro/ai-venture-studio-template,venture,OTHER,23,2026-04-16,0,ACTIVE,
fh-001-personal-chef-service,https://github.com/Worldwidebro/fh-001-personal-chef-service,other,FH,23,2026-04-16,0,ACTIVE,
fh-003-private-dinner-experiences,https://github.com/Worldwidebro/fh-003-private-dinner-experiences,other,FH,23,2026-04-16,0,ACTIVE,
fh-004-catering-company,https://github.com/Worldwidebro/fh-004-catering-company,other,FH,23,2026-04-16,0,ACTIVE,
fh-006-healthy-meal-prep-for-gyms,https://github.com/Worldwidebro/fh-006-healthy-meal-prep-for-gyms,other,FH,23,2026-04-16,0,ACTIVE,
fh-009-packaged-food-brand,https://github.com/Worldwidebro/fh-009-packaged-food-brand,other,FH,23,2026-04-16,0,ACTIVE,
fh-008-athlete-nutrition-service,https://github.com/Worldwidebro/fh-008-athlete-nutrition-service,other,FH,23,2026-04-16,0,ACTIVE,
fh-012-protein-snacks-brand,https://github.com/Worldwidebro/fh-012-protein-snacks-brand,other,FH,23,2026-04-16,0,ACTIVE,
fh-013-meal-kit-company,https://github.com/Worldwidebro/fh-013-meal-kit-company,other,FH,23,2026-04-16,0,ACTIVE,
fh-016-recipe-app,https://github.com/Worldwidebro/fh-016-recipe-app,other,FH,23,2026-04-16,0,ACTIVE,
fh-017-cooking-content-brand,https://github.com/Worldwidebro/fh-017-cooking-content-brand,other,FH,23,2026-04-16,0,ACTIVE,
fh-019-cooking-course-platform,https://github.com/Worldwidebro/fh-019-cooking-course-platform,other,FH,23,2026-04-16,0,ACTIVE,
fh-021-food-truck-business,https://github.com/Worldwidebro/fh-021-food-truck-business,other,FH,23,2026-04-16,0,ACTIVE,
fh-022-specialty-coffee-shop,https://github.com/Worldwidebro/fh-022-specialty-coffee-shop,other,FH,23,2026-04-16,0,ACTIVE,
fh-024-juice-bar,https://github.com/Worldwidebro/fh-024-juice-bar,other,FH,23,2026-04-16,0,ACTIVE,
fh-025-ice-cream-shop,https://github.com/Worldwidebro/fh-025-ice-cream-shop,other,FH,23,2026-04-16,0,ACTIVE,
fh-027-food-delivery-platform,https://github.com/Worldwidebro/fh-027-food-delivery-platform,other,FH,23,2026-04-16,0,ACTIVE,
fh-028-restaurant-management-saas,https://github.com/Worldwidebro/fh-028-restaurant-management-saas,other,FH,23,2026-04-16,0,ACTIVE,
fh-030-organic-food-brand,https://github.com/Worldwidebro/fh-030-organic-food-brand,other,FH,23,2026-04-16,0,ACTIVE,
fh-032-keto-meal-service,https://github.com/Worldwidebro/fh-032-keto-meal-service,other,FH,23,2026-04-16,0,ACTIVE,
fh-033-food-photography-service,https://github.com/Worldwidebro/fh-033-food-photography-service,other,FH,23,2026-04-16,0,ACTIVE,
fh-035-food-safety-training,https://github.com/Worldwidebro/fh-035-food-safety-training,other,FH,23,2026-04-16,0,ACTIVE,
iza-os-construction-core,https://github.com/Worldwidebro/iza-os-construction-core,os_infrastructure,IZA_OS,22,2026-06-22,0,ACTIVE,
con-010-plumbing-services,https://github.com/Worldwidebro/con-010-plumbing-services,venture,CON,22,2026-06-10,0,ACTIVE,
fh-002-meal-prep-delivery,https://github.com/Worldwidebro/fh-002-meal-prep-delivery,other,FH,22,2026-04-16,0,ACTIVE,
fh-005-corporate-lunch-service,https://github.com/Worldwidebro/fh-005-corporate-lunch-service,other,FH,22,2026-04-16,0,ACTIVE,
fh-007-elderly-meal-service,https://github.com/Worldwidebro/fh-007-elderly-meal-service,other,FH,22,2026-04-16,0,ACTIVE,
fh-010-frozen-meals-company,https://github.com/Worldwidebro/fh-010-frozen-meals-company,other,FH,22,2026-04-16,0,ACTIVE,
fh-011-sauce-or-seasoning-brand,https://github.com/Worldwidebro/fh-011-sauce-or-seasoning-brand,other,FH,22,2026-04-16,0,ACTIVE,
fh-014-cloud-kitchen-,https://github.com/Worldwidebro/fh-014-cloud-kitchen-,other,FH,22,2026-04-16,0,ACTIVE,
fh-015-ai-nutrition-planner,https://github.com/Worldwidebro/fh-015-ai-nutrition-planner,other,FH,22,2026-04-16,0,ACTIVE,
fh-018-food-influencer-brand,https://github.com/Worldwidebro/fh-018-food-influencer-brand,other,FH,22,2026-04-16,0,ACTIVE,
fh-020-restaurant-pos-system,https://github.com/Worldwidebro/fh-020-restaurant-pos-system,other,FH,22,2026-04-16,0,ACTIVE,
fh-026-gourmet-food-market,https://github.com/Worldwidebro/fh-026-gourmet-food-market,other,FH,22,2026-04-16,0,ACTIVE,
fh-029-food-quality-testing-lab,https://github.com/Worldwidebro/fh-029-food-quality-testing-lab,other,FH,22,2026-04-16,0,ACTIVE,
fh-031-vegan-food-company,https://github.com/Worldwidebro/fh-031-vegan-food-company,other,FH,22,2026-04-16,0,ACTIVE,
fh-034-restaurant-consulting,https://github.com/Worldwidebro/fh-034-restaurant-consulting,other,FH,22,2026-04-16,0,ACTIVE,
fs-002-boutique-fitness-studio,https://github.com/Worldwidebro/fs-002-boutique-fitness-studio,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-003-personal-training-studio,https://github.com/Worldwidebro/fs-003-personal-training-studio,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-004-women-only-gym,https://github.com/Worldwidebro/fs-004-women-only-gym,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-005-boxing-gym,https://github.com/Worldwidebro/fs-005-boxing-gym,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-006-crossfit-gym,https://github.com/Worldwidebro/fs-006-crossfit-gym,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-007-luxury-fitness-club,https://github.com/Worldwidebro/fs-007-luxury-fitness-club,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-009-personal-trainer-business,https://github.com/Worldwidebro/fs-009-personal-trainer-business,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-010-transformation-program,https://github.com/Worldwidebro/fs-010-transformation-program,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-011-athlete-training-company,https://github.com/Worldwidebro/fs-011-athlete-training-company,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-012-supplement-brand,https://github.com/Worldwidebro/fs-012-supplement-brand,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-013-fitness-apparel,https://github.com/Worldwidebro/fs-013-fitness-apparel,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-014-workout-equipment-brand,https://github.com/Worldwidebro/fs-014-workout-equipment-brand,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-015-recovery-products,https://github.com/Worldwidebro/fs-015-recovery-products,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-017-ai-personal-trainer,https://github.com/Worldwidebro/fs-017-ai-personal-trainer,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-019-wearable-analytics-platform,https://github.com/Worldwidebro/fs-019-wearable-analytics-platform,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-020-yoga-studio,https://github.com/Worldwidebro/fs-020-yoga-studio,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-021-pilates-studio,https://github.com/Worldwidebro/fs-021-pilates-studio,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-022-dance-studio,https://github.com/Worldwidebro/fs-022-dance-studio,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-023-martial-arts-dojo,https://github.com/Worldwidebro/fs-023-martial-arts-dojo,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-024-sports-performance-center,https://github.com/Worldwidebro/fs-024-sports-performance-center,other,OTHER,22,2026-04-16,0,ACTIVE,
fs-025-corporate-wellness-program,https://github.com/Worldwidebro/fs-025-corporate-wellness-program,other,OTHER,22,2026-04-16,0,ACTIVE,
avatar-engine,https://github.com/Worldwidebro/avatar-engine,other,OTHER,21,2026-06-26,0,ACTIVE,
