agent_name,sector,repo_name,repo_category,responsibility_type,escalation_threshold
qwen-beauty-wellness,BW,bw-012-mobile-nail-tech,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-013-luxury-nail-spa,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-014-press-on-nail-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-015-nail-art-studio,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-016-nail-polish-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-017-nail-care-products,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-018-nail-booking-marketplace,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-019-salon-management-software,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-020-ai-nail-design-generator,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-021-hair-salon,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-022-barbershop,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-023-mobile-hairstyling,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-024-hair-braiding-studio,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-025-wig-installation-studio,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-026-hair-extension-salon,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-027-hair-care-line,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-028-wig-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-029-hair-extensions-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-030-scalp-treatment-products,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-031-hair-marketplace,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-032-stylist-booking-platform,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-033-ai-hairstyle-simulator,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-034-salon-franchise-chain,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-035-makeup-studio,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-036-bridal-makeup-service,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-037-mobile-makeup-artist,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-038-photoshoot-makeup-team,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-039-cosmetics-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-040-beauty-tools-brand,aligned-venture,primary,$50K
qwen-education,EDU,capital-orchestrator,aligned-venture,primary,$50K
qwen-finance,FIN,civilization-os-infra,aligned-venture,primary,$50K
qwen-community,COMM,comm-001-luminary-worldwide-events,aligned-venture,primary,$50K
qwen-community,COMM,comm-002-brotherhood-coaching-network,aligned-venture,primary,$50K
qwen-community,COMM,comm-003-ace-senior-care-connect,aligned-venture,primary,$50K
qwen-community,COMM,comm-004-community-outreach-nonprofit,aligned-venture,primary,$50K
qwen-community,COMM,comm-005-ace-food-security-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-006-community-technology-access-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-007-youth-leadership-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-008-community-fundraising-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-009-volunteer-hub-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-010-disaster-relief-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-011-indigenous-creator-hub,aligned-venture,primary,$50K
qwen-community,COMM,comm-012-black-art-museum-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-013-women-s-empowerment-network,aligned-venture,primary,$50K
qwen-community,COMM,comm-014-veterans-support-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-015-youth-mentorship-program,aligned-venture,primary,$50K
qwen-community,COMM,comm-016-community-health-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-017-local-business-directory,aligned-venture,primary,$50K
qwen-community,COMM,comm-018-neighborhood-watch-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-019-community-garden-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-020-public-transportation-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-021-housing-assistance-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-022-job-training-center,aligned-venture,primary,$50K
qwen-community,COMM,comm-023-elder-companion-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-024-youth-sports-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-025-community-legal-aid,aligned-venture,primary,$50K
qwen-community,COMM,comm-026-public-education-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-027-local-government-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-028-public-safety-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-029-community-wellness-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-030-cultural-exchange-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-031-community-investment-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-032-public-health-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-033-youth-innovation-hub,aligned-venture,primary,$50K
qwen-community,COMM,comm-034-senior-tech-support,aligned-venture,primary,$50K
qwen-community,COMM,comm-035-community-arts-ai,aligned-venture,primary,$50K
qwen-operations,OPS,comm-036-public-infrastructure-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-037-neighborhood-development-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-038-community-policing-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-039-public-space-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-040-community-recycling-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-041-public-wi-fi-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-042-community-energy-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-043-local-food-network-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-044-community-volunteering-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-045-public-childcare-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-046-community-pet-care-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-047-public-fitness-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-048-community-transportation-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-049-public-event-ai,aligned-venture,primary,$50K
qwen-community,COMM,comm-050-community-cultural-ai,aligned-venture,primary,$50K
qwen-construction,CON,con-001-ace-construction,aligned-venture,primary,$50K
qwen-construction,CON,con-002-residential-construction,aligned-venture,primary,$50K
qwen-construction,CON,con-003-commercial-construction,aligned-venture,primary,$50K
qwen-construction,CON,con-004-industrial-construction,aligned-venture,primary,$50K
qwen-construction,CON,con-005-construction-equipment-rental,aligned-venture,primary,$50K
qwen-construction,CON,con-006-construction-project-management,aligned-venture,primary,$50K
qwen-construction,CON,con-007-green-building-services,aligned-venture,primary,$50K
qwen-construction,CON,con-008-home-renovation-services,aligned-venture,primary,$50K
qwen-construction,CON,con-009-roofing-company,aligned-venture,primary,$50K
qwen-construction,CON,con-010-plumbing-services,aligned-venture,primary,$50K
qwen-construction,CON,con-011-electrical-services,aligned-venture,primary,$50K
qwen-construction,CON,con-012-hvac-services,aligned-venture,primary,$50K
qwen-construction,CON,con-013-painting-services,aligned-venture,primary,$50K
qwen-construction,CON,con-014-flooring-services,aligned-venture,primary,$50K
qwen-construction,CON,con-015-landscaping-services,aligned-venture,primary,$50K
qwen-construction,CON,con-016-demolition-services,aligned-venture,primary,$50K
qwen-construction,CON,con-017-concrete-services,aligned-venture,primary,$50K
qwen-construction,CON,con-018-carpentry-services,aligned-venture,primary,$50K
qwen-construction,CON,con-019-window-installation,aligned-venture,primary,$50K
qwen-construction,CON,con-020-insulation-services,aligned-venture,primary,$50K
qwen-profile,PROFILE,divine-johns-portfolio,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-001-angels-in-daylight,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-002-new-world-apparel,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-003-hella-scars,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-003-shopify-autopilot,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-004-godbody-luxuries,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-004-shoe-customizer,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-005-nwa-products,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-005-sunglasses-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-006-dropship-hub,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-007-personal-shopper-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-008-custom-sneaker-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-009-sustainable-fashion-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-010-jewelry-designer-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-011-virtual-try-on-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-012-fashion-designer-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-013-merch-licensing,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-014-subscription-box-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-015-surf-gear-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-016-ski-gear-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-017-golf-gear-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-018-fishing-gear-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-019-yoga-gear-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-020-costume-shop-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-021-luggage-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-022-home-appliance-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-023-tool-shop-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-024-garden-supply-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-025-collectible-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-026-hobby-shop-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-027-kids-toy-line,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-028-nft-fashion-licensing,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-029-instant-brand-generator,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-030-ai-product-photographer,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-031-automated-inventory-forecaster,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-032-dynamic-pricing-engine,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-033-ad-optimizer-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-034-recommendation-engine,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-035-review-aggregator-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-036-fulfillment-network-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-037-return-optimization-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-038-chatbot-customer-service,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-039-visual-search-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-040-abandoned-cart-recovery,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-041-seasonal-trend-predictor,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-042-influencer-matchmaker,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-043-ugc-content-aggregator,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-044-live-commerce-platform,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-045-ar-virtual-fitting-room,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-046-3d-product-viewer,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-047-carbon-footprint-tracker,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-048-wholesale-marketplace-ai,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-049-rental-marketplace,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-050-ai-product-descriptions,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-051-ai-email-marketing,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-052-ai-product-bundler,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-053-ai-visual-merchandiser,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-054-ai-demand-forecasting,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-055-ai-warehouse-management,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-056-ai-supplier-matching,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-057-ai-quality-control,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-058-ai-packaging-designer,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-059-ai-logistics-planner,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-060-ai-customer-loyalty,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-061-ai-gift-finder,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-062-ai-trend-hunter,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-063-ai-market-research,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-064-ai-competitor-watcher,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-065-ai-product-development,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-066-ai-customer-journey,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-067-ai-payment-optimization,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-068-ai-returns-management,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-069-ai-shipping-labeler,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-070-ai-product-launch-coach,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-071-ai-vendor-negotiator,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-072-ai-product-cataloger,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-073-ai-order-prioritizer,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-074-ai-customer-segmentation,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-075-ai-pricing-analyst,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-076-ai-sales-forecasting,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-077-ai-inventory-reordering,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-078-ai-product-comparison,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-079-ai-customer-feedback,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-080-ai-product-updates,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-081-ai-cross-selling,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-082-ai-up-selling,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-083-ai-product-education,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-084-ai-purchase-timing,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-085-ai-customer-support,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-086-ai-order-tracking,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-087-ai-product-reviews,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-088-ai-customer-community,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-089-ai-product-customization,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-090-ai-gift-registry,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-091-ai-wedding-registry,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-092-ai-baby-registry,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-093-ai-holiday-planner,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-094-ai-personal-shopper,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-095-ai-color-match,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-096-ai-fabric-advisor,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-097-ai-fit-recommendation,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-098-ai-outfit-builder,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-099-ai-seasonal-forecast,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-100-ai-wardrobe-planner,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-101-ai-accessory-match,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-102-ai-shoe-match,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-103-ai-jewelry-match,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-104-ai-bag-match,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-105-ai-color-palette,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-106-ai-outfit-recycling,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-107-ai-style-evolution,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-108-ai-budget-stylist,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-109-ai-trend-archive,aligned-venture,primary,$50K
qwen-ecommerce,EC,ec-110-ai-vintage-advisor,aligned-venture,primary,$50K
qwen-education,EDU,edu-001-youth-entrepreneurship-curriculum,aligned-venture,primary,$50K
qwen-education,EDU,edu-002-ai-literacy-program,aligned-venture,primary,$50K
qwen-education,EDU,edu-003-coding-mentor-certification,aligned-venture,primary,$50K
qwen-education,EDU,edu-004-real-estate-licensing-prep,aligned-venture,primary,$50K
qwen-education,EDU,edu-005-coding-bootcamp,aligned-venture,primary,$50K
qwen-education,EDU,edu-006-homeschooling-content-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-007-ai-tutoring-platform,aligned-venture,primary,$50K
qwen-education,EDU,edu-008-branding-templates-marketplace,aligned-venture,primary,$50K
qwen-education,EDU,edu-009-voiceover-script-library,aligned-venture,primary,$50K
qwen-education,EDU,edu-010-trade-skills-bootcamp,aligned-venture,primary,$50K
qwen-education,EDU,edu-011-franchise-blueprint-system,aligned-venture,primary,$50K
qwen-education,EDU,edu-012-low-income-housing-blueprint,aligned-venture,primary,$50K
qwen-education,EDU,edu-013-automated-empire-book,aligned-venture,primary,$50K
qwen-education,EDU,edu-014-bipoc-creator-incubator,aligned-venture,primary,$50K
qwen-education,EDU,edu-015-ai-legal-doc-generator,aligned-venture,primary,$50K
qwen-education,EDU,edu-016-virtual-black-art-museum,aligned-venture,primary,$50K
qwen-education,EDU,edu-017-ai-coding-tutor,aligned-venture,primary,$50K
qwen-education,EDU,edu-018-online-course-creator,aligned-venture,primary,$50K
qwen-education,EDU,edu-019-executive-education-program,aligned-venture,primary,$50K
qwen-education,EDU,edu-020-youth-stem-program,aligned-venture,primary,$50K
qwen-education,EDU,edu-021-remote-work-certification,aligned-venture,primary,$50K
qwen-education,EDU,edu-022-ai-research-assistant,aligned-venture,primary,$50K
qwen-education,EDU,edu-023-personal-finance-coach,aligned-venture,primary,$50K
qwen-education,EDU,edu-024-language-learning-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-025-test-preparation-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-026-corporate-training-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-027-medical-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-028-legal-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-029-music-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-030-art-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-031-physical-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-032-environmental-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-033-social-studies-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-034-math-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-035-science-education-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-036-reading-comprehension-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-037-writing-instruction-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-038-critical-thinking-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-039-emotional-intelligence-ai,aligned-venture,primary,$50K
qwen-education,EDU,edu-040-time-management-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-001-space-habitat-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-002-fusion-energy-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-003-teleportation-research-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-004-climate-solutions-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-005-holographic-events-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-006-neurofeedback-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-007-autonomous-delivery-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-008-gene-editing-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-009-space-tourism-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-010-wearables-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-011-metaverse-hub-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-012-energy-grid-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-013-brain-computer-interface,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-014-ocean-cleanup-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-015-crypto-trading-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-016-synthetic-media-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-017-space-mining-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-018-vr-therapy-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-019-weather-prediction-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-020-autonomous-farming-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-021-traffic-optimizer-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-022-smart-grid-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-023-disaster-prediction-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-024-nanotech-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-025-personalized-medicine-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-026-ai-diagnostic-lab,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-027-sustainable-cities-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-028-renewable-energy-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-029-climate-modeling-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-030-policy-advisor-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-031-governance-hub-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-032-global-challenges-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-033-space-exploration-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-034-education-equity-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-035-health-equity-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-036-economic-equity-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-037-environmental-justice-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-038-human-rights-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-039-peacebuilding-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-040-telemedicine-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-041-ai-climate-adaptation,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-042-space-agriculture-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-043-quantum-communication-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-044-robotics-surgery-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-045-ai-disaster-response,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-046-smart-city-governance,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-047-ai-environmental-monitoring,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-048-space-manufacturing-ai,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-049-ai-ocean-exploration,aligned-venture,primary,$50K
qwen-emerging-markets,EM,em-050-ai-archaeology,aligned-venture,primary,$50K
qwen-education,ET,et-001-online-tutoring-platform,aligned-venture,primary,$50K
qwen-education,ET,et-002-language-learning-app,aligned-venture,primary,$50K
qwen-education,ET,et-003-content,aligned-venture,primary,$50K
qwen-education,ET,et-003-platform,aligned-venture,primary,$50K
qwen-education,ET,et-003-test-prep-service,aligned-venture,primary,$50K
qwen-education,ET,et-004-coding-bootcamp,aligned-venture,primary,$50K
qwen-education,ET,et-005-professional-certification,aligned-venture,primary,$50K
qwen-education,ET,et-006-corporate-training,aligned-venture,primary,$50K
qwen-education,ET,et-007-skills-assessment-platform,aligned-venture,primary,$50K
qwen-education,ET,et-008-career-coaching,aligned-venture,primary,$50K
qwen-education,ET,et-009-resume-writing-service,aligned-venture,primary,$50K
qwen-education,ET,et-010-interview-prep-platform,aligned-venture,primary,$50K
qwen-education,ET,et-011-mentorship-platform,aligned-venture,primary,$50K
qwen-education,ET,et-012-educational-content-library,aligned-venture,primary,$50K
qwen-education,ET,et-013-vr-training-simulations,aligned-venture,primary,$50K
qwen-education,ET,et-014-gamified-learning-app,aligned-venture,primary,$50K
qwen-education,ET,et-015-homeschool-curriculum,aligned-venture,primary,$50K
qwen-financial-health,FH,fh-001-personal-chef-service,aligned-venture,primary,$50K
qwen-financial-health,FH,fh-002-meal-prep-delivery,aligned-venture,primary,$50K
