rank,name,total_score,tier,category,stars,language,venture_match_count,strategic_importance,capability_depth,ecosystem_fit,production_readiness,agent_native,business_value,differentiation,maintenance_risk,url
51,iza-os-marketing-automation-analytics-bot,50,C — Nice-to-have,Unclassified,0,c,0,12,12,8,12,4,3,0,-1,https://github.com/Worldwidebro/iza-os-marketing-automation-analytics-bot
52,iza-os-finance-advisor-analytics-bot,49,C — Nice-to-have,Unclassified,0,python,0,12,15,8,9,4,3,2,-4,https://github.com/Worldwidebro/iza-os-finance-advisor-analytics-bot
53,CloakBrowser,49,C — Nice-to-have,Unclassified,27922,python,312,6,9,7,15,0,6,6,0,https://github.com/CloakHQ/CloakBrowser
54,cilium,49,C — Nice-to-have,Unclassified,24674,go,0,8,15,8,7,0,3,8,0,https://github.com/cilium/cilium
55,awesome-n8n-templates,48,C — Nice-to-have,Asset,23725,Unknown,0,8,15,4,0,10,3,8,0,https://github.com/enescingoz/awesome-n8n-templates
56,engram,48,C — Nice-to-have,Product,4964,go,0,8,15,4,0,10,5,6,0,https://github.com/Gentleman-Programming/engram
57,textme,48,C — Nice-to-have,Unclassified,92,typescript,0,8,15,8,7,4,3,3,0,https://github.com/njerschow/textme
58,owl,48,C — Nice-to-have,Unclassified,19928,python,1,8,12,8,4,8,3,6,-1,https://github.com/camel-ai/owl
59,server,48,C — Nice-to-have,Unclassified,36078,php,2,8,12,8,7,0,3,10,0,https://github.com/nextcloud/server
60,ruflo,48,C — Nice-to-have,Product,63512,typescript,0,8,15,4,0,10,5,6,0,https://github.com/ruvnet/ruflo
61,iza-os-rag-system,47,C — Nice-to-have,Unclassified,0,python,0,12,15,8,4,4,3,2,-1,https://github.com/Worldwidebro/iza-os-rag-system
62,pm-skills,47,C — Nice-to-have,Unclassified,22988,Unknown,0,8,15,4,3,8,3,6,0,https://github.com/phuryn/pm-skills
63,knowledge-work-plugins,47,C — Nice-to-have,Unclassified,22464,python,0,8,15,4,3,8,3,6,0,https://github.com/anthropics/knowledge-work-plugins
64,CodeWiki,47,C — Nice-to-have,Unclassified,1324,python,91,8,12,8,4,8,3,5,-1,https://github.com/FSoft-AI4Code/CodeWiki
65,iza-os-enterprise,46,C — Nice-to-have,Unclassified,0,typescript,65,12,15,4,8,4,3,0,0,https://github.com/Worldwidebro/iza-os-enterprise
66,iza-os-inventory-management-optimization-bot,46,C — Nice-to-have,Unclassified,0,typescript,2,12,9,7,12,4,3,0,-1,https://github.com/Worldwidebro/iza-os-inventory-management-optimization-bot
67,claude-seo,46,C — Nice-to-have,Service,10788,python,4,8,15,4,0,8,5,6,0,https://github.com/AgriciDaniel/claude-seo
68,Agent-Reach,46,C — Nice-to-have,Service,53007,python,0,8,15,4,0,8,5,6,0,https://github.com/Panniantong/Agent-Reach
69,BrowserOS,46,C — Nice-to-have,Unclassified,11681,typescript,141,8,12,4,3,8,3,8,0,https://github.com/browseros-ai/BrowserOS
70,llm-app,46,C — Nice-to-have,Service,59096,jupyter notebook,0,8,15,4,0,8,5,6,0,https://github.com/pathwaycom/llm-app
71,WrenAI,46,C — Nice-to-have,Product,15755,python,54,8,15,4,0,8,5,6,0,https://github.com/Canner/WrenAI
72,gitdiagram,46,C — Nice-to-have,Unclassified,15785,typescript,422,6,6,6,15,4,3,6,0,https://github.com/ahmedkhaleel2004/gitdiagram
73,divine-johns-portfolio,45,C — Nice-to-have,Unclassified,0,html,0,12,15,4,0,10,3,2,-1,https://github.com/Worldwidebro/divine-johns-portfolio
74,bw-001-up-next-web,45,C — Nice-to-have,Unclassified,0,python,243,12,15,8,4,0,6,4,-4,https://github.com/Worldwidebro/bw-001-up-next-web
75,midday,45,C — Nice-to-have,Unclassified,14571,typescript,64,6,9,7,7,4,6,6,0,https://github.com/midday-ai/midday
76,iza-os-project-management-analytics-bot,44,C — Nice-to-have,Unclassified,0,python,0,12,15,8,4,4,3,2,-4,https://github.com/Worldwidebro/iza-os-project-management-analytics-bot
77,claude-code-best-practice,44,C — Nice-to-have,Unclassified,62251,html,91,8,12,4,3,8,3,6,0,https://github.com/shanraisshan/claude-code-best-practice
78,ccpm,44,C — Nice-to-have,Unclassified,8253,shell,1,8,12,4,3,8,3,6,0,https://github.com/automazeio/ccpm
79,obsidian-second-brain,43,C — Nice-to-have,Asset,3010,python,0,8,15,4,0,8,3,5,0,https://github.com/eugeniughelbur/obsidian-second-brain
80,codegraph,43,C — Nice-to-have,Unclassified,58520,typescript,0,8,12,4,0,8,3,8,0,https://github.com/colbymchenry/codegraph
81,collection-claude-code-source-code,43,C — Nice-to-have,Unclassified,2742,typescript,0,8,12,4,3,8,3,5,0,https://github.com/chauncygu/collection-claude-code-source-code
82,InsForge,43,C — Nice-to-have,Infrastructure,12067,typescript,141,8,12,4,0,8,3,8,0,https://github.com/InsForge/InsForge
83,OpenViking,43,C — Nice-to-have,Infrastructure,26430,python,0,8,12,4,0,10,3,6,0,https://github.com/volcengine/OpenViking
84,natively-cluely-ai-assistant,43,C — Nice-to-have,Asset,1785,typescript,0,8,12,4,0,8,6,5,0,https://github.com/Natively-AI-assistant/natively-cluely-ai-assistant
85,Peekaboo,43,C — Nice-to-have,Asset,4832,swift,0,8,12,4,0,10,3,6,0,https://github.com/openclaw/Peekaboo
86,pi,43,C — Nice-to-have,Product,68556,typescript,91,8,12,4,0,8,5,6,0,https://github.com/earendil-works/pi
87,SuperNavigator,43,C — Nice-to-have,Unclassified,32,python,0,8,15,4,3,8,3,2,0,https://github.com/dkyazzentwatwa/SuperNavigator
88,n8n-mcp,43,C — Nice-to-have,Product,22194,typescript,0,8,12,4,0,8,5,6,0,https://github.com/czlonkowski/n8n-mcp
89,agent-framework,43,C — Nice-to-have,Product,11945,python,0,8,12,4,0,8,5,6,0,https://github.com/microsoft/agent-framework
90,activepieces,43,C — Nice-to-have,Asset,23172,typescript,0,8,12,4,0,10,3,6,0,https://github.com/activepieces/activepieces
91,nanobrowser,43,C — Nice-to-have,Service,13440,typescript,141,8,12,4,0,8,5,6,0,https://github.com/nanobrowser/nanobrowser
92,mcp-for-beginners,43,C — Nice-to-have,Product,16710,jupyter notebook,0,8,12,4,0,8,5,6,0,https://github.com/microsoft/mcp-for-beginners
93,awesome-ai-apps,43,C — Nice-to-have,Asset,13039,python,0,8,12,4,0,10,3,6,0,https://github.com/Arindam200/awesome-ai-apps
94,lobehub,43,C — Nice-to-have,Asset,79603,typescript,0,8,12,4,0,8,3,8,0,https://github.com/lobehub/lobehub
95,iza-os-analytics,42,C — Nice-to-have,Unclassified,0,python,0,12,15,4,5,4,3,0,-1,https://github.com/Worldwidebro/iza-os-analytics
96,iza-os-inventory-management-automation-bot,42,C — Nice-to-have,Unclassified,0,typescript,65,12,15,4,5,4,3,0,-1,https://github.com/Worldwidebro/iza-os-inventory-management-automation-bot
97,tech-040-cybersecurity-shield,42,C — Nice-to-have,Unclassified,0,Unknown,5,12,12,4,3,8,3,0,0,https://github.com/Worldwidebro/tech-040-cybersecurity-shield
98,Claude-Code-Everything-You-Need-to-Know,42,C — Nice-to-have,Product,2278,python,0,8,12,4,0,8,5,5,0,https://github.com/wesammustafa/Claude-Code-Everything-You-Need-to-Know
99,GenericAgent,42,C — Nice-to-have,Unclassified,13331,python,141,6,6,6,7,8,3,6,0,https://github.com/lsdefine/GenericAgent
100,sherlock,42,C — Nice-to-have,Unclassified,86214,python,106,6,6,6,15,0,3,6,0,https://github.com/sherlock-project/sherlock
101,postgres-mcp,42,C — Nice-to-have,Infrastructure,3020,python,0,8,12,4,0,10,3,5,0,https://github.com/crystaldba/postgres-mcp
102,spec-workflow-mcp,42,C — Nice-to-have,Product,4260,typescript,0,8,12,4,0,8,5,5,0,https://github.com/Pimzino/spec-workflow-mcp
103,ktransformers,42,C — Nice-to-have,Unclassified,17385,python,141,6,6,6,7,8,3,6,0,https://github.com/kvcache-ai/ktransformers
104,cs249r_book,42,C — Nice-to-have,Unclassified,27142,python,0,6,9,7,7,4,3,6,0,https://github.com/harvard-edge/cs249r_book
105,Agent-S,42,C — Nice-to-have,Unclassified,11987,python,141,6,6,6,7,8,3,6,0,https://github.com/simular-ai/Agent-S
106,pear-desktop,42,C — Nice-to-have,Unclassified,32618,typescript,141,6,6,6,7,8,3,6,0,https://github.com/pear-devs/pear-desktop
107,fin-001-genixbank-lite,41,C — Nice-to-have,Unclassified,0,html,2,12,12,4,3,4,6,0,0,https://github.com/Worldwidebro/fin-001-genixbank-lite
108,fin-005-u-haul-rental-affiliate,41,C — Nice-to-have,Unclassified,0,Unknown,2,12,12,4,3,4,6,0,0,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate
109,fin-011-automated-bookkeeping,41,C — Nice-to-have,Unclassified,0,Unknown,2,12,12,4,3,4,6,0,0,https://github.com/Worldwidebro/fin-011-automated-bookkeeping
110,fin-015-financial-wellness-coach,41,C — Nice-to-have,Unclassified,0,Unknown,2,12,12,4,3,4,6,0,0,https://github.com/Worldwidebro/fin-015-financial-wellness-coach
111,claude-skills,41,C — Nice-to-have,Asset,21575,python,1,8,12,4,0,8,3,6,0,https://github.com/alirezarezvani/claude-skills
112,MinerU,41,C — Nice-to-have,Unclassified,73862,python,1,8,12,4,0,8,3,6,0,https://github.com/opendatalab/MinerU
113,Anthropic-Cybersecurity-Skills,41,C — Nice-to-have,Asset,24909,python,5,8,12,4,0,8,3,6,0,https://github.com/mukul975/Anthropic-Cybersecurity-Skills
114,qdrant,41,C — Nice-to-have,Infrastructure,33029,rust,0,8,12,4,0,8,3,6,0,https://github.com/qdrant/qdrant
115,Ghost,41,C — Nice-to-have,Unclassified,54315,javascript,5,6,9,7,7,0,6,6,0,https://github.com/TryGhost/Ghost
116,Mindwtr,41,C — Nice-to-have,Unclassified,1205,typescript,0,6,9,7,7,4,3,5,0,https://github.com/dongdongbh/Mindwtr
117,agent-browser,41,C — Nice-to-have,Asset,38066,rust,91,8,12,4,0,8,3,6,0,https://github.com/vercel-labs/agent-browser
118,pandas-ai,41,C — Nice-to-have,Infrastructure,23637,python,0,8,12,4,0,8,3,6,0,https://github.com/sinaptik-ai/pandas-ai
119,s,41,C — Nice-to-have,Unclassified,2582,go,71,6,6,6,15,0,3,5,0,https://github.com/zquestz/s
120,firmware,41,C — Nice-to-have,Unclassified,7889,c++,0,8,12,4,8,0,3,6,0,https://github.com/meshtastic/firmware
121,awesome-go,41,C — Nice-to-have,Unclassified,177503,go,312,6,9,7,7,0,6,6,0,https://github.com/avelino/awesome-go
122,claude-code,41,C — Nice-to-have,Asset,136811,python,91,8,12,4,0,8,3,6,0,https://github.com/anthropics/claude-code
123,obsidian-mind,40,C — Nice-to-have,Asset,3287,typescript,1,8,12,4,0,8,3,5,0,https://github.com/breferrari/obsidian-mind
124,awesome-openclaw-usecases,40,C — Nice-to-have,Unclassified,31468,Unknown,0,8,12,4,3,4,3,6,0,https://github.com/hesamsheikh/awesome-openclaw-usecases
125,antigravity-link-extension,40,C — Nice-to-have,Service,201,html,0,8,12,4,0,8,5,3,0,https://github.com/cafeTechne/antigravity-link-extension
126,career-ops,39,D — Experimental/Retire,Asset,59119,javascript,0,8,12,4,0,4,5,6,0,https://github.com/santifer/career-ops
127,iza-os-data,39,D — Experimental/Retire,Unclassified,0,python,0,12,15,4,0,4,3,2,-1,https://github.com/Worldwidebro/iza-os-data
128,nexus-ai-enterprise-platform,39,D — Experimental/Retire,Asset,0,python,0,12,12,4,0,8,3,0,0,https://github.com/Worldwidebro/nexus-ai-enterprise-platform
129,iza-os-project-management-discovery-bot,39,D — Experimental/Retire,Unclassified,0,python,65,12,15,4,5,4,3,0,-4,https://github.com/Worldwidebro/iza-os-project-management-discovery-bot
130,quant-mind,39,D — Experimental/Retire,Unclassified,1912,python,0,6,6,6,7,4,3,7,0,https://github.com/LLMQuant/quant-mind
131,graphify,39,D — Experimental/Retire,Infrastructure,79930,python,0,8,12,4,0,4,3,8,0,https://github.com/Graphify-Labs/graphify
132,marketplace,39,D — Experimental/Retire,Unclassified,1196,typescript,109,6,9,7,7,0,3,7,0,https://github.com/decentraland/marketplace
133,Understand-Anything,39,D — Experimental/Retire,Unclassified,71913,typescript,0,8,12,4,0,4,3,8,0,https://github.com/Egonex-AI/Understand-Anything
134,GitNexus,39,D — Experimental/Retire,Product,43818,typescript,0,6,9,3,0,8,5,8,0,https://github.com/abhigyanpatwari/GitNexus
135,litellm,39,D — Experimental/Retire,Service,52946,python,1,8,12,4,0,4,5,6,0,https://github.com/BerriAI/litellm
136,osaurus,39,D — Experimental/Retire,Product,6864,swift,141,6,9,3,0,8,5,8,0,https://github.com/osaurus-ai/osaurus
137,Prompt-Engineering-Guide,39,D — Experimental/Retire,Product,76295,mdx,0,6,9,3,0,10,5,6,0,https://github.com/dair-ai/Prompt-Engineering-Guide
138,graphiti,39,D — Experimental/Retire,Product,28503,python,0,6,9,3,0,8,5,8,0,https://github.com/getzep/graphiti
139,civilization-os-infra,38,D — Experimental/Retire,Unclassified,0,python,141,12,12,4,0,8,3,0,-1,https://github.com/Worldwidebro/civilization-os-infra
140,deployment-orchestrator,38,D — Experimental/Retire,Unclassified,0,python,99,12,15,4,5,0,3,0,-1,https://github.com/Worldwidebro/deployment-orchestrator
141,fh-017-cooking-content-brand,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fh-017-cooking-content-brand
142,fh-020-restaurant-pos-system,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fh-020-restaurant-pos-system
143,fh-022-specialty-coffee-shop,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fh-022-specialty-coffee-shop
144,fh-025-ice-cream-shop,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fh-025-ice-cream-shop
145,fin-021-tax-deduction-finder,38,D — Experimental/Retire,Unclassified,0,python,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fin-021-tax-deduction-finder
146,fin-025-escrow-automation,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fin-025-escrow-automation
147,fin-026-financial-compliance-scanner,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner
148,fin-034-payroll-automation,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/fin-034-payroll-automation
149,lt-001-truck-dispatch-company,38,D — Experimental/Retire,Unclassified,0,Unknown,2,12,12,4,0,8,3,0,-1,https://github.com/Worldwidebro/lt-001-truck-dispatch-company
150,mc-001-youtube-channel-network,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-001-youtube-channel-network
151,mc-002-podcast-network,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-002-podcast-network
152,mc-003-blog-network,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-003-blog-network
153,mc-005-content-creation-studio,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-005-content-creation-studio
154,mc-012-news-website,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-012-news-website
155,mc-019-digital-download-store,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-019-digital-download-store
156,mc-020-nft-marketplace,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/mc-020-nft-marketplace
157,ops-001-fractional-cto-agency,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/ops-001-fractional-cto-agency
158,tech-013-workflow-automation,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-013-workflow-automation
159,tech-014-sentiment-analyzer,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-014-sentiment-analyzer
160,tech-020-recommendation-engine,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-020-recommendation-engine
161,tech-045-workflow-automation,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-045-workflow-automation
162,tech-046-sentiment-analyzer,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-046-sentiment-analyzer
163,tech-052-recommendation-engine,38,D — Experimental/Retire,Unclassified,0,Unknown,141,12,9,3,3,8,3,0,0,https://github.com/Worldwidebro/tech-052-recommendation-engine
164,SocratiCode,38,D — Experimental/Retire,Service,3103,typescript,0,8,12,4,0,4,5,5,0,https://github.com/giancarloerra/SocratiCode
165,argo-cd,38,D — Experimental/Retire,Unclassified,23351,go,243,4,3,5,15,0,3,8,0,https://github.com/argoproj/argo-cd
166,loki,38,D — Experimental/Retire,Unclassified,28516,go,2,6,6,6,7,4,3,6,0,https://github.com/grafana/loki
167,RAG-Anything,38,D — Experimental/Retire,Unclassified,22059,python,0,6,6,6,7,4,3,6,0,https://github.com/HKUDS/RAG-Anything
168,deer-flow,38,D — Experimental/Retire,Unclassified,76456,python,141,6,9,3,3,8,3,6,0,https://github.com/bytedance/deer-flow
169,paperless-ngx,38,D — Experimental/Retire,Unclassified,42811,python,712,4,3,5,15,0,3,8,0,https://github.com/paperless-ngx/paperless-ngx
170,claude-cookbooks,38,D — Experimental/Retire,Unclassified,46648,jupyter notebook,422,6,6,6,7,4,3,6,0,https://github.com/anthropics/claude-cookbooks
171,civilization-os,37,D — Experimental/Retire,Asset,0,typescript,0,12,9,3,0,10,3,0,0,https://github.com/Worldwidebro/civilization-os
172,fin-009-crypto-tax-optimizer,37,D — Experimental/Retire,Unclassified,0,python,2,12,12,4,0,4,6,0,-1,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer
173,ai-001-ai-command-center,37,D — Experimental/Retire,Product,0,python,141,12,9,3,0,8,5,0,0,https://github.com/Worldwidebro/ai-001-ai-command-center
174,lastsaas,37,D — Experimental/Retire,Service,123,go,141,6,9,3,0,8,8,3,0,https://github.com/jonradoff/lastsaas
175,loop-engineering,37,D — Experimental/Retire,Product,6532,javascript,91,6,9,3,0,8,5,6,0,https://github.com/cobusgreyling/loop-engineering
176,open-code-review,37,D — Experimental/Retire,Product,10144,go,141,6,9,3,0,8,5,6,0,https://github.com/alibaba/open-code-review
177,OpenMetadata,37,D — Experimental/Retire,Product,14426,typescript,0,6,9,3,0,8,5,6,0,https://github.com/open-metadata/OpenMetadata
178,agentic-inbox,37,D — Experimental/Retire,Service,6030,typescript,0,6,9,3,0,8,5,6,0,https://github.com/cloudflare/agentic-inbox
179,reverse-SynthID,37,D — Experimental/Retire,Unclassified,4539,python,422,6,6,6,7,4,3,5,0,https://github.com/aloshdenny/reverse-SynthID
180,claude-howto,37,D — Experimental/Retire,Product,39426,python,91,6,9,3,0,8,5,6,0,https://github.com/luongnv89/claude-howto
181,claude-hud,37,D — Experimental/Retire,Product,26247,javascript,91,6,9,3,0,8,5,6,0,https://github.com/jarrodwatts/claude-hud
182,claude-code-cookbook,37,D — Experimental/Retire,Unclassified,1115,shell,91,6,9,7,4,4,3,5,-1,https://github.com/wasabeef/claude-code-cookbook
183,awesome-llm-apps,37,D — Experimental/Retire,Asset,116790,python,0,6,9,3,0,10,3,6,0,https://github.com/Shubhamsaboo/awesome-llm-apps
184,learn-claude-code,37,D — Experimental/Retire,Product,70318,python,91,6,9,3,0,8,5,6,0,https://github.com/shareAI-lab/learn-claude-code
185,WeKnora,37,D — Experimental/Retire,Asset,17951,go,0,6,9,3,0,10,3,6,0,https://github.com/Tencent/WeKnora
186,agenticSeek,37,D — Experimental/Retire,Service,26612,python,141,6,9,3,0,8,5,6,0,https://github.com/Fosowl/agenticSeek
