sku_id,category,garment_type,gender,colorways,source_images,priority,notes
AID-W-012,W-Bottoms,Parachute Pants,Women,black|pink|grey,9,core,
AID-W-013,W-Bottoms,Wide Leg Sweats,Women,black|pink|grey,9,core,
AID-W-014,W-Bottoms,Cargo Pants,Women,black|pink|grey,9,core,
AID-W-015,W-Bottoms,Low-Rise Cargo,Women,black|pink|grey,9,core,
AID-W-016,W-Bottoms,Cargo Mini Skirt,Women,black|pink|grey,9,core,
AID-W-017,W-Bottoms,Micro Mini Skirt,Women,black|pink|grey,9,core,
AID-W-018,W-Bottoms,Nylon Shorts,Women,black|pink|grey,9,core,
AID-W-019,W-Dresses,Bodycon Dress,Women,black|pink,9,core,
AID-W-020,W-Dresses,Rib Knit Dress,Women,black|pink,9,core,
AID-W-021,W-Dresses,Corset Dress,Women,black|pink,9,core,
AID-W-022,W-Dresses,Maxi Dress,Women,black|pink,9,core,
AID-W-023,W-Dresses,Cutout Dress,Women,black|pink,9,core,
AID-W-024,W-Outerwear,Leather Jacket,Women,black|pink,9,core,
AID-W-025,W-Outerwear,Varsity Jacket,Women,black|pink,9,core,
AID-W-026,W-Outerwear,Cropped Bomber,Women,black|pink,9,core,
AID-W-027,W-Outerwear,Oversized Blazer,Women,black|pink,9,core,
AID-W-028,W-Outerwear,Faux Fur Jacket,Women,black|pink,9,core,
AID-W-029,W-Matching Sets,Hoodie Set,Women,black|pink|grey,9,core,
AID-W-030,W-Matching Sets,Nylon Set,Women,black|pink|grey,9,core,
AID-W-031,W-Matching Sets,Rhinestone Set,Women,black|pink|grey,9,core,
AID-W-032,W-Matching Sets,Lounge Set,Women,black|pink|grey,9,core,
AID-W-033,W-Matching Sets,Tee & Short Set,Women,black|pink|grey,9,core,
AID-W-034,W-Matching Sets,Ribbed Set,Women,black|pink|grey,9,core,
AID-W-035,W-Activewear,Sports Bra,Women,black|pink,9,core,
AID-W-036,W-Activewear,Flare Leggings,Women,black|pink,9,core,
AID-W-037,W-Activewear,Scrunch Leggings,Women,black|pink,9,core,
AID-W-038,W-Activewear,Biker Shorts,Women,black|pink,9,core,
AID-W-039,W-Activewear,Athletic Set,Women,black|pink,9,core,
AID-W-040,W-Lingerie/Lounge,Bralette Set,Women,pink|black,9,core,
AID-W-041,W-Lingerie/Lounge,Lounge Set,Women,pink|black,9,core,
AID-W-042,W-Lingerie/Lounge,Ribbed Lounge,Women,pink|black,9,core,
AID-W-043,W-Lingerie/Lounge,Satin Pajama Set,Women,pink|black,9,core,
AID-W-044,W-Lingerie/Lounge,Robe,Women,pink|black,9,core,
AID-W-045,W-Headwear,Trucker Hat,Women,black|pink,9,core,
AID-W-046,W-Headwear,Fitted Cap,Women,black|pink,9,core,
AID-W-047,W-Headwear,Dad Hat,Women,black|pink,9,core,
AID-W-048,W-Headwear,Knit Beanie,Women,black|pink,9,core,
AID-W-049,W-Headwear,Crochet Beanie,Women,black|pink,9,core,
AID-W-050,W-Footwear,Chunky Sneakers,Women,black|pink,9,core,
AID-W-051,W-Footwear,Platform Sneakers,Women,black|pink,9,core,
AID-W-052,W-Footwear,Boots,Women,black|pink,9,core,
AID-W-053,W-Footwear,Mules,Women,black|pink,9,core,
AID-W-054,W-Swim,Bikini,Women,yellow|red trim,13,variant,
AID-W-055,W-Tops,Tee & Short Set (logo),Women,pink|green|blue,13,variant,
AID-R-001,Capsule-Rhinestone,Rhinestone Flame Tee,Unisex,black/silver,10,capsule,flame + crystal
AID-R-002,Capsule-Rhinestone,Rhinestone Distressed Shorts,Unisex,brown wash,10,capsule,crystal scatter
AID-R-003,Capsule-Rhinestone,Angel Statue Set (tee+short),Unisex,black,10,capsule,statue graphic
AID-R-004,Capsule-Rhinestone,Studded Leather Jacket,Unisex,black,10,capsule,rhinestone studs
AID-R-005,Capsule-Rhinestone,Pink Rhinestone Shorts,Unisex,pink,10,capsule,crystal
AID-R-006,Capsule-Rhinestone,Rhinestone Denim Shorts,Unisex,indigo,10,capsule,cross + crystal
AID-R-007,Capsule-Rhinestone,Nylon Pants (rhinestone),Unisex,black,10,capsule,
