source_repo,relationship,target,source_url
venture-factory-core,POWERS,OPS-001,https://github.com/Worldwidebro/venture-factory-core
venture-factory-core,ENABLES,Automation,https://github.com/Worldwidebro/venture-factory-core
obsidian-vault,ENABLES,Security,https://github.com/Worldwidebro/obsidian-vault
obsidian-vault,ENABLES,Knowledge Graph,https://github.com/Worldwidebro/obsidian-vault
maps,POWERS,LT-009,https://github.com/Worldwidebro/maps
maps,ENABLES,Routing,https://github.com/Worldwidebro/maps
maps,ENABLES,Knowledge Graph,https://github.com/Worldwidebro/maps
design-team,ENABLES,Digital Signature,https://github.com/Worldwidebro/design-team
_master-governance,ENABLES,Agents,https://github.com/Worldwidebro/_master-governance
xyops-integration,POWERS,LT-009,https://github.com/Worldwidebro/xyops-integration
xyops-integration,ENABLES,Monitoring,https://github.com/Worldwidebro/xyops-integration
xyops-integration,ENABLES,Deployment,https://github.com/Worldwidebro/xyops-integration
documenso,ENABLES,Digital Signature,https://github.com/documenso/documenso
plane,ENABLES,Deployment,https://github.com/makeplane/plane
coolify,POWERS,marketplace-core,https://github.com/coollabsio/coolify
coolify,ENABLES,Deployment,https://github.com/coollabsio/coolify
coolify,ENABLES,Storage,https://github.com/coollabsio/coolify
langfuse,POWERS,CON-009,https://github.com/langfuse/langfuse
langfuse,POWERS,CON-012,https://github.com/langfuse/langfuse
langfuse,POWERS,LT-009,https://github.com/langfuse/langfuse
langfuse,ENABLES,Analytics,https://github.com/langfuse/langfuse
langfuse,ENABLES,Agents,https://github.com/langfuse/langfuse
rabbitmq-server,POWERS,CON-009,https://github.com/rabbitmq/rabbitmq-server
rabbitmq-server,POWERS,CON-010,https://github.com/rabbitmq/rabbitmq-server
rabbitmq-server,ENABLES,Messaging,https://github.com/rabbitmq/rabbitmq-server
neo4j,ENABLES,Knowledge Graph,https://github.com/neo4j/neo4j
neo4j,ENABLES,Storage,https://github.com/neo4j/neo4j
qdrant,ENABLES,Search,https://github.com/qdrant/qdrant
qdrant,ENABLES,RAG,https://github.com/qdrant/qdrant
kong,ENABLES,API,https://github.com/Kong/kong
kong,ENABLES,AI,https://github.com/Kong/kong
meilisearch,POWERS,marketplace-core,https://github.com/meilisearch/meilisearch
meilisearch,ENABLES,Search,https://github.com/meilisearch/meilisearch
meilisearch,ENABLES,API,https://github.com/meilisearch/meilisearch
typesense,ENABLES,Search,https://github.com/typesense/typesense
datahub,ENABLES,Agents,https://github.com/datahub-project/datahub
daily_stock_analysis,ENABLES,Agents,https://github.com/ZhuLinsen/daily_stock_analysis
daily_stock_analysis,ENABLES,AI,https://github.com/ZhuLinsen/daily_stock_analysis
papermark,ENABLES,Authentication,https://github.com/papermark/papermark
anytype-ts,ENABLES,Testing,https://github.com/anyproto/anytype-ts
tirreno,POWERS,LT-009,https://github.com/tirrenotechnologies/tirreno
tirreno,ENABLES,Monitoring,https://github.com/tirrenotechnologies/tirreno
reactive-resume,ENABLES,Authentication,https://github.com/amruthpillai/reactive-resume
easy-vibe,ENABLES,Agents,https://github.com/datawhalechina/easy-vibe
easy-vibe,ENABLES,AI,https://github.com/datawhalechina/easy-vibe
12-factor-agents,ENABLES,Agents,https://github.com/humanlayer/12-factor-agents
12-factor-agents,ENABLES,AI,https://github.com/humanlayer/12-factor-agents
academic-research-skills,POWERS,CON-009,https://github.com/Imbad0202/academic-research-skills
academic-research-skills,POWERS,CON-011,https://github.com/Imbad0202/academic-research-skills
academic-research-skills,POWERS,OPS-001,https://github.com/Imbad0202/academic-research-skills
academic-research-skills,ENABLES,Search,https://github.com/Imbad0202/academic-research-skills
academic-research-skills,ENABLES,CRM,https://github.com/Imbad0202/academic-research-skills
ai-engineering-from-scratch,ENABLES,Agents,https://github.com/rohitg00/ai-engineering-from-scratch
ai-engineering-from-scratch,ENABLES,AI,https://github.com/rohitg00/ai-engineering-from-scratch
cal.diy,POWERS,marketplace-core,https://github.com/calcom/cal.diy
cal.diy,ENABLES,Authentication,https://github.com/calcom/cal.diy
cal.diy,ENABLES,Storage,https://github.com/calcom/cal.diy
Ghost,POWERS,LT-009,https://github.com/TryGhost/Ghost
Ghost,ENABLES,Monitoring,https://github.com/TryGhost/Ghost
Ghost,ENABLES,Content Generation,https://github.com/TryGhost/Ghost
n8n,POWERS,CON-010,https://github.com/n8n-io/n8n
n8n,POWERS,CON-012,https://github.com/n8n-io/n8n
n8n,POWERS,OPS-001,https://github.com/n8n-io/n8n
n8n,ENABLES,Automation,https://github.com/n8n-io/n8n
n8n,ENABLES,API,https://github.com/n8n-io/n8n
medusa,POWERS,CON-009,https://github.com/medusajs/medusa
medusa,POWERS,CON-011,https://github.com/medusajs/medusa
medusa,POWERS,CON-012,https://github.com/medusajs/medusa
medusa,ENABLES,Marketplace,https://github.com/medusajs/medusa
listmonk,POWERS,marketplace-core,https://github.com/knadh/listmonk
listmonk,POWERS,CON-009,https://github.com/knadh/listmonk
listmonk,POWERS,CON-010,https://github.com/knadh/listmonk
listmonk,ENABLES,Payments,https://github.com/knadh/listmonk
listmonk,ENABLES,Messaging,https://github.com/knadh/listmonk
penpot,ENABLES,Digital Signature,https://github.com/penpot/penpot
SocratiCode,ENABLES,AI,https://github.com/giancarloerra/SocratiCode
the-architect,POWERS,CON-010,https://github.com/Hainrixz/the-architect
the-architect,POWERS,CON-012,https://github.com/Hainrixz/the-architect
the-architect,POWERS,OPS-001,https://github.com/Hainrixz/the-architect
the-architect,ENABLES,Automation,https://github.com/Hainrixz/the-architect
the-architect,ENABLES,Agents,https://github.com/Hainrixz/the-architect
9router,POWERS,LT-009,https://github.com/decolua/9router
9router,ENABLES,Agents,https://github.com/decolua/9router
9router,ENABLES,AI,https://github.com/decolua/9router
CloakBrowser,POWERS,CON-010,https://github.com/CloakHQ/CloakBrowser
CloakBrowser,POWERS,CON-012,https://github.com/CloakHQ/CloakBrowser
CloakBrowser,POWERS,OPS-001,https://github.com/CloakHQ/CloakBrowser
CloakBrowser,ENABLES,Automation,https://github.com/CloakHQ/CloakBrowser
CloakBrowser,ENABLES,Agents,https://github.com/CloakHQ/CloakBrowser
AiToEarn,ENABLES,API,https://github.com/yikart/AiToEarn
orbstack,ENABLES,Deployment,https://github.com/orbstack/orbstack
system-design-101,ENABLES,Digital Signature,https://github.com/ByteByteGoHq/system-design-101
ppt-master,ENABLES,Agents,https://github.com/hugohe3/ppt-master
Pixelle-Video,ENABLES,Video,https://github.com/AIDC-AI/Pixelle-Video
maigret,ENABLES,Security,https://github.com/soxoj/maigret
maigret,ENABLES,API,https://github.com/soxoj/maigret
