venture_id,venture_name,sector,required_shared_services,service_count
FIN-025-Escrow-Automation,Escrow Automation,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-027-Patent-Writer-AI,Patent Writer Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-034-Payroll-Automation,Payroll Automation,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-004-Lash-Training-Academy,Lash Training Academy,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-005-Lash-Supply-Company,Lash Supply Company,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-008-Private-Label-Lashes,Private Label Lashes,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-010-Online-Lash-Education,Online Lash Education,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-011-Nail-Salon,Nail Salon,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-015-Nail-Art-Studio,Nail Art Studio,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-017-Nail-Care-Products,Nail Care Products,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-019-Salon-Management-Software,Salon Management Software,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-021-Hair-Salon,Hair Salon,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-022-Barbershop,Barbershop,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-027-Hair-Care-Line,Hair Care Line,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-028-Wig-Brand,Wig Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-031-Hair-Marketplace,Hair Marketplace,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-035-Makeup-Studio,Makeup Studio,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty,shared-kernels | iza-os-hr-core | iza-os-legal-core,3
FH-001-Personal-Chef-Service,Personal Chef Service,market,shared-kernels,1
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,market,shared-kernels,1
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,market,shared-kernels,1
FH-004-Catering-Company,Catering Company,market,shared-kernels,1
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,market,shared-kernels,1
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,market,shared-kernels,1
FH-007-Elderly-Meal-Service,Elderly Meal Service,market,shared-kernels,1
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,market,shared-kernels,1
FH-009-Packaged-Food-Brand,Packaged Food Brand,market,shared-kernels,1
FH-010-Frozen-Meals-Company,Frozen Meals Company,market,shared-kernels,1
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,market,shared-kernels,1
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,market,shared-kernels,1
FH-013-Meal-Kit-Company,Meal Kit Company,market,shared-kernels,1
FH-014-Cloud-Kitchen-,Cloud Kitchen ,market,shared-kernels,1
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,market,shared-kernels,1
FH-016-Recipe-App,Recipe App,market,shared-kernels,1
FH-017-Cooking-Content-Brand,Cooking Content Brand,market,shared-kernels,1
FH-018-Food-Influencer-Brand,Food Influencer Brand,market,shared-kernels,1
FH-019-Cooking-Course-Platform,Cooking Course Platform,market,shared-kernels,1
FH-020-Restaurant-POS-System,Restaurant Pos System,market,shared-kernels,1
FH-021-Food-Truck-Business,Food Truck Business,market,shared-kernels,1
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,market,shared-kernels,1
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,market,shared-kernels,1
FH-024-Juice-Bar,Juice Bar,market,shared-kernels,1
FH-025-Ice-Cream-Shop,Ice Cream Shop,market,shared-kernels,1
FH-026-Gourmet-Food-Market,Gourmet Food Market,market,shared-kernels,1
FH-027-Food-Delivery-Platform,Food Delivery Platform,market,shared-kernels,1
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,market,shared-kernels,1
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,market,shared-kernels,1
FH-030-Organic-Food-Brand,Organic Food Brand,market,shared-kernels,1
FH-031-Vegan-Food-Company,Vegan Food Company,market,shared-kernels,1
FH-032-Keto-Meal-Service,Keto Meal Service,market,shared-kernels,1
FH-033-Food-Photography-Service,Food Photography Service,market,shared-kernels,1
FH-034-Restaurant-Consulting,Restaurant Consulting,market,shared-kernels,1
FH-035-Food-Safety-Training,Food Safety Training,market,shared-kernels,1
FS-001-Gym,Gym,market,shared-kernels,1
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,market,shared-kernels,1
FS-003-Personal-Training-Studio,Personal Training Studio,market,shared-kernels,1
FS-004-Women-Only-Gym,Women Only Gym,market,shared-kernels,1
FS-005-Boxing-Gym,Boxing Gym,market,shared-kernels,1
FS-006-CrossFit-Gym,Crossfit Gym,market,shared-kernels,1
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,market,shared-kernels,1
FS-008-Online-Coaching,Online Coaching,market,shared-kernels,1
FS-009-Personal-Trainer-Business,Personal Trainer Business,market,shared-kernels,1
FS-010-Transformation-Program,Transformation Program,market,shared-kernels,1
FS-011-Athlete-Training-Company,Athlete Training Company,market,shared-kernels,1
FS-012-Supplement-Brand,Supplement Brand,market,shared-kernels,1
FS-013-Fitness-Apparel,Fitness Apparel,market,shared-kernels,1
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,market,shared-kernels,1
FS-015-Recovery-Products,Recovery Products,market,shared-kernels,1
FS-016-Fitness-App,Fitness App,market,shared-kernels,1
FS-017-AI-Personal-Trainer,Ai Personal Trainer,market,shared-kernels,1
FS-018-Gym-Management-Software,Gym Management Software,market,shared-kernels,1
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,market,shared-kernels,1
FS-020-Yoga-Studio,Yoga Studio,market,shared-kernels,1
FS-021-Pilates-Studio,Pilates Studio,market,shared-kernels,1
FS-022-Dance-Studio,Dance Studio,market,shared-kernels,1
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,market,shared-kernels,1
FS-024-Sports-Performance-Center,Sports Performance Center,market,shared-kernels,1
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,market,shared-kernels,1
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,infra,shared-kernels,1
LT-002-Freight-Brokerage,Freight Brokerage,infra,shared-kernels,1
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,infra,shared-kernels,1
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,infra,shared-kernels,1
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,infra,shared-kernels,1
LT-006-Amazon,Amazon,infra,shared-kernels,1
LT-007-Construction-Dispatch,Construction Dispatch,infra,shared-kernels,1
LT-008-Towing-Dispatch,Towing Dispatch,infra,shared-kernels,1
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,infra,shared-kernels,1
LT-010-Field-Service-Dispatch,Field Service Dispatch,infra,shared-kernels,1
LT-011-Dispatch-Software,Dispatch Software,infra,shared-kernels,1
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,infra,shared-kernels,1
LT-013-Logistics-Automation-System,Logistics Automation System,infra,shared-kernels,1
LT-014-AI-Route-Optimization,Ai Route Optimization,infra,shared-kernels,1
LT-015-Driver-Management-Platform,Driver Management Platform,infra,shared-kernels,1
LT-016-Trucking-Company,Trucking Company,infra,shared-kernels,1
LT-017-Courier-Service,Courier Service,infra,shared-kernels,1
LT-018-Local-Delivery-Company,Local Delivery Company,infra,shared-kernels,1
LT-019-Moving-Company,Moving Company,infra,shared-kernels,1
LT-020-Freight-Company,Freight Company,infra,shared-kernels,1
LT-021-Warehouse-Company,Warehouse Company,infra,shared-kernels,1
LT-022-Fulfillment-Center,Fulfillment Center,infra,shared-kernels,1
LT-023-Storage-Business,Storage Business,infra,shared-kernels,1
LT-024-Distribution-Company,Distribution Company,infra,shared-kernels,1
LT-025-Logistics-Marketplace,Logistics Marketplace,infra,shared-kernels,1
LT-026-Shipping-Platform,Shipping Platform,infra,shared-kernels,1
LT-027-Fleet-Management-SaaS,Fleet Management Saas,infra,shared-kernels,1
LT-028-Freight-AI-Optimization,Freight Ai Optimization,infra,shared-kernels,1
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,infra,shared-kernels,1
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,infra,shared-kernels,1
PS-001-Business-Consulting,Business Consulting,market,shared-kernels,1
PS-002-Legal-Services,Legal Services,market,shared-kernels,1
PS-003-Accounting-Services,Accounting Services,market,shared-kernels,1
PS-004-HR-Consulting,Hr Consulting,market,shared-kernels,1
PS-005-Marketing-Agency,Marketing Agency,market,shared-kernels,1
PS-006-Web-Design-Agency,Web Design Agency,market,shared-kernels,1
PS-007-IT-Support-Services,It Support Services,market,shared-kernels,1
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,market,shared-kernels,1
PS-009-Bookkeeping-Service,Bookkeeping Service,market,shared-kernels,1
PS-010-Tax-Preparation-Service,Tax Preparation Service,market,shared-kernels,1
PS-011-Real-Estate-Agency,Real Estate Agency,market,shared-kernels,1
PS-012-Insurance-Agency,Insurance Agency,market,shared-kernels,1
PS-013-Financial-Planning,Financial Planning,market,shared-kernels,1
PS-014-Event-Planning,Event Planning,market,shared-kernels,1
PS-015-Interior-Design,Interior Design,market,shared-kernels,1
PS-016-Photography-Service,Photography Service,market,shared-kernels,1
PS-017-Videography-Service,Videography Service,market,shared-kernels,1
PS-018-Translation-Services,Translation Services,market,shared-kernels,1
PS-019-Copywriting-Service,Copywriting Service,market,shared-kernels,1
PS-020-Social-Media-Management,Social Media Management,market,shared-kernels,1
PS-021-SEO-Agency,Seo Agency,market,shared-kernels,1
PS-022-PPC-Management,Ppc Management,market,shared-kernels,1
PS-023-PR-Agency,Pr Agency,market,shared-kernels,1
PS-024-Recruiting-Agency,Recruiting Agency,market,shared-kernels,1
PS-025-Business-Brokerage,Business Brokerage,market,shared-kernels,1
MC-001-YouTube-Channel-Network,Youtube Channel Network,market,shared-kernels,1
MC-002-Podcast-Network,Podcast Network,market,shared-kernels,1
MC-003-Blog-Network,Blog Network,market,shared-kernels,1
MC-004-Influencer-Agency,Influencer Agency,market,shared-kernels,1
MC-005-Content-Creation-Studio,Content Creation Studio,market,shared-kernels,1
MC-006-Video-Production-Company,Video Production Company,market,shared-kernels,1
MC-007-Animation-Studio,Animation Studio,market,shared-kernels,1
MC-008-Music-Production,Music Production,market,shared-kernels,1
MC-009-Stock-Photography,Stock Photography,market,shared-kernels,1
MC-010-Stock-Video,Stock Video,market,shared-kernels,1
MC-011-Online-Magazine,Online Magazine,market,shared-kernels,1
MC-012-News-Website,News Website,market,shared-kernels,1
MC-013-Streaming-Platform,Streaming Platform,market,shared-kernels,1
MC-014-Gaming-Channel,Gaming Channel,market,shared-kernels,1
MC-015-Esports-Team,Esports Team,market,shared-kernels,1
MC-016-Virtual-Events-Platform,Virtual Events Platform,market,shared-kernels,1
MC-017-Online-Course-Platform,Online Course Platform,market,shared-kernels,1
MC-018-Membership-Site,Membership Site,market,shared-kernels,1
MC-019-Digital-Download-Store,Digital Download Store,market,shared-kernels,1
MC-020-NFT-Marketplace,Nft Marketplace,market,shared-kernels,1
ET-001-Online-Tutoring-Platform,Online Tutoring Platform,edtech,shared-kernels,1
ET-002-Language-Learning-App,Language Learning App,edtech,shared-kernels,1
ET-003-Test-Prep-Service,Test Prep Service,edtech,shared-kernels,1
ET-004-Coding-Bootcamp,Coding Bootcamp,edtech,shared-kernels,1
ET-005-Professional-Certification,Professional Certification,edtech,shared-kernels,1
ET-006-Corporate-Training,Corporate Training,edtech,shared-kernels,1
ET-007-Skills-Assessment-Platform,Skills Assessment Platform,edtech,shared-kernels,1
ET-008-Career-Coaching,Career Coaching,edtech,shared-kernels,1
ET-009-Resume-Writing-Service,Resume Writing Service,edtech,shared-kernels,1
ET-010-Interview-Prep-Platform,Interview Prep Platform,edtech,shared-kernels,1
ET-011-Mentorship-Platform,Mentorship Platform,edtech,shared-kernels,1
ET-012-Educational-Content-Library,Educational Content Library,edtech,shared-kernels,1
ET-013-VR-Training-Simulations,Vr Training Simulations,edtech,shared-kernels,1
ET-014-Gamified-Learning-App,Gamified Learning App,edtech,shared-kernels,1
ET-015-Homeschool-Curriculum,Homeschool Curriculum,edtech,shared-kernels,1
ST-001-SaaS-Platform,Saas Platform,devtools,shared-kernels,1
ST-002-Mobile-App-Development,Mobile App Development,devtools,shared-kernels,1
ST-003-Web-Development-Agency,Web Development Agency,devtools,shared-kernels,1
ST-004-Custom-Software-Development,Custom Software Development,devtools,shared-kernels,1
ST-005-API-Development,Api Development,devtools,shared-kernels,1
ST-006-Cloud-Infrastructure,Cloud Infrastructure,devtools,shared-kernels,1
ST-007-DevOps-Consulting,Devops Consulting,devtools,shared-kernels,1
ST-008-Cybersecurity-Service,Cybersecurity Service,devtools,shared-kernels,1
ST-009-Data-Analytics-Platform,Data Analytics Platform,devtools,shared-kernels,1
ST-010-Business-Intelligence-Tool,Business Intelligence Tool,devtools,shared-kernels,1
ST-011-CRM-Platform,Crm Platform,devtools,shared-kernels,1
ST-012-Project-Management-Tool,Project Management Tool,devtools,shared-kernels,1
ST-013-Communication-Platform,Communication Platform,devtools,shared-kernels,1
ST-014-Collaboration-Software,Collaboration Software,devtools,shared-kernels,1
ST-015-Automation-Platform,Automation Platform,devtools,shared-kernels,1
ST-016-AI,Ai,devtools,shared-kernels,1
ST-017-Chatbot-Builder,Chatbot Builder,devtools,shared-kernels,1
ST-018-E-commerce-Platform,E Commerce Platform,devtools,shared-kernels,1
ST-019-Payment-Processing,Payment Processing,devtools,shared-kernels,1
ST-020-Blockchain-Platform,Blockchain Platform,devtools,shared-kernels,1
ST-021-IoT-Platform,Iot Platform,devtools,shared-kernels,1
ST-022-AR,Ar,devtools,shared-kernels,1
ST-023-Game-Development,Game Development,devtools,shared-kernels,1
ST-024-Marketing-Automation,Marketing Automation,devtools,shared-kernels,1
ST-025-Sales-Automation,Sales Automation,devtools,shared-kernels,1
ST-026-HR-Tech-Platform,Hr Tech Platform,devtools,shared-kernels,1
ST-027-Legal-Tech-Platform,Legal Tech Platform,devtools,shared-kernels,1
ST-028-Health-Tech-Platform,Health Tech Platform,devtools,shared-kernels,1
ST-029-EdTech-Platform,Edtech Platform,devtools,shared-kernels,1
ST-030-PropTech-Platform,Proptech Platform,devtools,shared-kernels,1
EC-001-Angels-in-Daylight,Angels In Daylight,market,shared-kernels,1
EC-002-New-World-Apparel,New World Apparel,market,shared-kernels,1
EC-003-Shopify-Autopilot,Shopify Autopilot,market,shared-kernels,1
EC-004-Shoe-Customizer,Shoe Customizer,market,shared-kernels,1
EC-005-Sunglasses-AI,Sunglasses Ai,market,shared-kernels,1
EC-006-Dropship-Hub,Dropship Hub,market,shared-kernels,1
EC-007-Personal-Shopper-AI,Personal Shopper Ai,market,shared-kernels,1
EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,market,shared-kernels,1
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,market,shared-kernels,1
EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,market,shared-kernels,1
EC-011-Virtual-Try-On-AI,Virtual Try On Ai,market,shared-kernels,1
EC-012-Fashion-Designer-AI,Fashion Designer Ai,market,shared-kernels,1
EC-013-Merch-Licensing,Merch Licensing,market,shared-kernels,1
EC-014-Subscription-Box-AI,Subscription Box Ai,market,shared-kernels,1
EC-015-Surf-Gear-AI,Surf Gear Ai,market,shared-kernels,1
EC-016-Ski-Gear-AI,Ski Gear Ai,market,shared-kernels,1
EC-017-Golf-Gear-AI,Golf Gear Ai,market,shared-kernels,1
EC-018-Fishing-Gear-AI,Fishing Gear Ai,market,shared-kernels,1
EC-019-Yoga-Gear-AI,Yoga Gear Ai,market,shared-kernels,1
EC-020-Costume-Shop-AI,Costume Shop Ai,market,shared-kernels,1
EC-021-Luggage-AI,Luggage Ai,market,shared-kernels,1
EC-022-Home-Appliance-AI,Home Appliance Ai,market,shared-kernels,1
EC-023-Tool-Shop-AI,Tool Shop Ai,market,shared-kernels,1
EC-024-Garden-Supply-AI,Garden Supply Ai,market,shared-kernels,1
EC-025-Collectible-AI,Collectible Ai,market,shared-kernels,1
EC-026-Hobby-Shop-AI,Hobby Shop Ai,market,shared-kernels,1
EC-027-Kids-Toy-Line,Kids Toy Line,market,shared-kernels,1
EC-028-NFT-Fashion-Licensing,Nft Fashion Licensing,market,shared-kernels,1
EC-029-Instant-Brand-Generator,Instant Brand Generator,market,shared-kernels,1
EC-030-AI-Product-Photographer,Ai Product Photographer,market,shared-kernels,1
EC-031-Automated-Inventory-Forecaster,Automated Inventory Forecaster,market,shared-kernels,1
EC-032-Dynamic-Pricing-Engine,Dynamic Pricing Engine,market,shared-kernels,1
EC-033-Ad-Optimizer-AI,Ad Optimizer Ai,market,shared-kernels,1
EC-034-Recommendation-Engine,Recommendation Engine,market,shared-kernels,1
EC-035-Review-Aggregator-AI,Review Aggregator Ai,market,shared-kernels,1
EC-036-Fulfillment-Network-AI,Fulfillment Network Ai,market,shared-kernels,1
EC-037-Return-Optimization-AI,Return Optimization Ai,market,shared-kernels,1
EC-038-Chatbot-Customer-Service,Chatbot Customer Service,market,shared-kernels,1
EC-039-Visual-Search-AI,Visual Search Ai,market,shared-kernels,1
EC-040-Abandoned-Cart-Recovery,Abandoned Cart Recovery,market,shared-kernels,1
EC-041-Seasonal-Trend-Predictor,Seasonal Trend Predictor,market,shared-kernels,1
EC-042-Influencer-Matchmaker,Influencer Matchmaker,market,shared-kernels,1
EC-043-UGC-Content-Aggregator,Ugc Content Aggregator,market,shared-kernels,1
EC-044-Live-Commerce-Platform,Live Commerce Platform,market,shared-kernels,1
EC-045-AR-Virtual-Fitting-Room,Ar Virtual Fitting Room,market,shared-kernels,1
EC-046-3D-Product-Viewer,3D Product Viewer,market,shared-kernels,1
EC-047-Carbon-Footprint-Tracker,Carbon Footprint Tracker,market,shared-kernels,1
EC-048-Wholesale-Marketplace-AI,Wholesale Marketplace Ai,market,shared-kernels,1
EC-049-Rental-Marketplace,Rental Marketplace,market,shared-kernels,1
EC-050-AI-Product-Descriptions,Ai Product Descriptions,market,shared-kernels,1
EC-051-AI-Email-Marketing,Ai Email Marketing,market,shared-kernels,1
EC-052-AI-Product-Bundler,Ai Product Bundler,market,shared-kernels,1
EC-053-AI-Visual-Merchandiser,Ai Visual Merchandiser,market,shared-kernels,1
EC-054-AI-Demand-Forecasting,Ai Demand Forecasting,market,shared-kernels,1
EC-055-AI-Warehouse-Management,Ai Warehouse Management,market,shared-kernels,1
EC-056-AI-Supplier-Matching,Ai Supplier Matching,market,shared-kernels,1
EC-057-AI-Quality-Control,Ai Quality Control,market,shared-kernels,1
EC-058-AI-Packaging-Designer,Ai Packaging Designer,market,shared-kernels,1
EC-059-AI-Logistics-Planner,Ai Logistics Planner,market,shared-kernels,1
EC-060-AI-Customer-Loyalty,Ai Customer Loyalty,market,shared-kernels,1
EC-061-AI-Gift-Finder,Ai Gift Finder,market,shared-kernels,1
EC-062-AI-Trend-Hunter,Ai Trend Hunter,market,shared-kernels,1
EC-063-AI-Market-Research,Ai Market Research,market,shared-kernels,1
EC-064-AI-Competitor-Watcher,Ai Competitor Watcher,market,shared-kernels,1
EC-065-AI-Product-Development,Ai Product Development,market,shared-kernels,1
EC-066-AI-Customer-Journey,Ai Customer Journey,market,shared-kernels,1
