master_id,uuid,name,sector
COMM-038-Community-Policing-AI,c5e845a8-3112-44b9-8844-f4f54e8a2d9c,Community Policing Ai,market
COMM-039-Public-Space-AI,9b7afdc4-9d07-479c-aeca-87399619086c,Public Space Ai,market
COMM-040-Community-Recycling-AI,2d9b6d1a-bad4-4e8a-ae88-63a5e44419ef,Community Recycling Ai,market
COMM-041-Public-Wi-Fi-AI,12502e9e-f74e-477a-aaa7-692515b8e7bf,Public Wi Fi Ai,market
COMM-042-Community-Energy-AI,cee277a2-252a-4d6d-a6b4-ca2291f3b047,Community Energy Ai,market
COMM-043-Local-Food-Network-AI,85d54f89-f312-44e7-8496-52e378792fd5,Local Food Network Ai,market
COMM-044-Community-Volunteering-AI,93f3303f-f348-4a6b-ba2e-6cb8c99e0017,Community Volunteering Ai,market
COMM-045-Public-Childcare-AI,ce8de855-9294-4cc0-b643-58194185a635,Public Childcare Ai,market
COMM-046-Community-Pet-Care-AI,6e03ed0c-0d20-4147-a680-332e759a07dd,Community Pet Care Ai,market
COMM-047-Public-Fitness-AI,5edf415f-1051-4f10-bb16-670e3dc28dd5,Public Fitness Ai,market
COMM-048-Community-Transportation-AI,f3d6352b-6832-49fc-ae36-cf56de5c2bb1,Community Transportation Ai,market
COMM-049-Public-Event-AI,e64973ab-ff5b-42b8-8715-b84995c4e0a0,Public Event Ai,market
COMM-050-Community-Cultural-AI,77fab7a8-4d14-40ac-bc3e-e4b65f042b21,Community Cultural Ai,market
CON-001-ACE-CONSTRUCTION,f3dc0c40-ae8d-4a5f-aa76-9427152fad72,Ace Construction,con
CON-002-RESIDENTIAL-CONSTRUCTION,2419bf07-b3f2-400f-a2c5-acab2bce597b,Residential Construction,con
CON-003-COMMERCIAL-CONSTRUCTION,2f0bd0aa-8800-4a7e-ae2d-8ce98c11e571,Commercial Construction,con
CON-004-INDUSTRIAL-CONSTRUCTION,1d84705c-8ebd-4c0c-83cf-cf383951b7bb,Industrial Construction,con
CON-005-CONSTRUCTION-EQUIPMENT-RENTAL,e98dbadb-09da-451d-85c6-d98d670d37c9,Construction Equipment Rental,con
CON-006-CONSTRUCTION-PROJECT-MANAGEMENT,3639fa60-a2aa-4c02-85e6-bb1b8a2f3910,Construction Project Management,con
CON-007-GREEN-BUILDING-SERVICES,151763db-b390-47a9-bd1b-82c4e492aeb2,Green Building Services,con
CON-008-HOME-RENOVATION-SERVICES,64df5998-36bb-4801-beb3-34088ab4bb3c,Home Renovation Services,con
CON-009-ROOFING-COMPANY,7e4d233a-2e59-4cbf-b0ad-20018e0bd147,Roofing Company,con
CON-010-PLUMBING-SERVICES,ccc9e10c-4767-4a49-9424-3a3d3360e37b,Plumbing Services,con
CON-011-ELECTRICAL-SERVICES,f3e0d6d3-4ec5-4b4f-9307-618392e749c6,Electrical Services,con
CON-012-HVAC-SERVICES,bfad159e-f38b-4d29-b4b4-d784ceefc54b,HVAC Services,con
CON-013-PAINTING-SERVICES,1ecbc9e3-88bf-4d29-9a90-1ee5e2d2549b,Painting Services,con
CON-014-FLOORING-SERVICES,6d1a9fbc-4bee-4776-a939-16c64ea8e28c,Flooring Services,con
CON-015-LANDSCAPING-SERVICES,4a98aa80-6818-454f-9467-fda52e8ed59f,Landscaping Services,con
CON-016-DEMOLITION-SERVICES,4322cdc5-bd82-4466-93bd-a996edf3ba12,Demolition Services,con
CON-017-CONCRETE-SERVICES,899b2735-58c1-40f5-8730-dfc63bbb3c85,Concrete Services,con
CON-018-CARPENTRY-SERVICES,ebedf936-77dc-4639-8ee2-5250c2764d8d,Carpentry Services,con
CON-019-WINDOW-INSTALLATION,43887ca4-c9b2-43a6-b09c-be78c08f3bae,Window Installation,con
CON-020-INSULATION-SERVICES,05824164-ab9d-4a98-bebc-2cbae6913530,Insulation Services,con
EC-005-Sunglasses-AI,64669816-60f5-4f5d-822c-d542a5398c33,Sunglasses Ai,market
EC-006-Dropship-Hub,9ac4f7e2-560a-4868-9965-bb793789d2c0,Dropship Hub,market
EC-007-Personal-Shopper-AI,952ed8f1-ed82-47a2-8fed-f32c90e21c50,Personal Shopper Ai,market
EC-008-Custom-Sneaker-AI,7eec5582-b7d3-4814-b1e1-763ce7b7dc52,Custom Sneaker Ai,market
EC-009-Sustainable-Fashion-AI,645f19c8-cbab-48ac-8d92-08ee7d424015,Sustainable Fashion Ai,market
EC-010-Jewelry-Designer-AI,a458a464-3244-4623-847c-9b2fc339b9ec,Jewelry Designer Ai,market
EC-011-Virtual-Try-On-AI,3c4a6a4e-aacd-4c85-b842-c01c18d67eed,Virtual Try On Ai,market
EC-012-Fashion-Designer-AI,ab88f4c6-bfbe-426a-b5be-9de15cbf26ce,Fashion Designer Ai,market
EC-013-Merch-Licensing,7e68ff6b-17ce-4847-9d52-3fae4260b4bd,Merch Licensing,market
EC-014-Subscription-Box-AI,96c2276c-5e6a-45ce-9684-726949515b92,Subscription Box Ai,market
EC-015-Surf-Gear-AI,932d609e-11b7-417e-a9da-dc37b7cb457b,Surf Gear Ai,market
EC-016-Ski-Gear-AI,778f1fff-2438-409b-b285-3c43fd9fad4c,Ski Gear Ai,market
EC-017-Golf-Gear-AI,5cef7ad7-0af4-4caf-a5b3-437d60d84100,Golf Gear Ai,market
EC-018-Fishing-Gear-AI,70c45815-05f9-4c27-8428-719e4639b1fe,Fishing Gear Ai,market
EC-019-Yoga-Gear-AI,e94b1fc3-1398-4311-92f8-0ef23007110c,Yoga Gear Ai,market
EC-020-Costume-Shop-AI,8cc3a6d7-c784-480c-b552-179e3c9282fb,Costume Shop Ai,market
EC-021-Luggage-AI,51d69a32-a9fe-47b8-b3c7-88780372918b,Luggage Ai,market
EC-022-Home-Appliance-AI,4872fb01-ff96-431c-9b25-c2a66ad5b763,Home Appliance Ai,market
EC-023-Tool-Shop-AI,d3c46e47-edf0-4e0a-bea5-aa03fc979d45,Tool Shop Ai,market
EC-024-Garden-Supply-AI,5723b162-0c6f-4c98-a728-a2fdbbaed952,Garden Supply Ai,market
EC-025-Collectible-AI,c86f1f74-1b0c-4298-bcb0-540ee11c30c1,Collectible Ai,market
EC-026-Hobby-Shop-AI,91a1d2f1-71dc-4a13-8f6c-923b52090248,Hobby Shop Ai,market
EC-027-Kids-Toy-Line,c9097876-1a20-4574-a8e5-29e893202132,Kids Toy Line,market
EC-028-NFT-Fashion-Licensing,04a3ad6b-edcf-4945-ba81-ca8e0ca8a265,Nft Fashion Licensing,market
EC-029-Instant-Brand-Generator,0ef43be4-0a97-4b81-bb34-318e99be2e79,Instant Brand Generator,market
EC-030-AI-Product-Photographer,5706db7e-a0aa-4216-8a72-6e423d201490,Ai Product Photographer,market
EC-031-Automated-Inventory-Forecaster,d7ddcedd-b082-4e19-b6b4-369cb6a52322,Automated Inventory Forecaster,market
EC-032-Dynamic-Pricing-Engine,bb87cbc7-7f6d-47b9-833d-92b299cc6227,Dynamic Pricing Engine,market
EC-033-Ad-Optimizer-AI,782c3f1d-0127-464a-b1fa-812c2244f988,Ad Optimizer Ai,market
EC-034-Recommendation-Engine,70a6dd47-0fe7-456e-bf0e-497b09bab3f4,Recommendation Engine,market
EC-035-Review-Aggregator-AI,f4d11787-2851-45c9-bfa2-88349762a37d,Review Aggregator Ai,market
EC-036-Fulfillment-Network-AI,02ee37b5-eb8a-4f42-ad94-79b7e5472d22,Fulfillment Network Ai,market
EC-037-Return-Optimization-AI,0ea29e71-8639-4202-925b-ecb70c013800,Return Optimization Ai,market
EC-038-Chatbot-Customer-Service,b6823f63-1d6d-4b98-a640-3766a0637c50,Chatbot Customer Service,market
EC-039-Visual-Search-AI,11042f16-27fe-4c22-80d8-719ec6a3dc83,Visual Search Ai,market
EC-040-Abandoned-Cart-Recovery,d554d438-5692-4d11-8134-b46be9143aa2,Abandoned Cart Recovery,market
EC-041-Seasonal-Trend-Predictor,2341307d-f417-4696-8f8f-8900eee85251,Seasonal Trend Predictor,market
EC-042-Influencer-Matchmaker,1972105c-4744-4d5f-8ff1-1d5e623dedd4,Influencer Matchmaker,market
EC-043-UGC-Content-Aggregator,44eacc62-7877-48ea-8ef6-80ebc1b0e846,Ugc Content Aggregator,market
EC-044-Live-Commerce-Platform,0ade2bf0-c2a2-4373-9179-2c773ea44a76,Live Commerce Platform,market
EC-045-AR-Virtual-Fitting-Room,b7a0e981-8ef3-45bf-ad1d-3cbd3b482ba9,Ar Virtual Fitting Room,market
EC-046-3D-Product-Viewer,f673b096-f211-4b65-9ff5-20a85605513b,3D Product Viewer,market
EC-047-Carbon-Footprint-Tracker,e515e6cd-a5a9-453d-80c6-fc11c9b7a602,Carbon Footprint Tracker,market
EC-048-Wholesale-Marketplace-AI,cf272b81-21e0-4813-b736-6ff0c4ba488c,Wholesale Marketplace Ai,market
EC-049-Rental-Marketplace,e6ccb583-55bf-43c4-854b-6dfb0b196fca,Rental Marketplace,market
EC-050-AI-Product-Descriptions,7c528bb7-3515-479f-9928-de0dbdd423c2,Ai Product Descriptions,market
EC-051-AI-Email-Marketing,7520fa1f-0055-41a1-a995-9ab6324812be,Ai Email Marketing,market
EC-052-AI-Product-Bundler,9778724e-b6e5-44ec-8aa6-e21712907a75,Ai Product Bundler,market
EC-053-AI-Visual-Merchandiser,ba7d6e14-d315-4a40-8147-df365b2ebecf,Ai Visual Merchandiser,market
EC-054-AI-Demand-Forecasting,1f79d4d9-0ae0-4d61-9229-bf119ef3e3a9,Ai Demand Forecasting,market
EC-055-AI-Warehouse-Management,76168880-aee5-4805-9d1e-3f46284bd73e,Ai Warehouse Management,market
EC-056-AI-Supplier-Matching,8d079de0-f036-42a7-b886-62602bc23760,Ai Supplier Matching,market
EC-057-AI-Quality-Control,38f31487-8db1-447f-a399-b058408b194c,Ai Quality Control,market
EC-058-AI-Packaging-Designer,48f21b48-6f8e-4e07-9469-3d7dc790c5a4,Ai Packaging Designer,market
EC-059-AI-Logistics-Planner,344b87d3-150c-422f-9fab-21632cf5f464,Ai Logistics Planner,market
EC-060-AI-Customer-Loyalty,227ee829-19eb-4140-8f4e-d5c738068733,Ai Customer Loyalty,market
EC-061-AI-Gift-Finder,82bae0ac-72af-4173-874c-de5254964862,Ai Gift Finder,market
EC-062-AI-Trend-Hunter,87003939-3647-4fb8-b810-5576913b0fb5,Ai Trend Hunter,market
EC-063-AI-Market-Research,34bef434-d5d2-4dab-b6f4-594fa069d2cc,Ai Market Research,market
EC-064-AI-Competitor-Watcher,dbfe774d-fa2a-4692-b246-68099c88b85c,Ai Competitor Watcher,market
EC-065-AI-Product-Development,66f336ca-ac2d-4566-b711-7d8ee8d2e0df,Ai Product Development,market
EC-066-AI-Customer-Journey,c9ef5321-03f9-4c9e-8c92-c3fbaf73e773,Ai Customer Journey,market
EC-067-AI-Payment-Optimization,5469f98f-1926-4d43-9e44-d1e348e08b64,Ai Payment Optimization,market
EC-068-AI-Returns-Management,0f8fb560-a2fe-44f5-a527-8473a64371eb,Ai Returns Management,market
EC-069-AI-Shipping-Labeler,1467e5ce-7a97-4daa-a208-f412fcd8d0b9,Ai Shipping Labeler,market
EC-070-AI-Product-Launch-Coach,81ecd43c-8fe7-4d72-b410-bd85f61ed134,Ai Product Launch Coach,market
EC-071-AI-Vendor-Negotiator,6c67f50e-b6ae-44d8-9107-2482914ed3f5,Ai Vendor Negotiator,market
EC-072-AI-Product-Cataloger,2ff505e9-628e-4851-88c2-891abc76953b,Ai Product Cataloger,market
EC-073-AI-Order-Prioritizer,1c5521f5-b350-4cb0-b3a4-34736d9d383b,Ai Order Prioritizer,market
EC-074-AI-Customer-Segmentation,7b51ad29-9423-424f-83e9-e3865cc498ef,Ai Customer Segmentation,market
EC-075-AI-Pricing-Analyst,0811dbca-04ed-4e24-a051-2fc8ab94d028,Ai Pricing Analyst,market
EC-076-AI-Sales-Forecasting,35cda89c-dc7c-4391-8323-5d8237921766,Ai Sales Forecasting,market
EC-077-AI-Inventory-Reordering,5d1dba3e-c471-4576-8a95-3046773736d3,Ai Inventory Reordering,market
EC-078-AI-Product-Comparison,f999b069-6bfe-47b6-9291-64f2477fe2cf,Ai Product Comparison,market
EC-079-AI-Customer-Feedback,f9cf7ded-9f65-4bf8-851f-45c3a927951b,Ai Customer Feedback,market
EC-080-AI-Product-Updates,5db8782d-eae9-4d82-a273-695467be0159,Ai Product Updates,market
EC-081-AI-Cross-Selling,fe3f5bec-194c-4cc5-a5b9-bb7eb4f0d768,Ai Cross Selling,market
EC-082-AI-Up-Selling,08b32575-d364-4c67-9e6a-137ee4e37c58,Ai Up Selling,market
EC-083-AI-Product-Education,49526c95-3d5f-4702-9c1b-eafe7fa02750,Ai Product Education,market
EC-084-AI-Purchase-Timing,863af29c-17ba-4e86-b796-048d1a97a443,Ai Purchase Timing,market
EC-085-AI-Customer-Support,183352d5-3ad0-46bc-830f-4609de0c8361,Ai Customer Support,market
EC-086-AI-Order-Tracking,31c6fede-cbc0-44a0-8617-11c205aa0d84,Ai Order Tracking,market
EC-087-AI-Product-Reviews,d16e5b60-facb-48d4-a756-1eb320e77b48,Ai Product Reviews,market
EC-088-AI-Customer-Community,55af196a-fcc9-45c2-9890-e711c18cb9e4,Ai Customer Community,market
EC-089-AI-Product-Customization,bfc7ced0-d7ac-4d3d-9c3c-0f986dd4fe00,Ai Product Customization,market
EC-090-AI-Gift-Registry,b54d49c0-24c4-47d7-93f9-d0679060c937,Ai Gift Registry,market
EC-091-AI-Wedding-Registry,dd8c7cb1-1fd7-45b2-9518-3d7bec60cf89,Ai Wedding Registry,market
EC-092-AI-Baby-Registry,8d5ae8d2-1bbc-4f9f-b4d7-7ecc849614c9,Ai Baby Registry,market
EC-093-AI-Holiday-Planner,9c7bfa8b-7f10-4440-8653-fb724bb14b96,Ai Holiday Planner,market
EC-094-AI-Personal-Shopper,b43d8d59-cf41-4e0d-9104-5d7aa1c7cc8b,Ai Personal Shopper,market
EC-095-AI-Color-Match,57f222b2-4bd7-47fe-a6b9-4ca9fb85f397,Ai Color Match,market
EC-096-AI-Fabric-Advisor,b908c142-2cd7-4dd3-80a3-333072fc2139,Ai Fabric Advisor,market
EC-097-AI-Fit-Recommendation,53092cce-000a-4f02-acbd-c38c3e47fe4b,Ai Fit Recommendation,market
EC-098-AI-Outfit-Builder,248ceb22-f8ba-41b3-81e0-83deabb758af,Ai Outfit Builder,market
EC-099-AI-Seasonal-Forecast,d164ed2d-5fee-4093-8a56-497160748693,Ai Seasonal Forecast,market
EC-100-AI-Wardrobe-Planner,e52fe3ef-7143-493b-972b-842b0e3dc914,Ai Wardrobe Planner,market
EC-101-AI-Accessory-Match,efb86511-f300-4a3b-b79c-fd66c475c586,Ai Accessory Match,market
EC-102-AI-Shoe-Match,e6196ee6-bfda-4687-bff6-2ca57d6b5f4c,Ai Shoe Match,market
EC-103-AI-Jewelry-Match,69cafbde-7fc1-4870-b3e6-3e5d4149db1c,Ai Jewelry Match,market
EC-104-AI-Bag-Match,59e5eaf3-ebcb-4166-b3f7-ad1535df269d,Ai Bag Match,market
EC-105-AI-Color-Palette,d6153a57-d968-48fd-aa9f-bf8ba187b554,Ai Color Palette,market
EC-106-AI-Outfit-Recycling,75c46304-481e-4f5e-9d1a-ab0474e66c89,Ai Outfit Recycling,market
EC-107-AI-Style-Evolution,f18dc898-2522-49f6-928c-7f9ca7598d20,Ai Style Evolution,market
EC-108-AI-Budget-Stylist,2aa052f5-86fa-4b5f-b82c-3803b6fa0658,Ai Budget Stylist,market
EC-109-AI-Trend-Archive,8ae79082-a341-4e02-b85d-2d8cb240399d,Ai Trend Archive,market
EC-110-AI-Vintage-Advisor,058bc6e3-2b03-4234-ade7-5bdc10a27e79,Ai Vintage Advisor,market
EDU-001-Youth-Entrepreneurship-Curriculum,1982f9d5-9906-4258-b726-8b7a1dc134ad,Youth Entrepreneurship Curriculum,edtech
EDU-002-AI-Literacy-Program,86a605b4-2b10-40a8-aab4-f18b84d5c0fb,Ai Literacy Program,edtech
EDU-003-Coding-Mentor-Certification,f46b7bb4-f6c6-48f8-ba17-40df684211eb,Coding Mentor Certification,edtech
EDU-004-Real-Estate-Licensing-Prep,0142298f-d27e-4f27-b9f7-621d7df2051d,Real Estate Licensing Prep,edtech
EDU-005-Coding-Bootcamp,f3a1e437-3730-4ecc-93de-8bd39ce4ab73,Coding Bootcamp,edtech
EDU-006-Homeschooling-Content-AI,970a10cd-39de-444c-ab02-a322ffe9595b,Homeschooling Content Ai,edtech
EDU-007-AI-Tutoring-Platform,76fc699c-07a5-47f1-850b-1b87d4b09383,Ai Tutoring Platform,edtech
EDU-008-Branding-Templates-Marketplace,f0148df8-77c8-4c40-9ef8-fcd5cb87edef,Branding Templates Marketplace,edtech
EDU-009-Voiceover-Script-Library,50fdd75b-08e3-4b25-adb5-3252b0218edc,Voiceover Script Library,edtech
EDU-010-Trade-Skills-Bootcamp,ec0ff7a7-721f-46a0-90a3-e3844221e78f,Trade Skills Bootcamp,edtech
EDU-011-Franchise-Blueprint-System,ddd8bd06-d375-4481-bbc8-094e7dd3297a,Franchise Blueprint System,edtech
EDU-012-Low-Income-Housing-Blueprint,4285eea8-23f3-45c8-8a66-f9fb65d29550,Low Income Housing Blueprint,edtech
EDU-013-Automated-Empire-Book,5e6d3547-fc5a-4511-b7dc-ea829aff7b17,Automated Empire Book,edtech
EDU-014-BIPOC-Creator-Incubator,cbd335a4-72a4-4872-ae3d-cf1ba1a704d3,Bipoc Creator Incubator,edtech
EDU-015-AI-Legal-Doc-Generator,7bc634f2-5227-4b5b-986d-f73c46f575d3,Ai Legal Doc Generator,edtech
EDU-016-Virtual-Black-Art-Museum,dc8b2b20-b9d9-4fe4-a751-0a6c19e15f63,Virtual Black Art Museum,edtech
EDU-017-AI-Coding-Tutor,563d83e2-b55d-4660-8124-578d94f48393,Ai Coding Tutor,edtech
EDU-018-Online-Course-Creator,a6ff4191-ea6d-4ae7-8594-4d8e5c817a24,Online Course Creator,edtech
EDU-019-Executive-Education-Program,32788fce-aee1-4580-be35-f23a5ba2e185,Executive Education Program,edtech
EDU-020-Youth-STEM-Program,eab49199-7a5e-43e3-b17a-7783f2ba88df,Youth Stem Program,edtech
EDU-021-Remote-Work-Certification,57714f4e-8b35-4ba2-acd6-be638b5651bc,Remote Work Certification,edtech
EDU-022-AI-Research-Assistant,13a359cd-b81e-4308-97ae-866caa26cbaf,Ai Research Assistant,edtech
EDU-023-Personal-Finance-Coach,a7313b93-1f7c-4b8d-a76f-05adc9f19044,Personal Finance Coach,edtech
EDU-024-Language-Learning-AI,3579fc6c-200c-4f67-af16-e9d6daa8aeef,Language Learning Ai,edtech
EDU-025-Test-Preparation-AI,81a03724-68a5-4a57-bdfc-6439241ce809,Test Preparation Ai,edtech
EDU-026-Corporate-Training-AI,3d9e26bd-f37c-4d22-a32c-e6fbc723b813,Corporate Training Ai,edtech
EDU-027-Medical-Education-AI,b0ebffe2-21fe-4d7f-917a-1c648598d852,Medical Education Ai,edtech
EDU-028-Legal-Education-AI,01d525cb-7d20-400d-8755-feb73fdad2be,Legal Education Ai,edtech
EDU-029-Music-Education-AI,96e42cd0-c04d-49c2-a9c7-696fc08fe1f1,Music Education Ai,edtech
EDU-030-Art-Education-AI,165c6d9c-7d5a-437e-bd7b-32ef5591b556,Art Education Ai,edtech
EDU-031-Physical-Education-AI,d1f6f63b-92ae-4fbe-8093-37109d55a981,Physical Education Ai,edtech
EDU-032-Environmental-Education-AI,46361eff-dc42-4c53-bb98-9c307b472ff2,Environmental Education Ai,edtech
EDU-033-Social-Studies-AI,09da8b0a-9a94-461e-a1ac-3009d7e8cf5e,Social Studies Ai,edtech
EDU-034-Math-Education-AI,db4cffab-87d5-450e-a9c6-6aa34417c735,Math Education Ai,edtech
EDU-035-Science-Education-AI,8e3e7611-dbd2-4be2-bc92-d53f64b8faec,Science Education Ai,edtech
EDU-036-Reading-Comprehension-AI,c001506d-453e-482d-991b-d08be43a4e68,Reading Comprehension Ai,edtech
EDU-037-Writing-Instruction-AI,85ce4f91-864f-40b1-946b-d9c061866584,Writing Instruction Ai,edtech
EDU-038-Critical-Thinking-AI,da90d565-e3c0-4f88-b518-d36ebcd01c9b,Critical Thinking Ai,edtech
EDU-039-Emotional-Intelligence-AI,6dbf2ae4-e7cb-4a89-a953-7f7810fff452,Emotional Intelligence Ai,edtech
EDU-040-Time-Management-AI,f2dd65e6-3f8c-4797-8d8f-b00486d6c65a,Time Management Ai,edtech
EM-001-Space-Habitat-AI,ae1db8ce-e797-4a15-9fe4-3bd28130ede1,Space Habitat Ai,ai
EM-002-Fusion-Energy-AI,85d16b40-5ac1-4de3-bf86-6f28db432856,Fusion Energy Ai,ai
EM-003-Teleportation-Research-AI,082c9549-b479-4b6b-a94d-039c24a9fd70,Teleportation Research Ai,ai
EM-004-Climate-Solutions-AI,bd8b505a-f5cf-4b38-a76f-2421d2152ffb,Climate Solutions Ai,ai
EM-005-Holographic-Events-AI,09093afd-1fab-450c-b158-2987b6224e27,Holographic Events Ai,ai
EM-006-Neurofeedback-AI,60c66a64-9fd3-4e83-9cec-25ebf8435b7c,Neurofeedback Ai,ai
EM-007-Autonomous-Delivery-AI,dcc90fd7-aefc-4e45-b1e5-95703e50ea87,Autonomous Delivery Ai,ai
EM-008-Gene-Editing-AI,773d1607-b3bd-4fca-9b51-5195c4202d24,Gene Editing Ai,ai
EM-009-Space-Tourism-AI,374e89eb-cbba-4476-ae24-9d60206b3dbe,Space Tourism Ai,ai
EM-010-Wearables-AI,6e468241-bfde-4f52-a4e0-e48cf1c708c6,Wearables Ai,ai
EM-011-Metaverse-Hub-AI,bb2867fc-3544-44d1-8990-2168165ffa9b,Metaverse Hub Ai,ai
EM-012-Energy-Grid-AI,2d31ba4a-d946-4fb2-8313-6df24e866477,Energy Grid Ai,ai
EM-013-Brain-Computer-Interface,5d2219fc-e6a0-4313-a159-2614709a6ca4,Brain Computer Interface,ai
EM-014-Ocean-Cleanup-AI,74cd1d37-8e52-4440-a31c-43cd4be8e18b,Ocean Cleanup Ai,ai
EM-015-Crypto-Trading-AI,6bbaa1e6-372f-4f89-b412-8558aa0b3f2f,Crypto Trading Ai,ai
EM-016-Synthetic-Media-AI,6ae13ef3-1eb7-405e-874e-025f1a4133e5,Synthetic Media Ai,ai
EM-017-Space-Mining-AI,2629051b-ee01-4bea-96a5-78d20d510974,Space Mining Ai,ai
EM-018-VR-Therapy-AI,0955b8a2-ea66-407c-b8f4-ff66a162c9f9,Vr Therapy Ai,ai
EM-019-Weather-Prediction-AI,acefbd2b-a175-4a66-a598-d551d89fb7ad,Weather Prediction Ai,ai
EM-020-Autonomous-Farming-AI,8aa1ac6e-558e-4c0d-ac86-f48764bfe189,Autonomous Farming Ai,ai
EM-021-Traffic-Optimizer-AI,acaebb39-b849-4de5-ab89-6e9d17bef695,Traffic Optimizer Ai,ai
EM-022-Smart-Grid-AI,813ea1ce-b9cb-46db-8d8b-8e30dbd2ff18,Smart Grid Ai,ai
EM-023-Disaster-Prediction-AI,016c0093-6720-41b3-893a-c55ff3677484,Disaster Prediction Ai,ai
EM-024-Nanotech-AI,f13ca92d-2003-4bcc-a1b7-9ff740be2733,Nanotech Ai,ai
EM-025-Personalized-Medicine-AI,844dce42-970c-41a2-9fe5-8d0b48a1e3de,Personalized Medicine Ai,ai
EM-026-AI-Diagnostic-Lab,12b83702-3d09-4d1e-8153-309513fa9c5d,Ai Diagnostic Lab,ai
EM-027-Sustainable-Cities-AI,66ac7cd0-7c20-441b-a8c3-de3431b0edea,Sustainable Cities Ai,ai
