venture_id_human,venture_name,sector,uuid_classification,in_classification
BW-016-Nail-Polish-Brand,Nail Polish Brand,beauty,,no
BW-017-Nail-Care-Products,Nail Care Products,beauty,,no
BW-018-Nail-Booking-Marketplace,Nail Booking Marketplace,beauty,,no
BW-019-Salon-Management-Software,Salon Management Software,beauty,,no
BW-020-AI-Nail-Design-Generator,Ai Nail Design Generator,beauty,,no
BW-021-Hair-Salon,Hair Salon,beauty,,no
BW-022-Barbershop,Barbershop,beauty,,no
BW-023-Mobile-Hairstyling,Mobile Hairstyling,beauty,,no
BW-024-Hair-Braiding-Studio,Hair Braiding Studio,beauty,,no
BW-025-Wig-Installation-Studio,Wig Installation Studio,beauty,,no
BW-026-Hair-Extension-Salon,Hair Extension Salon,beauty,,no
BW-027-Hair-Care-Line,Hair Care Line,beauty,,no
BW-028-Wig-Brand,Wig Brand,beauty,,no
BW-029-Hair-Extensions-Brand,Hair Extensions Brand,beauty,,no
BW-030-Scalp-Treatment-Products,Scalp Treatment Products,beauty,,no
BW-031-Hair-Marketplace,Hair Marketplace,beauty,,no
BW-032-Stylist-Booking-Platform,Stylist Booking Platform,beauty,,no
BW-033-AI-Hairstyle-Simulator,Ai Hairstyle Simulator,beauty,,no
BW-034-Salon-Franchise-Chain,Salon Franchise Chain,beauty,,no
BW-035-Makeup-Studio,Makeup Studio,beauty,,no
BW-036-Bridal-Makeup-Service,Bridal Makeup Service,beauty,,no
BW-037-Mobile-Makeup-Artist,Mobile Makeup Artist,beauty,,no
BW-038-Photoshoot-Makeup-Team,Photoshoot Makeup Team,beauty,,no
BW-039-Cosmetics-Brand,Cosmetics Brand,beauty,,no
BW-040-Beauty-Tools-Brand,Beauty Tools Brand,beauty,,no
FH-001-Personal-Chef-Service,Personal Chef Service,market,,no
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,market,,no
FH-003-Private-Dinner-Experiences,Private Dinner Experiences,market,,no
FH-004-Catering-Company,Catering Company,market,,no
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,market,,no
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,market,,no
FH-007-Elderly-Meal-Service,Elderly Meal Service,market,,no
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,market,,no
FH-009-Packaged-Food-Brand,Packaged Food Brand,market,,no
FH-010-Frozen-Meals-Company,Frozen Meals Company,market,,no
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,market,,no
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,market,,no
FH-013-Meal-Kit-Company,Meal Kit Company,market,,no
FH-014-Cloud-Kitchen-,Cloud Kitchen ,market,,no
FH-015-AI-Nutrition-Planner,Ai Nutrition Planner,market,,no
FH-016-Recipe-App,Recipe App,market,,no
FH-017-Cooking-Content-Brand,Cooking Content Brand,market,,no
FH-018-Food-Influencer-Brand,Food Influencer Brand,market,,no
FH-019-Cooking-Course-Platform,Cooking Course Platform,market,,no
FH-020-Restaurant-POS-System,Restaurant Pos System,market,,no
FH-021-Food-Truck-Business,Food Truck Business,market,,no
FH-022-Specialty-Coffee-Shop,Specialty Coffee Shop,market,,no
FH-023-Bakery-&-Pastry-Shop,Bakery & Pastry Shop,market,,no
FH-024-Juice-Bar,Juice Bar,market,,no
FH-025-Ice-Cream-Shop,Ice Cream Shop,market,,no
FH-026-Gourmet-Food-Market,Gourmet Food Market,market,,no
FH-027-Food-Delivery-Platform,Food Delivery Platform,market,,no
FH-028-Restaurant-Management-SaaS,Restaurant Management Saas,market,,no
FH-029-Food-Quality-Testing-Lab,Food Quality Testing Lab,market,,no
FH-030-Organic-Food-Brand,Organic Food Brand,market,,no
FH-031-Vegan-Food-Company,Vegan Food Company,market,,no
FH-032-Keto-Meal-Service,Keto Meal Service,market,,no
FH-033-Food-Photography-Service,Food Photography Service,market,,no
FH-034-Restaurant-Consulting,Restaurant Consulting,market,,no
FH-035-Food-Safety-Training,Food Safety Training,market,,no
FS-001-Gym,Gym,market,,no
FS-002-Boutique-Fitness-Studio,Boutique Fitness Studio,market,,no
FS-003-Personal-Training-Studio,Personal Training Studio,market,,no
FS-004-Women-Only-Gym,Women Only Gym,market,,no
FS-005-Boxing-Gym,Boxing Gym,market,,no
FS-006-CrossFit-Gym,Crossfit Gym,market,,no
FS-007-Luxury-Fitness-Club,Luxury Fitness Club,market,,no
FS-008-Online-Coaching,Online Coaching,market,,no
FS-009-Personal-Trainer-Business,Personal Trainer Business,market,,no
FS-010-Transformation-Program,Transformation Program,market,,no
FS-011-Athlete-Training-Company,Athlete Training Company,market,,no
FS-012-Supplement-Brand,Supplement Brand,market,,no
FS-013-Fitness-Apparel,Fitness Apparel,market,,no
FS-014-Workout-Equipment-Brand,Workout Equipment Brand,market,,no
FS-015-Recovery-Products,Recovery Products,market,,no
FS-016-Fitness-App,Fitness App,market,,no
FS-017-AI-Personal-Trainer,Ai Personal Trainer,market,,no
FS-018-Gym-Management-Software,Gym Management Software,market,,no
FS-019-Wearable-Analytics-Platform,Wearable Analytics Platform,market,,no
FS-020-Yoga-Studio,Yoga Studio,market,,no
FS-021-Pilates-Studio,Pilates Studio,market,,no
FS-022-Dance-Studio,Dance Studio,market,,no
FS-023-Martial-Arts-Dojo,Martial Arts Dojo,market,,no
FS-024-Sports-Performance-Center,Sports Performance Center,market,,no
FS-025-Corporate-Wellness-Program,Corporate Wellness Program,market,,no
LT-001-Truck-Dispatch-Company,Truck Dispatch Company,infra,,no
LT-002-Freight-Brokerage,Freight Brokerage,infra,,no
LT-003-Logistics-Dispatch-Service,Logistics Dispatch Service,infra,,no
LT-004-Last-Mile-Delivery-Dispatch,Last Mile Delivery Dispatch,infra,,no
LT-005-Medical-Courier-Dispatch,Medical Courier Dispatch,infra,,no
LT-006-Amazon,Amazon,infra,,no
LT-007-Construction-Dispatch,Construction Dispatch,infra,,no
LT-008-Towing-Dispatch,Towing Dispatch,infra,,no
LT-009-HVAC-Technician-Dispatch,Hvac Technician Dispatch,infra,,no
LT-010-Field-Service-Dispatch,Field Service Dispatch,infra,,no
LT-011-Dispatch-Software,Dispatch Software,infra,,no
LT-012-Fleet-Tracking-Platform,Fleet Tracking Platform,infra,,no
LT-013-Logistics-Automation-System,Logistics Automation System,infra,,no
LT-014-AI-Route-Optimization,Ai Route Optimization,infra,,no
LT-015-Driver-Management-Platform,Driver Management Platform,infra,,no
LT-016-Trucking-Company,Trucking Company,infra,,no
LT-017-Courier-Service,Courier Service,infra,,no
LT-018-Local-Delivery-Company,Local Delivery Company,infra,,no
LT-019-Moving-Company,Moving Company,infra,,no
LT-020-Freight-Company,Freight Company,infra,,no
LT-021-Warehouse-Company,Warehouse Company,infra,,no
LT-022-Fulfillment-Center,Fulfillment Center,infra,,no
LT-023-Storage-Business,Storage Business,infra,,no
LT-024-Distribution-Company,Distribution Company,infra,,no
LT-025-Logistics-Marketplace,Logistics Marketplace,infra,,no
LT-026-Shipping-Platform,Shipping Platform,infra,,no
LT-027-Fleet-Management-SaaS,Fleet Management Saas,infra,,no
LT-028-Freight-AI-Optimization,Freight Ai Optimization,infra,,no
LT-029-Supply-Chain-Analytics,Supply Chain Analytics,infra,,no
LT-030-Cold-Chain-Logistics,Cold Chain Logistics,infra,,no
PS-001-Business-Consulting,Business Consulting,market,,no
PS-002-Legal-Services,Legal Services,market,,no
PS-003-Accounting-Services,Accounting Services,market,,no
PS-004-HR-Consulting,Hr Consulting,market,,no
PS-005-Marketing-Agency,Marketing Agency,market,,no
PS-006-Web-Design-Agency,Web Design Agency,market,,no
PS-007-IT-Support-Services,It Support Services,market,,no
PS-008-Virtual-Assistant-Service,Virtual Assistant Service,market,,no
PS-009-Bookkeeping-Service,Bookkeeping Service,market,,no
PS-010-Tax-Preparation-Service,Tax Preparation Service,market,,no
PS-011-Real-Estate-Agency,Real Estate Agency,market,,no
PS-012-Insurance-Agency,Insurance Agency,market,,no
PS-013-Financial-Planning,Financial Planning,market,,no
PS-014-Event-Planning,Event Planning,market,,no
PS-015-Interior-Design,Interior Design,market,,no
PS-016-Photography-Service,Photography Service,market,,no
PS-017-Videography-Service,Videography Service,market,,no
PS-018-Translation-Services,Translation Services,market,,no
PS-019-Copywriting-Service,Copywriting Service,market,,no
PS-020-Social-Media-Management,Social Media Management,market,,no
PS-021-SEO-Agency,Seo Agency,market,,no
PS-022-PPC-Management,Ppc Management,market,,no
PS-023-PR-Agency,Pr Agency,market,,no
PS-024-Recruiting-Agency,Recruiting Agency,market,,no
PS-025-Business-Brokerage,Business Brokerage,market,,no
MC-001-YouTube-Channel-Network,Youtube Channel Network,market,,no
MC-002-Podcast-Network,Podcast Network,market,,no
MC-003-Blog-Network,Blog Network,market,,no
MC-004-Influencer-Agency,Influencer Agency,market,,no
MC-005-Content-Creation-Studio,Content Creation Studio,market,,no
MC-006-Video-Production-Company,Video Production Company,market,,no
MC-007-Animation-Studio,Animation Studio,market,,no
MC-008-Music-Production,Music Production,market,,no
MC-009-Stock-Photography,Stock Photography,market,,no
MC-010-Stock-Video,Stock Video,market,,no
MC-011-Online-Magazine,Online Magazine,market,,no
MC-012-News-Website,News Website,market,,no
MC-013-Streaming-Platform,Streaming Platform,market,,no
MC-014-Gaming-Channel,Gaming Channel,market,,no
MC-015-Esports-Team,Esports Team,market,,no
MC-016-Virtual-Events-Platform,Virtual Events Platform,market,,no
MC-017-Online-Course-Platform,Online Course Platform,market,,no
MC-018-Membership-Site,Membership Site,market,,no
MC-019-Digital-Download-Store,Digital Download Store,market,,no
MC-020-NFT-Marketplace,Nft Marketplace,market,,no
ET-001-Online-Tutoring-Platform,Online Tutoring Platform,edtech,,no
ET-002-Language-Learning-App,Language Learning App,edtech,,no
ET-003-Test-Prep-Service,Test Prep Service,edtech,,no
ET-004-Coding-Bootcamp,Coding Bootcamp,edtech,f3a1e437-3730-4ecc-93de-8bd39ce4ab73,yes
ET-005-Professional-Certification,Professional Certification,edtech,,no
ET-006-Corporate-Training,Corporate Training,edtech,,no
ET-007-Skills-Assessment-Platform,Skills Assessment Platform,edtech,,no
ET-008-Career-Coaching,Career Coaching,edtech,,no
ET-009-Resume-Writing-Service,Resume Writing Service,edtech,,no
ET-010-Interview-Prep-Platform,Interview Prep Platform,edtech,,no
ET-011-Mentorship-Platform,Mentorship Platform,edtech,,no
ET-012-Educational-Content-Library,Educational Content Library,edtech,,no
ET-013-VR-Training-Simulations,Vr Training Simulations,edtech,,no
ET-014-Gamified-Learning-App,Gamified Learning App,edtech,,no
ET-015-Homeschool-Curriculum,Homeschool Curriculum,edtech,,no
ST-001-SaaS-Platform,Saas Platform,devtools,,no
ST-002-Mobile-App-Development,Mobile App Development,devtools,,no
ST-003-Web-Development-Agency,Web Development Agency,devtools,,no
ST-004-Custom-Software-Development,Custom Software Development,devtools,,no
ST-005-API-Development,Api Development,devtools,,no
ST-006-Cloud-Infrastructure,Cloud Infrastructure,devtools,,no
ST-007-DevOps-Consulting,Devops Consulting,devtools,,no
ST-008-Cybersecurity-Service,Cybersecurity Service,devtools,,no
ST-009-Data-Analytics-Platform,Data Analytics Platform,devtools,,no
ST-010-Business-Intelligence-Tool,Business Intelligence Tool,devtools,,no
ST-011-CRM-Platform,Crm Platform,devtools,,no
ST-012-Project-Management-Tool,Project Management Tool,devtools,,no
ST-013-Communication-Platform,Communication Platform,devtools,,no
ST-014-Collaboration-Software,Collaboration Software,devtools,,no
ST-015-Automation-Platform,Automation Platform,devtools,,no
ST-016-AI,Ai,devtools,,no
ST-017-Chatbot-Builder,Chatbot Builder,devtools,,no
ST-018-E-commerce-Platform,E Commerce Platform,devtools,,no
ST-019-Payment-Processing,Payment Processing,devtools,,no
ST-020-Blockchain-Platform,Blockchain Platform,devtools,,no
ST-021-IoT-Platform,Iot Platform,devtools,,no
ST-022-AR,Ar,devtools,,no
ST-023-Game-Development,Game Development,devtools,,no
ST-024-Marketing-Automation,Marketing Automation,devtools,,no
ST-025-Sales-Automation,Sales Automation,devtools,,no
ST-026-HR-Tech-Platform,Hr Tech Platform,devtools,,no
ST-027-Legal-Tech-Platform,Legal Tech Platform,devtools,,no
ST-028-Health-Tech-Platform,Health Tech Platform,devtools,,no
ST-029-EdTech-Platform,Edtech Platform,devtools,,no
ST-030-PropTech-Platform,Proptech Platform,devtools,,no
EC-001-Angels-in-Daylight,Angels In Daylight,market,,no
EC-002-New-World-Apparel,New World Apparel,market,,no
EC-003-Shopify-Autopilot,Shopify Autopilot,market,,no
EC-004-Shoe-Customizer,Shoe Customizer,market,,no
EC-005-Sunglasses-AI,Sunglasses Ai,market,64669816-60f5-4f5d-822c-d542a5398c33,yes
EC-006-Dropship-Hub,Dropship Hub,market,9ac4f7e2-560a-4868-9965-bb793789d2c0,yes
EC-007-Personal-Shopper-AI,Personal Shopper Ai,market,952ed8f1-ed82-47a2-8fed-f32c90e21c50,yes
EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,market,7eec5582-b7d3-4814-b1e1-763ce7b7dc52,yes
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,market,645f19c8-cbab-48ac-8d92-08ee7d424015,yes
EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,market,a458a464-3244-4623-847c-9b2fc339b9ec,yes
EC-011-Virtual-Try-On-AI,Virtual Try On Ai,market,3c4a6a4e-aacd-4c85-b842-c01c18d67eed,yes
EC-012-Fashion-Designer-AI,Fashion Designer Ai,market,ab88f4c6-bfbe-426a-b5be-9de15cbf26ce,yes
EC-013-Merch-Licensing,Merch Licensing,market,7e68ff6b-17ce-4847-9d52-3fae4260b4bd,yes
EC-014-Subscription-Box-AI,Subscription Box Ai,market,96c2276c-5e6a-45ce-9684-726949515b92,yes
EC-015-Surf-Gear-AI,Surf Gear Ai,market,932d609e-11b7-417e-a9da-dc37b7cb457b,yes
EC-016-Ski-Gear-AI,Ski Gear Ai,market,778f1fff-2438-409b-b285-3c43fd9fad4c,yes
EC-017-Golf-Gear-AI,Golf Gear Ai,market,5cef7ad7-0af4-4caf-a5b3-437d60d84100,yes
EC-018-Fishing-Gear-AI,Fishing Gear Ai,market,70c45815-05f9-4c27-8428-719e4639b1fe,yes
EC-019-Yoga-Gear-AI,Yoga Gear Ai,market,e94b1fc3-1398-4311-92f8-0ef23007110c,yes
EC-020-Costume-Shop-AI,Costume Shop Ai,market,8cc3a6d7-c784-480c-b552-179e3c9282fb,yes
EC-021-Luggage-AI,Luggage Ai,market,51d69a32-a9fe-47b8-b3c7-88780372918b,yes
EC-022-Home-Appliance-AI,Home Appliance Ai,market,4872fb01-ff96-431c-9b25-c2a66ad5b763,yes
EC-023-Tool-Shop-AI,Tool Shop Ai,market,d3c46e47-edf0-4e0a-bea5-aa03fc979d45,yes
EC-024-Garden-Supply-AI,Garden Supply Ai,market,5723b162-0c6f-4c98-a728-a2fdbbaed952,yes
EC-025-Collectible-AI,Collectible Ai,market,c86f1f74-1b0c-4298-bcb0-540ee11c30c1,yes
EC-026-Hobby-Shop-AI,Hobby Shop Ai,market,91a1d2f1-71dc-4a13-8f6c-923b52090248,yes
EC-027-Kids-Toy-Line,Kids Toy Line,market,c9097876-1a20-4574-a8e5-29e893202132,yes
EC-028-NFT-Fashion-Licensing,Nft Fashion Licensing,market,04a3ad6b-edcf-4945-ba81-ca8e0ca8a265,yes
EC-029-Instant-Brand-Generator,Instant Brand Generator,market,0ef43be4-0a97-4b81-bb34-318e99be2e79,yes
EC-030-AI-Product-Photographer,Ai Product Photographer,market,5706db7e-a0aa-4216-8a72-6e423d201490,yes
EC-031-Automated-Inventory-Forecaster,Automated Inventory Forecaster,market,d7ddcedd-b082-4e19-b6b4-369cb6a52322,yes
EC-032-Dynamic-Pricing-Engine,Dynamic Pricing Engine,market,bb87cbc7-7f6d-47b9-833d-92b299cc6227,yes
EC-033-Ad-Optimizer-AI,Ad Optimizer Ai,market,782c3f1d-0127-464a-b1fa-812c2244f988,yes
EC-034-Recommendation-Engine,Recommendation Engine,market,70a6dd47-0fe7-456e-bf0e-497b09bab3f4,yes
EC-035-Review-Aggregator-AI,Review Aggregator Ai,market,f4d11787-2851-45c9-bfa2-88349762a37d,yes
EC-036-Fulfillment-Network-AI,Fulfillment Network Ai,market,02ee37b5-eb8a-4f42-ad94-79b7e5472d22,yes
EC-037-Return-Optimization-AI,Return Optimization Ai,market,0ea29e71-8639-4202-925b-ecb70c013800,yes
EC-038-Chatbot-Customer-Service,Chatbot Customer Service,market,b6823f63-1d6d-4b98-a640-3766a0637c50,yes
EC-039-Visual-Search-AI,Visual Search Ai,market,11042f16-27fe-4c22-80d8-719ec6a3dc83,yes
EC-040-Abandoned-Cart-Recovery,Abandoned Cart Recovery,market,d554d438-5692-4d11-8134-b46be9143aa2,yes
EC-041-Seasonal-Trend-Predictor,Seasonal Trend Predictor,market,2341307d-f417-4696-8f8f-8900eee85251,yes
EC-042-Influencer-Matchmaker,Influencer Matchmaker,market,1972105c-4744-4d5f-8ff1-1d5e623dedd4,yes
EC-043-UGC-Content-Aggregator,Ugc Content Aggregator,market,44eacc62-7877-48ea-8ef6-80ebc1b0e846,yes
EC-044-Live-Commerce-Platform,Live Commerce Platform,market,0ade2bf0-c2a2-4373-9179-2c773ea44a76,yes
EC-045-AR-Virtual-Fitting-Room,Ar Virtual Fitting Room,market,b7a0e981-8ef3-45bf-ad1d-3cbd3b482ba9,yes
EC-046-3D-Product-Viewer,3D Product Viewer,market,f673b096-f211-4b65-9ff5-20a85605513b,yes
EC-047-Carbon-Footprint-Tracker,Carbon Footprint Tracker,market,e515e6cd-a5a9-453d-80c6-fc11c9b7a602,yes
EC-048-Wholesale-Marketplace-AI,Wholesale Marketplace Ai,market,cf272b81-21e0-4813-b736-6ff0c4ba488c,yes
EC-049-Rental-Marketplace,Rental Marketplace,market,e6ccb583-55bf-43c4-854b-6dfb0b196fca,yes
EC-050-AI-Product-Descriptions,Ai Product Descriptions,market,7c528bb7-3515-479f-9928-de0dbdd423c2,yes
EC-051-AI-Email-Marketing,Ai Email Marketing,market,7520fa1f-0055-41a1-a995-9ab6324812be,yes
EC-052-AI-Product-Bundler,Ai Product Bundler,market,9778724e-b6e5-44ec-8aa6-e21712907a75,yes
EC-053-AI-Visual-Merchandiser,Ai Visual Merchandiser,market,ba7d6e14-d315-4a40-8147-df365b2ebecf,yes
EC-054-AI-Demand-Forecasting,Ai Demand Forecasting,market,1f79d4d9-0ae0-4d61-9229-bf119ef3e3a9,yes
EC-055-AI-Warehouse-Management,Ai Warehouse Management,market,76168880-aee5-4805-9d1e-3f46284bd73e,yes
EC-056-AI-Supplier-Matching,Ai Supplier Matching,market,8d079de0-f036-42a7-b886-62602bc23760,yes
EC-057-AI-Quality-Control,Ai Quality Control,market,38f31487-8db1-447f-a399-b058408b194c,yes
EC-058-AI-Packaging-Designer,Ai Packaging Designer,market,48f21b48-6f8e-4e07-9469-3d7dc790c5a4,yes
EC-059-AI-Logistics-Planner,Ai Logistics Planner,market,344b87d3-150c-422f-9fab-21632cf5f464,yes
EC-060-AI-Customer-Loyalty,Ai Customer Loyalty,market,227ee829-19eb-4140-8f4e-d5c738068733,yes
EC-061-AI-Gift-Finder,Ai Gift Finder,market,82bae0ac-72af-4173-874c-de5254964862,yes
EC-062-AI-Trend-Hunter,Ai Trend Hunter,market,87003939-3647-4fb8-b810-5576913b0fb5,yes
EC-063-AI-Market-Research,Ai Market Research,market,34bef434-d5d2-4dab-b6f4-594fa069d2cc,yes
EC-064-AI-Competitor-Watcher,Ai Competitor Watcher,market,dbfe774d-fa2a-4692-b246-68099c88b85c,yes
EC-065-AI-Product-Development,Ai Product Development,market,66f336ca-ac2d-4566-b711-7d8ee8d2e0df,yes
EC-066-AI-Customer-Journey,Ai Customer Journey,market,c9ef5321-03f9-4c9e-8c92-c3fbaf73e773,yes
EC-067-AI-Payment-Optimization,Ai Payment Optimization,market,5469f98f-1926-4d43-9e44-d1e348e08b64,yes
EC-068-AI-Returns-Management,Ai Returns Management,market,0f8fb560-a2fe-44f5-a527-8473a64371eb,yes
EC-069-AI-Shipping-Labeler,Ai Shipping Labeler,market,1467e5ce-7a97-4daa-a208-f412fcd8d0b9,yes
EC-070-AI-Product-Launch-Coach,Ai Product Launch Coach,market,81ecd43c-8fe7-4d72-b410-bd85f61ed134,yes
EC-071-AI-Vendor-Negotiator,Ai Vendor Negotiator,market,6c67f50e-b6ae-44d8-9107-2482914ed3f5,yes
EC-072-AI-Product-Cataloger,Ai Product Cataloger,market,2ff505e9-628e-4851-88c2-891abc76953b,yes
EC-073-AI-Order-Prioritizer,Ai Order Prioritizer,market,1c5521f5-b350-4cb0-b3a4-34736d9d383b,yes
EC-074-AI-Customer-Segmentation,Ai Customer Segmentation,market,7b51ad29-9423-424f-83e9-e3865cc498ef,yes
EC-075-AI-Pricing-Analyst,Ai Pricing Analyst,market,0811dbca-04ed-4e24-a051-2fc8ab94d028,yes
EC-076-AI-Sales-Forecasting,Ai Sales Forecasting,market,35cda89c-dc7c-4391-8323-5d8237921766,yes
EC-077-AI-Inventory-Reordering,Ai Inventory Reordering,market,5d1dba3e-c471-4576-8a95-3046773736d3,yes
EC-078-AI-Product-Comparison,Ai Product Comparison,market,f999b069-6bfe-47b6-9291-64f2477fe2cf,yes
EC-079-AI-Customer-Feedback,Ai Customer Feedback,market,f9cf7ded-9f65-4bf8-851f-45c3a927951b,yes
EC-080-AI-Product-Updates,Ai Product Updates,market,5db8782d-eae9-4d82-a273-695467be0159,yes
EC-081-AI-Cross-Selling,Ai Cross Selling,market,fe3f5bec-194c-4cc5-a5b9-bb7eb4f0d768,yes
EC-082-AI-Up-Selling,Ai Up Selling,market,08b32575-d364-4c67-9e6a-137ee4e37c58,yes
EC-083-AI-Product-Education,Ai Product Education,market,49526c95-3d5f-4702-9c1b-eafe7fa02750,yes
EC-084-AI-Purchase-Timing,Ai Purchase Timing,market,863af29c-17ba-4e86-b796-048d1a97a443,yes
EC-085-AI-Customer-Support,Ai Customer Support,market,183352d5-3ad0-46bc-830f-4609de0c8361,yes
EC-086-AI-Order-Tracking,Ai Order Tracking,market,31c6fede-cbc0-44a0-8617-11c205aa0d84,yes
EC-087-AI-Product-Reviews,Ai Product Reviews,market,d16e5b60-facb-48d4-a756-1eb320e77b48,yes
EC-088-AI-Customer-Community,Ai Customer Community,market,55af196a-fcc9-45c2-9890-e711c18cb9e4,yes
EC-089-AI-Product-Customization,Ai Product Customization,market,bfc7ced0-d7ac-4d3d-9c3c-0f986dd4fe00,yes
EC-090-AI-Gift-Registry,Ai Gift Registry,market,b54d49c0-24c4-47d7-93f9-d0679060c937,yes
