Rank,Venture Name,Sector,Sector Lead,Monthly Revenue,Repo 1,Repo 2,Repo 3,Repo 4,Phase 4 Start,Phase 5 Start,Phase 11 Start
71,Automated Bookkeeping,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
72,Expense Tracker Ai,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
73,Wealth Transfer Ai,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
74,Crowdfunding Ai,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
75,Crypto Tax Optimizer,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
76,Escrow Automation,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
77,Credit Repair Automation,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
78,Investment Portfolio Ai,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
79,U Haul Rental Affiliate,Financial,Financial Services Lead,3500,portfolio-management,tax-optimization,wealth-api,reporting-engine,Week 1,Week 2,Week 3
80,Customer Insights Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
81,Blockchain Verifier Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
82,Content Studio Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
83,Smart Home Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
84,Data Visualization Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
85,Sentiment Analyzer,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
86,Image Recognition Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
87,Robotics Training Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
88,Text To Speech Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
89,Fraud Prevention Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
90,Recommendation Engine,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
91,Network Security Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
92,Speech To Text Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
93,Voice Assistant Ai,Devtools,Developer Tools Lead,3500,api-framework,sdk-generator,documentation-engine,analytics-dashboard,Week 1,Week 2,Week 3
94,Local Government Ai,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
95,Housing Assistance Ai,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
96,Cultural Exchange Ai,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
97,Senior Tech Support,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
98,Community Arts Ai,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
99,Community Wellness Ai,Community,Community Manager,3500,discord-bot,community-guidelines,member-dashboard,event-platform,Week 1,Week 2,Week 3
100,VitalSense,Health,Healthcare Lead,3500,hipaa-compliance,patient-records,telemedicine-api,medical-charts,Week 1,Week 2,Week 3
