repo_name,venture_id,sector,status,health_score
lt-019-moving-company,LT-019-Moving-Company,logistics-transport,validation,"[""""system-design"""
lt-020-freight-company,LT-020-Freight-Company,logistics-transport,validation,"[""""system-design"""
lt-021-warehouse-company,LT-021-Warehouse-Company,logistics-transport,planned,"[""""system-design"""
lt-022-fulfillment-center,LT-022-Fulfillment-Center,logistics-transport,development,"[""""system-design"""
lt-023-storage-business,LT-023-Storage-Business,logistics-transport,validation,"[""""system-design"""
lt-024-distribution-company,LT-024-Distribution-Company,logistics-transport,validation,"[""""system-design"""
lt-025-logistics-marketplace,LT-025-Logistics-Marketplace,logistics-transport,planned,"[""""system-design"""
lt-026-shipping-platform,LT-026-Shipping-Platform,logistics-transport,planned,"[""""system-design"""
lt-027-fleet-management-saas,LT-027-Fleet-Management-SaaS,logistics-transport,planned,"[""""system-design"""
lt-028-freight-ai-optimization,LT-028-Freight-AI-Optimization,logistics-transport,planned,"[""""system-design"""
lt-029-supply-chain-analytics,LT-029-Supply-Chain-Analytics,logistics-transport,planned,"[""""system-design"""
lt-030-cold-chain-logistics,LT-030-Cold-Chain-Logistics,logistics-transport,validation,"[""""system-design"""
ps-001-business-consulting,PS-001-Business-Consulting,professional-services,development,"[""""business-strategy"""
ps-002-legal-services,PS-002-Legal-Services,professional-services,validation,"[""""business-strategy"""
ps-003-accounting-services,PS-003-Accounting-Services,professional-services,development,"[""""business-strategy"""
ps-004-hr-consulting,PS-004-HR-Consulting,professional-services,validation,"[""""business-strategy"""
ps-005-marketing-agency,PS-005-Marketing-Agency,professional-services,development,"[""""business-strategy"""
ps-006-web-design-agency,PS-006-Web-Design-Agency,professional-services,development,"[""""business-strategy"""
ps-007-it-support-services,PS-007-IT-Support-Services,professional-services,development,"[""""business-strategy"""
ps-008-virtual-assistant-service,PS-008-Virtual-Assistant-Service,professional-services,development,"[""""business-strategy"""
ps-009-bookkeeping-service,PS-009-Bookkeeping-Service,professional-services,development,"[""""business-strategy"""
ps-010-tax-preparation-service,PS-010-Tax-Preparation-Service,professional-services,development,"[""""business-strategy"""
ps-011-real-estate-agency,PS-011-Real-Estate-Agency,professional-services,validation,"[""""business-strategy"""
ps-012-insurance-agency,PS-012-Insurance-Agency,professional-services,validation,"[""""business-strategy"""
ps-013-financial-planning,PS-013-Financial-Planning,professional-services,development,"[""""business-strategy"""
ps-014-event-planning,PS-014-Event-Planning,professional-services,validation,"[""""business-strategy"""
ps-015-interior-design,PS-015-Interior-Design,professional-services,validation,"[""""business-strategy"""
ps-016-photography-service,PS-016-Photography-Service,professional-services,development,"[""""business-strategy"""
ps-017-videography-service,PS-017-Videography-Service,professional-services,development,"[""""business-strategy"""
ps-018-translation-services,PS-018-Translation-Services,professional-services,validation,"[""""business-strategy"""
ps-019-copywriting-service,PS-019-Copywriting-Service,professional-services,development,"[""""business-strategy"""
ps-020-social-media-management,PS-020-Social-Media-Management,professional-services,development,"[""""business-strategy"""
ps-021-seo-agency,PS-021-SEO-Agency,professional-services,development,"[""""business-strategy"""
ps-022-ppc-management,PS-022-PPC-Management,professional-services,development,"[""""business-strategy"""
ps-023-pr-agency,PS-023-PR-Agency,professional-services,validation,"[""""business-strategy"""
ps-024-recruiting-agency,PS-024-Recruiting-Agency,professional-services,validation,"[""""business-strategy"""
ps-025-business-brokerage,PS-025-Business-Brokerage,professional-services,planned,"[""""business-strategy"""
mc-001-youtube-channel-network,MC-001-YouTube-Channel-Network,media-content,development,"T4_OPS_COORDINATOR_001""],0,ventures-master.csv,medium,Venture #192 of 687
mc-002-podcast-network,MC-002-Podcast-Network: Podcast Network - media-content venture,Venture,MC-002-Podcast-Network,Podcast Network,media-content,mvp,development,https://github.com/Worldwidebro/mc-002-podcast-network,T3_SOCIAL_MEDIA_001"""
ops-002-supply-chain-optimizer,OPS-002-Supply-Chain-Optimizer,operations,planned,"[""""operations"""
ops-003-event-planning-ai,OPS-003-Event-Planning-AI,operations,planned,"[""""operations"""
ops-004-inventory-management-ai,OPS-004-Inventory-Management-AI,operations,planned,"[""""operations"""
ops-005-project-management-ai,OPS-005-Project-Management-AI,operations,planned,"[""""operations"""
ops-006-document-automation-ai,OPS-006-Document-Automation-AI,operations,planned,"[""""operations"""
ops-007-meeting-assistant-ai,OPS-007-Meeting-Assistant-AI,operations,planned,"[""""operations"""
ops-008-recruitment-ai,OPS-008-Recruitment-AI,operations,planned,"[""""operations"""
ops-009-onboarding-ai,OPS-009-Onboarding-AI,operations,planned,"[""""operations"""
ops-010-training-platform-ai,OPS-010-Training-Platform-AI,operations,planned,"[""""operations"""
ops-011-performance-review-ai,OPS-011-Performance-Review-AI,operations,planned,"[""""operations"""
ops-012-it-support-ai,OPS-012-IT-Support-AI,operations,planned,"[""""operations"""
ops-013-facilities-management-ai,OPS-013-Facilities-Management-AI,operations,planned,"[""""operations"""
ops-014-travel-booking-ai,OPS-014-Travel-Booking-AI,operations,planned,"[""""operations"""
ops-015-expense-management-ai,OPS-015-Expense-Management-AI,operations,planned,"[""""operations"""
ops-016-contract-management-ai,OPS-016-Contract-Management-AI,operations,planned,"[""""operations"""
ops-017-compliance-monitoring-ai,OPS-017-Compliance-Monitoring-AI,operations,planned,"[""""operations"""
ops-018-quality-control-ai,OPS-018-Quality-Control-AI,operations,planned,"[""""operations"""
ops-019-asset-management-ai,OPS-019-Asset-Management-AI,operations,planned,"[""""operations"""
ops-020-time-tracking-ai,OPS-020-Time-Tracking-AI,operations,planned,"[""""operations"""
ops-021-document-security-ai,OPS-021-Document-Security-AI,operations,planned,"[""""operations"""
ops-022-knowledge-management-ai,OPS-022-Knowledge-Management-AI,operations,planned,"[""""operations"""
ops-023-meeting-transcription-ai,OPS-023-Meeting-Transcription-AI,operations,planned,"[""""operations"""
ops-024-task-automation-ai,OPS-024-Task-Automation-AI,operations,planned,"[""""operations"""
ops-025-resource-allocation-ai,OPS-025-Resource-Allocation-AI,operations,planned,"[""""operations"""
ops-026-budget-planning-ai,OPS-026-Budget-Planning-AI,operations,planned,"[""""operations"""
ops-027-cost-optimization-ai,OPS-027-Cost-Optimization-AI,operations,planned,"[""""operations"""
ops-028-procurement-ai,OPS-028-Procurement-AI,operations,planned,"[""""operations"""
ops-029-vendor-management-ai,OPS-029-Vendor-Management-AI,operations,planned,"[""""operations"""
ops-030-contract-negotiation-ai,OPS-030-Contract-Negotiation-AI,operations,planned,"[""""operations"""
ops-031-legal-document-ai,OPS-031-Legal-Document-AI,operations,planned,"[""""operations"""
ops-032-compliance-reporting-ai,OPS-032-Compliance-Reporting-AI,operations,planned,"[""""operations"""
ops-033-training-content-ai,OPS-033-Training-Content-AI,operations,planned,"[""""operations"""
ops-034-employee-engagement-ai,OPS-034-Employee-Engagement-AI,operations,planned,"[""""operations"""
ops-035-succession-planning-ai,OPS-035-Succession-Planning-AI,operations,planned,"[""""operations"""
ops-036-workspace-design-ai,OPS-036-Workspace-Design-AI,operations,planned,"[""""operations"""
ops-037-energy-efficiency-ai,OPS-037-Energy-Efficiency-AI,operations,planned,"[""""operations"""
ops-038-security-monitoring-ai,OPS-038-Security-Monitoring-AI,operations,planned,"[""""operations"""
ops-039-health-safety-ai,OPS-039-Health-Safety-AI,operations,planned,"[""""operations"""
ops-040-disaster-recovery-ai,OPS-040-Disaster-Recovery-AI,operations,planned,"[""""operations"""
ops-041-it-asset-management,OPS-041-IT-Asset-Management,operations,planned,"[""""operations"""
ops-042-cloud-cost-management,OPS-042-Cloud-Cost-Management,operations,planned,"[""""operations"""
ops-043-data-governance-ai,OPS-043-Data-Governance-AI,operations,planned,"[""""operations"""
ops-044-network-monitoring-ai,OPS-044-Network-Monitoring-AI,operations,planned,"[""""operations"""
ops-045-software-licensing-ai,OPS-045-Software-Licensing-AI,operations,planned,"[""""operations"""
ops-046-it-procurement-ai,OPS-046-IT-Procurement-AI,operations,planned,"[""""operations"""
ops-047-system-integration-ai,OPS-047-System-Integration-AI,operations,planned,"[""""operations"""
ops-048-data-backup-ai,OPS-048-Data-Backup-AI,operations,planned,"[""""operations"""
ops-049-business-continuity-ai,OPS-049-Business-Continuity-AI,operations,planned,"[""""operations"""
ops-050-compliance-audit-ai,OPS-050-Compliance-Audit-AI,operations,planned,"[""""operations"""
ops-051-document-collaboration-ai,OPS-051-Document-Collaboration-AI,operations,planned,"[""""operations"""
ops-052-video-conferencing-ai,OPS-052-Video-Conferencing-AI,operations,planned,"[""""operations"""
ops-053-email-management-ai,OPS-053-Email-Management-AI,operations,planned,"[""""operations"""
ops-054-calendar-optimization-ai,OPS-054-Calendar-Optimization-AI,operations,planned,"[""""operations"""
ops-055-project-budget-ai,OPS-055-Project-Budget-AI,operations,planned,"[""""operations"""
ops-056-resource-forecasting-ai,OPS-056-Resource-Forecasting-AI,operations,planned,"[""""operations"""
ops-057-task-prioritization-ai,OPS-057-Task-Prioritization-AI,operations,planned,"[""""operations"""
ops-058-time-management-ai,OPS-058-Time-Management-AI,operations,planned,"[""""operations"""
ops-059-meeting-minutes-ai,OPS-059-Meeting-Minutes-AI,operations,planned,"[""""operations"""
ops-060-document-translation-ai,OPS-060-Document-Translation-AI,operations,planned,"[""""operations"""
ops-061-form-automation-ai,OPS-061-Form-Automation-AI,operations,planned,"[""""operations"""
ops-062-report-generation-ai,OPS-062-Report-Generation-AI,operations,planned,"[""""operations"""
ops-063-dashboard-creation-ai,OPS-063-Dashboard-Creation-AI,operations,planned,"[""""operations"""
ops-064-analytics-platform-ai,OPS-064-Analytics-Platform-AI,operations,planned,"[""""operations"""
ops-065-data-cleaning-ai,OPS-065-Data-Cleaning-AI,operations,planned,"[""""operations"""
ops-066-workflow-management-ai,OPS-066-Workflow-Management-AI,operations,planned,"[""""operations"""
edu-001-youth-entrepreneurship-curriculum,EDU-001-Youth-Entrepreneurship-Curriculum,education,planned,"T4_OPS_COORDINATOR_001""],0,ventures-master.csv,medium,Venture #493 of 687
edu-002-ai-literacy-program,EDU-002-AI-Literacy-Program: Ai Literacy Program - education venture,Venture,EDU-002-AI-Literacy-Program,Ai Literacy Program,education,planned,planned,https://github.com/Worldwidebro/edu-002-ai-literacy-program,T3_CONTENT_STRATEGIST_001"""
comm-002-brotherhood-coaching-network,COMM-002-Brotherhood-Coaching-Network,community,planned,"[""""social-media"""
comm-003-ace-senior-care-connect,COMM-003-Ace-Senior-Care-Connect,community,planned,"[""""social-media"""
comm-004-community-outreach-nonprofit,COMM-004-Community-Outreach-Nonprofit,community,planned,"[""""social-media"""
comm-005-ace-food-security-ai,COMM-005-Ace-Food-Security-AI,community,planned,"[""""social-media"""
comm-006-community-technology-access-ai,COMM-006-Community-Technology-Access-AI,community,planned,"[""""social-media"""
comm-007-youth-leadership-ai,COMM-007-Youth-Leadership-AI,community,planned,"[""""social-media"""
comm-008-community-fundraising-ai,COMM-008-Community-Fundraising-AI,community,planned,"[""""social-media"""
comm-009-volunteer-hub-ai,COMM-009-Volunteer-Hub-AI,community,planned,"[""""social-media"""
comm-010-disaster-relief-ai,COMM-010-Disaster-Relief-AI,community,planned,"[""""social-media"""
comm-011-indigenous-creator-hub,COMM-011-Indigenous-Creator-Hub,community,planned,"[""""social-media"""
comm-012-black-art-museum-ai,COMM-012-Black-Art-Museum-AI,community,planned,"[""""social-media"""
comm-013-women-s-empowerment-network,COMM-013-Women-s-Empowerment-Network,community,planned,"[""""social-media"""
comm-014-veterans-support-ai,COMM-014-Veterans-Support-AI,community,planned,"[""""social-media"""
comm-015-youth-mentorship-program,COMM-015-Youth-Mentorship-Program,community,planned,"[""""social-media"""
comm-016-community-health-ai,COMM-016-Community-Health-AI,community,planned,"[""""social-media"""
comm-017-local-business-directory,COMM-017-Local-Business-Directory,community,planned,"[""""social-media"""
comm-018-neighborhood-watch-ai,COMM-018-Neighborhood-Watch-AI,community,planned,"[""""social-media"""
comm-019-community-garden-ai,COMM-019-Community-Garden-AI,community,planned,"[""""social-media"""
comm-020-public-transportation-ai,COMM-020-Public-Transportation-AI,community,planned,"[""""social-media"""
comm-021-housing-assistance-ai,COMM-021-Housing-Assistance-AI,community,planned,"[""""social-media"""
comm-022-job-training-center,COMM-022-Job-Training-Center,community,planned,"[""""social-media"""
comm-023-elder-companion-ai,COMM-023-Elder-Companion-AI,community,planned,"[""""social-media"""
comm-024-youth-sports-ai,COMM-024-Youth-Sports-AI,community,planned,"[""""social-media"""
comm-025-community-legal-aid,COMM-025-Community-Legal-Aid,community,planned,"[""""social-media"""
comm-026-public-education-ai,COMM-026-Public-Education-AI,community,planned,"[""""social-media"""
comm-027-local-government-ai,COMM-027-Local-Government-AI,community,planned,"[""""social-media"""
comm-028-public-safety-ai,COMM-028-Public-Safety-AI,community,planned,"[""""social-media"""
comm-029-community-wellness-ai,COMM-029-Community-Wellness-AI,community,planned,"[""""social-media"""
comm-030-cultural-exchange-ai,COMM-030-Cultural-Exchange-AI,community,planned,"[""""social-media"""
comm-031-community-investment-ai,COMM-031-Community-Investment-AI,community,planned,"[""""social-media"""
comm-032-public-health-ai,COMM-032-Public-Health-AI,community,planned,"[""""social-media"""
comm-033-youth-innovation-hub,COMM-033-Youth-Innovation-Hub,community,planned,"[""""social-media"""
comm-034-senior-tech-support,COMM-034-Senior-Tech-Support,community,planned,"[""""social-media"""
comm-035-community-arts-ai,COMM-035-Community-Arts-AI,community,planned,"[""""social-media"""
comm-036-public-infrastructure-ai,COMM-036-Public-Infrastructure-AI,community,planned,"[""""social-media"""
comm-037-neighborhood-development-ai,COMM-037-Neighborhood-Development-AI,community,planned,"[""""social-media"""
comm-038-community-policing-ai,COMM-038-Community-Policing-AI,community,planned,"[""""social-media"""
comm-039-public-space-ai,COMM-039-Public-Space-AI,community,planned,"[""""social-media"""
comm-040-community-recycling-ai,COMM-040-Community-Recycling-AI,community,planned,"[""""social-media"""
comm-041-public-wi-fi-ai,COMM-041-Public-Wi-Fi-AI,community,planned,"[""""social-media"""
comm-042-community-energy-ai,COMM-042-Community-Energy-AI,community,planned,"[""""social-media"""
comm-043-local-food-network-ai,COMM-043-Local-Food-Network-AI,community,planned,"[""""social-media"""
comm-044-community-volunteering-ai,COMM-044-Community-Volunteering-AI,community,planned,"[""""social-media"""
comm-045-public-childcare-ai,COMM-045-Public-Childcare-AI,community,planned,"[""""social-media"""
comm-046-community-pet-care-ai,COMM-046-Community-Pet-Care-AI,community,planned,"[""""social-media"""
comm-047-public-fitness-ai,COMM-047-Public-Fitness-AI,community,planned,"[""""social-media"""
comm-048-community-transportation-ai,COMM-048-Community-Transportation-AI,community,planned,"[""""social-media"""
comm-049-public-event-ai,COMM-049-Public-Event-AI,community,planned,"[""""social-media"""
comm-050-community-cultural-ai,COMM-050-Community-Cultural-AI,community,planned,"[""""social-media"""
em-001-space-habitat-ai,EM-001-Space-Habitat-AI,emerging,planned,"[""""operations"""
em-002-fusion-energy-ai,EM-002-Fusion-Energy-AI,emerging,planned,"[""""operations"""
em-003-teleportation-research-ai,EM-003-Teleportation-Research-AI,emerging,planned,"[""""operations"""
em-004-climate-solutions-ai,EM-004-Climate-Solutions-AI,emerging,planned,"[""""operations"""
em-005-holographic-events-ai,EM-005-Holographic-Events-AI,emerging,planned,"[""""operations"""
em-006-neurofeedback-ai,EM-006-Neurofeedback-AI,emerging,planned,"[""""operations"""
em-007-autonomous-delivery-ai,EM-007-Autonomous-Delivery-AI,emerging,planned,"[""""operations"""
em-008-gene-editing-ai,EM-008-Gene-Editing-AI,emerging,planned,"[""""operations"""
em-009-space-tourism-ai,EM-009-Space-Tourism-AI,emerging,planned,"[""""operations"""
em-010-wearables-ai,EM-010-Wearables-AI,emerging,planned,"[""""operations"""
em-011-metaverse-hub-ai,EM-011-Metaverse-Hub-AI,emerging,planned,"[""""operations"""
em-012-energy-grid-ai,EM-012-Energy-Grid-AI,emerging,planned,"[""""operations"""
em-013-brain-computer-interface,EM-013-Brain-Computer-Interface,emerging,planned,"[""""operations"""
em-014-ocean-cleanup-ai,EM-014-Ocean-Cleanup-AI,emerging,planned,"[""""operations"""
em-015-crypto-trading-ai,EM-015-Crypto-Trading-AI,emerging,planned,"[""""operations"""
em-016-synthetic-media-ai,EM-016-Synthetic-Media-AI,emerging,planned,"[""""operations"""
em-017-space-mining-ai,EM-017-Space-Mining-AI,emerging,planned,"[""""operations"""
em-018-vr-therapy-ai,EM-018-VR-Therapy-AI,emerging,planned,"[""""operations"""
em-019-weather-prediction-ai,EM-019-Weather-Prediction-AI,emerging,planned,"[""""operations"""
em-020-autonomous-farming-ai,EM-020-Autonomous-Farming-AI,emerging,planned,"[""""operations"""
em-021-traffic-optimizer-ai,EM-021-Traffic-Optimizer-AI,emerging,planned,"[""""operations"""
em-022-smart-grid-ai,EM-022-Smart-Grid-AI,emerging,planned,"[""""operations"""
em-023-disaster-prediction-ai,EM-023-Disaster-Prediction-AI,emerging,planned,"[""""operations"""
em-024-nanotech-ai,EM-024-Nanotech-AI,emerging,planned,"[""""operations"""
em-025-personalized-medicine-ai,EM-025-Personalized-Medicine-AI,emerging,planned,"[""""operations"""
em-026-ai-diagnostic-lab,EM-026-AI-Diagnostic-Lab,emerging,planned,"[""""operations"""
em-027-sustainable-cities-ai,EM-027-Sustainable-Cities-AI,emerging,planned,"[""""operations"""
em-028-renewable-energy-ai,EM-028-Renewable-Energy-AI,emerging,planned,"[""""operations"""
em-029-climate-modeling-ai,EM-029-Climate-Modeling-AI,emerging,planned,"[""""operations"""
em-030-policy-advisor-ai,EM-030-Policy-Advisor-AI,emerging,planned,"[""""operations"""
em-031-governance-hub-ai,EM-031-Governance-Hub-AI,emerging,planned,"[""""operations"""
em-032-global-challenges-ai,EM-032-Global-Challenges-AI,emerging,planned,"[""""operations"""
em-033-space-exploration-ai,EM-033-Space-Exploration-AI,emerging,planned,"[""""operations"""
em-034-education-equity-ai,EM-034-Education-Equity-AI,emerging,planned,"[""""operations"""
em-035-health-equity-ai,EM-035-Health-Equity-AI,emerging,planned,"[""""operations"""
em-036-economic-equity-ai,EM-036-Economic-Equity-AI,emerging,planned,"[""""operations"""
em-037-environmental-justice-ai,EM-037-Environmental-Justice-AI,emerging,planned,"[""""operations"""
em-038-human-rights-ai,EM-038-Human-Rights-AI,emerging,planned,"[""""operations"""
em-039-peacebuilding-ai,EM-039-Peacebuilding-AI,emerging,planned,"[""""operations"""
em-040-telemedicine-ai,EM-040-Telemedicine-AI,emerging,planned,"[""""operations"""
em-041-ai-climate-adaptation,EM-041-AI-Climate-Adaptation,emerging,planned,"[""""operations"""
em-042-space-agriculture-ai,EM-042-Space-Agriculture-AI,emerging,planned,"[""""operations"""
em-043-quantum-communication-ai,EM-043-Quantum-Communication-AI,emerging,planned,"[""""operations"""
em-044-robotics-surgery-ai,EM-044-Robotics-Surgery-AI,emerging,planned,"[""""operations"""
em-045-ai-disaster-response,EM-045-AI-Disaster-Response,emerging,planned,"[""""operations"""
em-046-smart-city-governance,EM-046-Smart-City-Governance,emerging,planned,"[""""operations"""
em-047-ai-environmental-monitoring,EM-047-AI-Environmental-Monitoring,emerging,planned,"[""""operations"""
em-048-space-manufacturing-ai,EM-048-Space-Manufacturing-AI,emerging,planned,"[""""operations"""
em-049-ai-ocean-exploration,EM-049-AI-Ocean-Exploration,emerging,planned,"[""""operations"""
em-050-ai-archaeology,EM-050-AI-Archaeology,emerging,planned,"[""""operations"""
spec-001-ai-auction-house,SPEC-001-AI-Auction-House,specialized,planned,"[""""operations"""
spec-002-smart-marina-management,SPEC-002-Smart-Marina-Management,specialized,planned,"[""""operations"""
spec-003-ai-surf-report,SPEC-003-AI-Surf-Report,specialized,planned,"[""""operations"""
spec-004-private-chef-ai,SPEC-004-Private-Chef-AI,specialized,planned,"[""""operations"""
spec-005-virtual-concierge-ai,SPEC-005-Virtual-Concierge-AI,specialized,planned,"[""""operations"""
spec-006-smart-parking-ai,SPEC-006-Smart-Parking-AI,specialized,planned,"[""""operations"""
spec-007-ai-interior-design,SPEC-007-AI-Interior-Design,specialized,planned,"[""""operations"""
spec-008-personal-stylist-ai,SPEC-008-Personal-Stylist-AI,specialized,planned,"[""""operations"""
spec-009-smart-locker-system,SPEC-009-Smart-Locker-System,specialized,planned,"[""""operations"""
spec-010-ai-fitness-coach,SPEC-010-AI-Fitness-Coach,specialized,planned,"[""""operations"""
spec-011-smart-golf-caddie,SPEC-011-Smart-Golf-Caddie,specialized,planned,"[""""operations"""
spec-012-ai-nutritionist,SPEC-012-AI-Nutritionist,specialized,planned,"[""""operations"""
spec-013-smart-hotel-butler,SPEC-013-Smart-Hotel-Butler,specialized,planned,"[""""operations"""
spec-014-ai-language-tutor,SPEC-014-AI-Language-Tutor,specialized,planned,"[""""operations"""
spec-015-smart-transportation-ai,SPEC-015-Smart-Transportation-AI,specialized,planned,"[""""operations"""
spec-016-ai-travel-planner,SPEC-016-AI-Travel-Planner,specialized,planned,"[""""operations"""
spec-017-smart-agriculture-ai,SPEC-017-Smart-Agriculture-AI,specialized,planned,"[""""operations"""
spec-018-ai-personal-shopper,SPEC-018-AI-Personal-Shopper,specialized,planned,"[""""operations"""
spec-019-smart-home-security,SPEC-019-Smart-Home-Security,specialized,planned,"[""""operations"""
spec-020-ai-music-producer,SPEC-020-AI-Music-Producer,specialized,planned,"[""""operations"""
spec-021-smart-restaurant-ai,SPEC-021-Smart-Restaurant-AI,specialized,planned,"[""""operations"""
spec-022-ai-movie-critic,SPEC-022-AI-Movie-Critic,specialized,planned,"[""""operations"""
spec-023-smart-museum-guide,SPEC-023-Smart-Museum-Guide,specialized,planned,"[""""operations"""
spec-024-ai-sports-analyst,SPEC-024-AI-Sports-Analyst,specialized,planned,"[""""operations"""
spec-025-smart-library-ai,SPEC-025-Smart-Library-AI,specialized,planned,"[""""operations"""
spec-026-ai-art-curator,SPEC-026-AI-Art-Curator,specialized,planned,"[""""operations"""
spec-027-smart-fitness-ai,SPEC-027-Smart-Fitness-AI,specialized,planned,"[""""operations"""
spec-028-ai-poetry-generator,SPEC-028-AI-Poetry-Generator,specialized,planned,"[""""operations"""
spec-029-smart-dating-ai,SPEC-029-Smart-Dating-AI,specialized,planned,"[""""operations"""
spec-030-ai-journalism-tool,SPEC-030-AI-Journalism-Tool,specialized,planned,"[""""operations"""
spec-031-smart-legal-ai,SPEC-031-Smart-Legal-AI,specialized,planned,"[""""operations"""
spec-032-ai-game-designer,SPEC-032-AI-Game-Designer,specialized,active,"[""""operations"""
spec-033-smart-real-estate-ai,SPEC-033-Smart-Real-Estate-AI,specialized,planned,"[""""operations"""
spec-034-ai-cooking-assistant,SPEC-034-AI-Cooking-Assistant,specialized,planned,"[""""operations"""
spec-035-smart-health-ai,SPEC-035-Smart-Health-AI,specialized,planned,"[""""operations"""
spec-036-ai-photography-tool,SPEC-036-AI-Photography-Tool,specialized,planned,"[""""operations"""
spec-037-smart-writing-ai,SPEC-037-Smart-Writing-AI,specialized,planned,"[""""operations"""
spec-038-ai-comedy-writer,SPEC-038-AI-Comedy-Writer,specialized,planned,"[""""operations"""
spec-039-smart-meditation-ai,SPEC-039-Smart-Meditation-AI,specialized,planned,"[""""operations"""
spec-040-ai-debate-coach,SPEC-040-AI-Debate-Coach,specialized,planned,"[""""operations"""
spec-041-smart-parenting-ai,SPEC-041-Smart-Parenting-AI,specialized,planned,"[""""operations"""
spec-042-ai-financial-advisor,SPEC-042-AI-Financial-Advisor,specialized,planned,"[""""operations"""
spec-043-smart-automotive-ai,SPEC-043-Smart-Automotive-AI,specialized,planned,"[""""operations"""
spec-044-ai-aviation-planner,SPEC-044-AI-Aviation-Planner,specialized,planned,"[""""operations"""
spec-045-smart-maritime-ai,SPEC-045-Smart-Maritime-AI,specialized,planned,"[""""operations"""
spec-046-ai-weather-forecast,SPEC-046-AI-Weather-Forecast,specialized,planned,"[""""operations"""
spec-047-smart-energy-ai,SPEC-047-Smart-Energy-AI,specialized,planned,"[""""operations"""
spec-048-ai-sports-coach,SPEC-048-AI-Sports-Coach,specialized,planned,"[""""operations"""
spec-049-smart-education-ai,SPEC-049-Smart-Education-AI,specialized,planned,"[""""operations"""
spec-050-ai-language-translator,SPEC-050-AI-Language-Translator,specialized,planned,"[""""operations"""
dist,FI-dist,financial,planned,"T4_OPS_COORDINATOR_001""],0,ventures-master.csv,medium,Venture #683 of 687
node_modules,FI-node_modules: Node_Modules - financial venture,Venture,FI-node_modules,Node_Modules,financial,planned,planned,https://github.com/Worldwidebro/node_modules,T2_FINANCIAL_SPECIALIST_001"""
real-estate-empire,,real-estate,,
ai-001-ai-command-center,,,,
ai-002-api,,,,
ai-002-ml-engine,,,,
ai-002-web-app,,,,
ai-boss-holdings-v4,,,,
ai-business-commander,,,,
ai-venture-studio-template,,,,
Resume,,,,
Worldwidebro,,,,
_master-governance,,,,
ace-community-impact-templates,,,,
ace-ecommerce-templates,,,,
acquisition-vehicle-automation,,,,
arbitrage-nexus,,,,
avs-omni,,,,
babystepsmatrix1,,,,
billionaire-brain-assistant,,,,
billionaire-consciousness-empire,,,,
billionaire-workflow-automation,,,,
business-template-marketplace,,,,
capital-orchestrator,,,,
civilization-os,,,,
civilization-os-infra,,,,
civilization-website,,,,
claude-workflow-demo,,,,
clients,,,,
data-management,,,,
deployment-orchestrator,,,,
divine-johns-portfolio,,,,
enhanced-cursor-rules,,,,
fund-001-civilization-credit-fund,,,,
genixbank-financial-system,,,,
genixbank-insight-compass,,,,
global-operations-automation,,,,
innovation-hub-platform,,,,
ins-001-venture-insurance,,,,
intellectual-property-management,,,,
investment-fund-management,,,,
iza-os-agents,,,,
iza-os-ai-consciousness-platform,,,,
iza-os-ai-core-platform,,,,
iza-os-ai-nlp-platform,,,,
