company_name,primary_sector,annual_revenue_est,hq_city,hq_state,contact_name,contact_title,phone,email,bidding_status,target_trades
"Clancy & Theys (Charlotte Office)","Commercial Interiors & Office","$160M+","Charlotte","NC","James O'Connor","Division Estimator","(704) 377-6886","clt-bids@clancytheys.com","Open to Bids","Div 09, Div 08, Div 26"
"DPR Construction Charlotte","Advanced Tech & Healthcare TI","$400M+","Charlotte","NC","Lauren Scott","Trade Partner Coordinator","(704) 521-4475","clttradebids@dpr.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Brixworth Construction","Commercial Retail & Hospitality","$45M+","Charlotte","NC","Gregory Hall","Owner / Chief Estimator","(704) 895-4422","ghall@brixworthnc.com","Open to Bids","Div 06, Div 09, Div 26"
"Metrolina Builders","Design-Build Commercial & Industrial","$85M+","Charlotte","NC","Patrick Allen","Precon VP","(704) 525-5454","bids@metrolinabuilders.com","Active Sub Invites","Div 03, Div 09, Div 23"
"W.M. Jordan Company (Charlotte)","Commercial, Higher Education","$220M+","Charlotte","NC","Scott Bennett","Director of Estimating","(704) 333-7744","cltbids@wmjordan.com","Open to Bids","Div 09, Div 23, Div 26"
"Spectrum Contracting Charlotte","Commercial Building Envelope & TI","$65M+","Charlotte","NC","Thomas Reed","Estimating Manager","(704) 588-9988","treed@spectrumclt.com","Active Sub Invites","Div 07, Div 09, Div 08"
"Kaufman Lynn Construction NC","Multifamily & Commercial Flex","$110M+","Charlotte","NC","Eric Martin","Chief Estimator","(704) 464-4200","ncbids@kaufmanlynn.com","Open to Bids","Div 09, Div 22, Div 26"
"Samet Corporation (Charlotte)","Commercial, Industrial & Housing","$350M+","Charlotte","NC","Justin Brooks","VP Preconstruction","(704) 561-1200","cltbids@sametcorp.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Clancy & Theys Construction Co","Commercial, Higher Ed, Life Sciences","$520M+","Raleigh","NC","Timothy White","VP of Estimating","(919) 834-3601","estimating@clancytheys.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Barnhill Contracting Company","Commercial, Industrial & Highway","$650M+","RTP / Raleigh","NC","Charles Parker","Director of Building Group Precon","(919) 781-7210","buildingbids@barnhillcontracting.com","Open to Bids","Div 03, Div 09, Div 26"
"C.T. Wilson Construction Co","Commercial, Institutional & Historic","$130M+","Durham","NC","Charles Wilson Jr.","Chief Estimator","(919) 383-2535","estimating@ctwilson.com","Active Sub Invites","Div 06, Div 09, Div 26"
"Bordeaux Construction Co","Public Works, Commercial & Schools","$115M+","Raleigh","NC","Joseph Evans","Precon Director","(919) 220-1141","estimating@bordeauxconstruction.com","Open to Bids","Div 09, Div 22, Div 26"
"Holt Brothers Construction","Commercial TI, Healthcare, Ed","$95M+","Raleigh","NC","Terrence Holt","Director of Operations","(919) 233-0660","estimating@holtbrothersinc.com","Active Sub Invites","Div 09, Div 26, Div 08"
"McDonald York Building Co","Life Sciences, Commercial & Tech TI","$140M+","Raleigh","NC","Jeffrey Moore","VP of Preconstruction","(919) 832-3770","estimating@mcdonaldyork.com","Active Sub Invites","Div 09, Div 22, Div 23"
"Balfour Beatty Raleigh","Higher Ed, Commercial Office","$450M+","Raleigh","NC","Andrew Taylor","Precon Director","(919) 233-5001","raleigh-bids@balfourbeattyus.com","Open to Bids","Div 09, Div 26, Div 23"
"BE&K Building Group","Pharma, Life Sciences & Advanced Tech","$380M+","RTP / Morrisville","NC","Steven King","Senior Procurement Director","(919) 993-9400","rtp-estimating@bekbg.com","Active Sub Invites","Div 09, Div 23, Div 26"
"Skanska USA Building (Durham)","Healthcare & Higher Education","$600M+","Durham","NC","Mark Turner","VP Precon","(919) 941-7900","durham-bids@skanska.com","Open to Bids","Div 09, Div 22, Div 26"
"Brasfield & Gorrie Raleigh","Commercial, Industrial & Medical","$500M+","Raleigh","NC","Paul Walker","Preconstruction Manager","(919) 821-2292","raleigh-estimating@brasfieldgorrie.com","Active Sub Invites","Div 09, Div 23, Div 26"
"DPR Construction Raleigh","Life Science & Mission Critical TI","$450M+","Raleigh","NC","Jessica Harris","Subcontractor Relations Lead","(919) 755-9494","raleigh-tradebids@dpr.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Gilbane Building Co (Raleigh)","Institutional & Commercial","$350M+","Raleigh","NC","Nathan Phillips","Director of Precon","(919) 459-7100","raleighbids@gilbaneco.com","Open to Bids","Div 09, Div 26, Div 22"
"LeChase Construction Carolinas","Healthcare, Higher Ed & Commercial","$175M+","Durham","NC","Brandon Cole","Senior Estimator","(919) 660-0452","durham.bids@lechase.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Whiting-Turner Raleigh","Commercial, Retail & Biotech","$380M+","Raleigh","NC","Craig Foster","Preconstruction Manager","(919) 881-8080","raleigh.bids@whiting-turner.com","Open to Bids","Div 09, Div 26, Div 23"
"T.A. Loving Company","Commercial, Healthcare & Utilities","$280M+","Raleigh / Goldsboro","NC","Kenneth Bryan","VP Commercial Estimating","(919) 734-8400","estimating@taloving.com","Active Sub Invites","Div 03, Div 09, Div 22"
"Resolute Building Company","Commercial Office, Municipal & K-12","$80M+","Chapel Hill","NC","Richard Hayes","Chief Estimator","(919) 932-5500","estimating@resolutebuilding.com","Open to Bids","Div 06, Div 09, Div 26"
"Greene Construction Raleigh","Commercial Tenant Improvement","$35M+","Raleigh","NC","Alan Cooper","Precon Manager","(919) 872-0050","bids@greene-nc.com","Open to Bids","Div 09, Div 08, Div 26"
"Alliance Construction NC","Commercial Flex & Retail","$42M+","Durham","NC","Douglas Ross","Project Executive","(919) 401-4400","estimating@alliance-nc.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Build LLC Raleigh","Commercial Hospitality & Retail TI","$28M+","Raleigh","NC","Michelle Ward","Estimating Lead","(919) 706-0044","bids@buildraleigh.com","Open to Bids","Div 09, Div 06, Div 26"
"Faulconer Construction (Triangle)","Commercial Site & Structural","$95M+","Cary","NC","Jonathan Price","Estimating VP","(919) 460-9944","bids-nc@faulconerconstruction.com","Active Sub Invites","Div 02, Div 03, Div 09"
"Samet Corporation (HQ)","Commercial, Industrial & Housing","$750M+","Greensboro","NC","Wayne Long","EVP Preconstruction","(336) 544-2600","estimating@sametcorp.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Frank L. Blum Construction Co","Institutional, Commercial & Medical","$220M+","Winston-Salem","NC","Drew Haddock","Chief Estimator","(336) 724-5528","estimating@flblum.com","Active Sub Invites","Div 06, Div 09, Div 26"
"Landmark Builders Inc","Commercial, Industrial & Senior Living","$210M+","Winston-Salem","NC","Stephen Edwards","VP Estimating","(336) 765-9850","estimating@landmarkbuilders.com","Open to Bids","Div 09, Div 22, Div 26"
"D.H. Griffin Construction","Commercial, Industrial & Demolition","$180M+","Greensboro","NC","Christopher Griffin","Precon Director","(336) 389-5390","estimating@dhgriffin.com","Active Sub Invites","Div 02, Div 09, Div 26"
"Rentrow Building Group","Commercial TI & Retail Buildout","$50M+","Greensboro","NC","Philip Myers","Chief Estimator","(336) 292-1200","estimating@rentrow.com","Open to Bids","Div 09, Div 06, Div 26"
"H.M. Kern Corporation","Commercial & Institutional","$45M+","Greensboro","NC","Kenneth Kern","President & Estimator","(336) 668-3213","bids@hmkern.com","Active Sub Invites","Div 09, Div 08, Div 26"
"Kirkland Inc","Commercial Interiors & Medical TI","$38M+","High Point","NC","Keith Kirkland","VP Precon","(336) 884-0400","bids@kirklandinc.com","Open to Bids","Div 09, Div 22, Div 26"
"I.L. Long Construction Co","Commercial, Faith-Based & Education","$55M+","Winston-Salem","NC","Gregory Stewart","Senior Estimator","(336) 661-1200","estimating@illong.com","Active Sub Invites","Div 06, Div 09, Div 26"
"Sterling Building Group","Commercial Renovation & TI","$32M+","Greensboro","NC","Carl Campbell","Estimating Lead","(336) 275-8889","bids@sterlingbg.com","Open to Bids","Div 09, Div 06, Div 26"
"Garanco Inc","Commercial & Historic Restoration","$25M+","Pilot Mountain / Triad","NC","Gary Garanco","Lead Estimator","(336) 368-2788","estimating@garanco.com","Active Sub Invites","Div 04, Div 09, Div 06"
"Monteith Construction Corp","Commercial, Higher Ed, Historic","$260M+","Wilmington","NC","Bryan Thomas","Director of Preconstruction","(910) 791-8101","estimating@monteithco.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Thomas Construction Group","Commercial, Senior Living & Healthcare","$190M+","Wilmington","NC","Christopher Thomas","VP of Preconstruction","(910) 799-2260","estimating@thomasconstructiongroup.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Clancy & Theys (Wilmington Office)","Commercial & Waterfront Development","$140M+","Wilmington","NC","David Barnes","Precon Director","(910) 392-5220","ilm-bids@clancytheys.com","Open to Bids","Div 09, Div 26, Div 23"
"Bordeaux Construction (Wilmington)","Commercial & Institutional","$65M+","Wilmington","NC","Ryan Fletcher","Lead Estimator","(910) 399-4400","ilm-estimating@bordeauxconstruction.com","Active Sub Invites","Div 09, Div 06, Div 26"
"McKim & Creed Construction","Water/Wastewater & Industrial Flex","$75M+","Wilmington","NC","Patrick Graham","Chief Estimator","(910) 343-1048","ilm-bids@mckimcreed.com","Open to Bids","Div 02, Div 22, Div 26"
"Farrior Construction Company","Commercial & Educational","$40M+","Farmville / Greenville","NC","Jack Farrior","VP Preconstruction","(252) 753-2005","estimating@farrior.com","Active Sub Invites","Div 03, Div 09, Div 26"
"A.R. Chesson Construction","Commercial, Medical & Industrial","$60M+","Williamston","NC","Arthur Chesson","Chief Estimator","(252) 792-4155","estimating@archesson.com","Open to Bids","Div 09, Div 22, Div 26"
"Daniels & Daniels Construction","Commercial, Military & Institutional","$85M+","Goldsboro","NC","James Daniels","VP Estimating","(919) 778-4525","estimating@danielsanddaniels.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Trader Construction Co","Commercial Site & Industrial Infrastructure","$70M+","New Bern","NC","Carl Trader","Senior Estimator","(252) 633-2424","estimating@traderconstruction.com","Open to Bids","Div 02, Div 03, Div 09"
"Hudson Brothers Construction","Commercial & Public Works","$35M+","Greenville","NC","Billy Hudson","Lead Precon","(252) 752-3112","bids@hudsonbrothers.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Vannoy Construction (Asheville)","Commercial, Hospitality & Medical","$150M+","Asheville","NC","Mark Buchanan","Asheville Estimating VP","(828) 255-7737","avl-bids@jrvannoy.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Beverly-Grant Inc","Commercial, Medical & Industrial","$95M+","Asheville","NC","Frank Beverly","Director of Estimating","(828) 252-9360","estimating@beverly-grant.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Brixworth Western NC","Commercial Mixed-Use & Office","$30M+","Asheville","NC","Robert Vance","Regional Estimator","(828) 274-1234","rvance@brixworthnc.com","Open to Bids","Div 09, Div 08, Div 26"
"Hickory Construction Company","Commercial, Industrial & Institutional","$85M+","Hickory","NC","David Starnes","Chief Estimator","(828) 322-9234","estimating@hickory-construction.com","Active Sub Invites","Div 03, Div 09, Div 26"
"David E. Looper & Company","Commercial, Retail & Auto Dealerships","$110M+","Hickory","NC","David Looper Jr.","VP Preconstruction","(828) 324-1284","estimating@delcompany.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Cooper Construction Company","Commercial, Healthcare & Ed","$65M+","Hendersonville","NC","Thomas Cooper","Lead Estimator","(828) 692-7238","bids@cooperconst.com","Open to Bids","Div 09, Div 06, Div 26"
"Carolina Specialties Construction","Commercial & Industrial Flex","$40M+","Hendersonville","NC","Jason Drake","Precon Director","(828) 697-7184","estimating@carolinaspecialties.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Neill Grading & Construction","Commercial Site & Light Building","$48M+","Hickory","NC","Edward Neill","Chief Estimator","(828) 324-6725","estimating@neillconstruction.com","Open to Bids","Div 02, Div 03, Div 09"
"Calloway Johnson Moore West (CJMW)","Commercial Architecture & Construction","$55M+","Fayetteville","NC","Marcus West","Precon Lead","(910) 483-4300","estimating@cjmw.com","Open to Bids","Div 09, Div 06, Div 26"
"M&E Contractors","Commercial TI & Federal Facilities","$38M+","Fayetteville","NC","Victor Mitchell","VP Estimating","(910) 868-9100","bids@mecontractors.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Player Inc","Commercial, Institutional & Medical","$42M+","Fayetteville","NC","Richard Player","Chief Estimator","(910) 822-2260","estimating@playerinc.com","Active Sub Invites","Div 09, Div 06, Div 26"
"H&H Commercial Group","Commercial Office & Medical TI","$50M+","Fayetteville","NC","Keith Holmes","Commercial Director","(910) 488-8886","commercialbids@hhhomes.com","Open to Bids","Div 06, Div 09, Div 26"
"Systel Construction","Commercial Corporate Interiors","$22M+","Fayetteville","NC","Janice Carter","Estimating Lead","(910) 323-9000","bids@systelnc.com","Active Sub Invites","Div 09, Div 26, Div 08"
"Sandhills Contracting","Commercial & Hospitality TI","$30M+","Southern Pines","NC","Gregory Pine","Senior Estimator","(910) 692-2244","estimating@sandhillscontracting.com","Open to Bids","Div 09, Div 06, Div 26"
"Claris Construction Carolinas","Design-Build Commercial Flex & Warehouse","$65M+","Charlotte","NC","Shaun Bennett","Regional VP","(704) 910-1845","sbennett@clarisconstruction.com","Active Sub Invites","Div 03, Div 09, Div 26"
"Omega Construction Inc","Commercial, Industrial & Retail","$130M+","Winston-Salem","NC","Kirk Matthews","Chief Estimator","(336) 778-0005","estimating@omegaconstruction.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Progressive Contracting Co","Commercial Historic & TI","$36M+","Sanford","NC","Robert Lee","Precon Director","(919) 774-8840","bids@progressivecontracting.com","Open to Bids","Div 04, Div 06, Div 09"
"Miles-McClellan Construction (NC)","Commercial, Higher Ed, Public","$85M+","Greensboro","NC","Brian Miller","VP Preconstruction","(336) 299-8088","ncestimating@mmbuildings.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Liles Construction Company","Commercial, Municipal & Retail","$40M+","Concord","NC","Mark Liles","President & Estimator","(704) 786-6141","estimating@lilesconstruction.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Southside Constructors","Commercial Retail & Office TI","$35M+","Charlotte","NC","Scott Cunningham","Lead Estimator","(704) 525-4505","bids@southsideconstructors.com","Open to Bids","Div 09, Div 08, Div 26"
"J.M. Cope Construction","Commercial, Industrial & Institutional","$75M+","Charlotte Metro","NC","Andrew Cope","Director of Precon","(803) 329-5252","estimating@jmcope.com","Active Sub Invites","Div 09, Div 23, Div 26"
"Bobbitt Construction","Design-Build Commercial & Medical","$110M+","Raleigh","NC","Brian Denisar","Chief Estimator","(919) 851-1999","estimating@bobbitt.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Riley Contracting Group","Healthcare & Commercial Renovation","$55M+","Cary","NC","Michael Riley","VP Estimating","(919) 481-9331","estimating@rileycontracting.com","Open to Bids","Div 09, Div 22, Div 26"
"Rufty-Peedin Design Builders","Commercial Office, Medical & Retail","$45M+","Raleigh","NC","Steven Peedin","Managing Partner","(919) 782-3880","bids@ruftypeedin.com","Active Sub Invites","Div 06, Div 09, Div 26"
"Carolina Commercial Contractors","Commercial Retail & Hospitality TI","$38M+","Sanford","NC","Dennis Bryan","Chief Estimator","(919) 774-4500","estimating@carolinacommercial.com","Open to Bids","Div 09, Div 06, Div 26"
"Harrod and Machek","Commercial Retail, Office & Medical","$32M+","Raleigh","NC","David Harrod","Partner & Precon","(919) 828-5400","bids@harrodandmachek.com","Active Sub Invites","Div 09, Div 08, Div 26"
"Starr Electric Commercial Group","Commercial Electrical & Systems","$120M+","Charlotte","NC","William Starr","VP Commercial Ops","(704) 525-4100","estimating@starrelectric.com","Active Sub Invites","Div 26, Div 27, Div 28"
"Baker Roofing Commercial Services","Commercial Roofing & Envelope","$250M+","Raleigh","NC","Frank Baker","Commercial Estimating VP","(919) 828-2975","commercial@bakerroofing.com","Active Sub Invites","Div 07, Div 08"
"Wayne Brothers Companies","Civil, Concrete & Industrial","$180M+","Davidson","NC","Keith Wayne","Chief Precon Officer","(704) 956-2200","estimating@waynebrothers.com","Active Sub Invites","Div 02, Div 03"
"Piedmont Mechanical Commercial","Commercial Mechanical & Plumbing","$95M+","Spartanburg / Charlotte","NC","Charles Piedmont","Precon Director","(704) 394-8844","bids@piedmontmechanical.com","Open to Bids","Div 22, Div 23"
"Carolina Drywall & Acoustics Inc","Commercial Framing & Drywall","$60M+","Charlotte","NC","Anthony Russo","VP Estimating","(704) 588-4411","estimating@carolinadrywall.com","Active Sub Invites","Div 09"
"Mid-Atlantic Interior Specialists","Commercial Acoustical Ceilings & TI","$32M+","Raleigh","NC","Gerald Vance","Estimating Manager","(919) 833-2211","bids@midatlanticinteriors.com","Open to Bids","Div 09, Div 08"
"Queen City Glass & Glazing","Commercial Storefronts & Curtainwall","$45M+","Charlotte","NC","Robert Miller","Chief Estimator","(704) 399-5500","estimating@queencityglass.com","Active Sub Invites","Div 08"
"Tarheel Concrete Contractors","Commercial Cast-in-Place Concrete","$52M+","Greensboro","NC","Bradley Tarheel","Precon VP","(336) 294-1100","bids@tarheelconcrete.com","Active Sub Invites","Div 03"
"Triangle Painting & Commercial","Commercial Coatings & Wallcoverings","$24M+","Raleigh","NC","Marcus Triangle","Estimating Lead","(919) 829-0011","commercial@trianglepainting.com","Open to Bids","Div 09"
"Palmetto Commercial Flooring NC","Commercial Carpet, LVT & Tile","$28M+","Charlotte","NC","David Floyd","Division Lead","(704) 596-7788","bids@palmettoflooringnc.com","Active Sub Invites","Div 09"
"Carolina Fire Protection Commercial","Commercial Fire Sprinklers","$42M+","Dunn / Raleigh","NC","Scott Fire","Precon Director","(910) 892-8178","estimating@carolinafire.com","Active Sub Invites","Div 21"
"Custom Woodworks Commercial","Architectural Millwork & Casework","$18M+","Kernersville","NC","Timothy Wood","Chief Estimator","(336) 996-3344","bids@customwoodworksnc.com","Open to Bids","Div 06, Div 12"
"Southern Steel Fabricators NC","Structural & Miscellaneous Metals","$36M+","Charlotte","NC","Donald Iron","Estimating VP","(704) 377-2200","estimating@southernsteelncllc.com","Active Sub Invites","Div 05"
"Appalachian Commercial Tile","Hard Tile & Stone Installation","$14M+","Asheville","NC","Jesse Stone","Estimator","(828) 254-6633","jesse@appalachiantile.com","Open to Bids","Div 09"
"Coastal Masonry Systems","Commercial CMU & Brick Veneer","$26M+","Wilmington","NC","Henry Block","Precon Manager","(910) 763-8811","bids@coastalmasonrync.com","Active Sub Invites","Div 04"
